op,case,calc_ms,spot_ms,spot2_ms,nodes,cells,linked,note
align,3state1ap0acc_007206_c×3state1ap0acc_021928_c,0.1198,,,115,13225,244,cold
align,3state1ap0acc_007206_c×3state1ap0acc_092686_c,0.0924,,,92,8464,243,cold
align,3state1ap0acc_007300×3state1ap0acc_030120_c,0.0506,,,37,1369,64,cold
align,3state1ap0acc_007304×3state1ap0acc_080408_c,0.1072,,,110,12100,220,cold
align,3state1ap0acc_007308×3state1ap0acc_075844_c,0.0732,,,74,5476,142,cold
align,3state1ap0acc_007308×3state1ap0acc_092184,0.1772,,,187,34969,353,cold
align,3state1ap0acc_007324_c×3state1ap0acc_013356,0.1349,,,145,21025,294,cold
align,3state1ap0acc_007336×3state1ap0acc_078356,0.0637,,,64,4096,82,cold
align,3state1ap0acc_007336×3state1ap0acc_080009_c,0.1523,,,158,24964,369,cold
align,3state1ap0acc_007348_c×3state1ap0acc_024696,0.205,,,213,45369,286,cold
align,3state1ap0acc_007433_c×3state1ap0acc_024940,0.1618,,,176,30976,332,cold
align,3state1ap0acc_007433_c×3state1ap0acc_091214_c,0.129,,,135,18225,301,cold
align,3state1ap0acc_007434_c×3state1ap0acc_012616,0.0412,,,26,676,49,cold
align,3state1ap0acc_007434_c×3state1ap0acc_029016,0.0519,,,53,2809,120,cold
align,3state1ap0acc_007436×3state1ap0acc_075942_c,0.3232,,,324,104976,416,cold
align,3state1ap0acc_007437×3state1ap0acc_025716,0.2352,,,261,68121,471,cold
align,3state1ap0acc_007450_c×3state1ap0acc_024952,0.1627,,,178,31684,345,cold
align,3state1ap0acc_007450_c×3state1ap0acc_025232,0.0848,,,78,6084,177,cold
align,3state1ap0acc_007450×3state1ap0acc_073862,0.0624,,,55,3025,125,cold
align,3state1ap0acc_007462_c×3state1ap0acc_076420,0.1217,,,128,16384,308,cold
align,3state1ap0acc_007462_c×3state1ap0acc_106633_c,0.1649,,,172,29584,236,cold
align,3state1ap0acc_007462×3state1ap0acc_024707,0.0696,,,71,5041,220,cold
align,3state1ap0acc_007462×3state1ap0acc_071710_c,0.1605,,,157,24649,315,cold
align,3state1ap0acc_007560_c×3state1ap0acc_080024,0.2003,,,222,49284,379,cold
align,3state1ap0acc_007560_c×3state1ap0acc_092297,0.1473,,,153,23409,158,cold
align,3state1ap0acc_007684×3state1ap0acc_079886_c,0.0918,,,86,7396,191,cold
align,3state1ap0acc_007686_c×3state1ap0acc_074084,0.2971,,,336,112896,233,cold
align,3state1ap0acc_007692×3state1ap0acc_079400,0.4532,,,496,246016,360,cold
align,3state1ap0acc_007693×3state1ap0acc_029352,0.0896,,,89,7921,206,cold
align,3state1ap0acc_007708_c×3state1ap0acc_073869,0.1011,,,110,12100,347,cold
align,3state1ap0acc_007708_c×3state1ap0acc_090796,0.1848,,,193,37249,461,cold
align,3state1ap0acc_007708×3state1ap0acc_111008_c,0.145,,,162,26244,397,cold
align,3state1ap0acc_007820_c×3state1ap0acc_021922,0.1236,,,131,17161,196,cold
align,3state1ap0acc_007836×3state1ap0acc_024708_c,0.0464,,,43,1849,131,cold
align,3state1ap0acc_008280_c×3state1ap0acc_024881,0.0376,,,35,1225,44,cold
align,3state1ap0acc_008280×3state1ap0acc_029004_c,0.0447,,,40,1600,68,cold
align,3state1ap0acc_012361×3state1ap0acc_070296,0.0391,,,36,1296,64,cold
align,3state1ap0acc_012364_c×3state1ap0acc_073816,0.0452,,,39,1521,63,cold
align,3state1ap0acc_012366_c×3state1ap0acc_075786_c,0.0412,,,37,1369,72,cold
align,3state1ap0acc_012366×3state1ap0acc_071768,0.0468,,,45,2025,129,cold
align,3state1ap0acc_012552×3state1ap0acc_096392_c,0.0263,,,16,256,41,cold
align,3state1ap0acc_012556×3state1ap0acc_012580_c,0.0353,,,23,529,24,cold
align,3state1ap0acc_012568_c×3state1ap0acc_021112,0.0828,,,81,6561,135,cold
align,3state1ap0acc_012568_c×3state1ap0acc_031249_c,0.0482,,,42,1764,63,cold
align,3state1ap0acc_012568×3state1ap0acc_015428,0.1432,,,164,26896,750,cold
align,3state1ap0acc_012580_c×3state1ap0acc_113156,0.0768,,,70,4900,123,cold
align,3state1ap0acc_012580×3state1ap0acc_080008,0.0765,,,80,6400,132,cold
align,3state1ap0acc_012584_c×3state1ap0acc_080398,0.0616,,,47,2209,81,cold
align,3state1ap0acc_012584×3state1ap0acc_024672_c,0.0454,,,32,1024,43,cold
align,3state1ap0acc_012586×3state1ap0acc_072334,0.0346,,,27,729,51,cold
align,3state1ap0acc_012622×3state1ap0acc_029380,0.0257,,,16,256,41,cold
align,3state1ap0acc_012622×3state1ap0acc_110756_c,0.0415,,,35,1225,104,cold
align,3state1ap0acc_012648_c×3state1ap0acc_025712_c,0.2381,,,265,70225,521,cold
align,3state1ap0acc_012648×3state1ap0acc_073802,0.0557,,,49,2401,86,cold
align,3state1ap0acc_012652_c×3state1ap0acc_024716,0.0598,,,54,2916,157,cold
align,3state1ap0acc_012652_c×3state1ap0acc_078532,0.0621,,,60,3600,161,cold
align,3state1ap0acc_012652×3state1ap0acc_080012_c,0.0842,,,87,7569,223,cold
align,3state1ap0acc_012680_c×3state1ap0acc_026192_c,0.1068,,,110,12100,198,cold
align,3state1ap0acc_012714×3state1ap0acc_027165_c,0.0599,,,59,3481,156,cold
align,3state1ap0acc_012744×3state1ap0acc_025360,0.0259,,,19,361,35,cold
align,3state1ap0acc_013317_c×3state1ap0acc_030025,0.0533,,,51,2601,154,cold
align,3state1ap0acc_013320×3state1ap0acc_074824_c,0.0722,,,71,5041,69,cold
align,3state1ap0acc_013321_c×3state1ap0acc_079908_c,0.0735,,,72,5184,135,cold
align,3state1ap0acc_013322×3state1ap0acc_025650,0.0875,,,89,7921,138,cold
align,3state1ap0acc_013324_c×3state1ap0acc_074860,0.2789,,,308,94864,216,cold
align,3state1ap0acc_013324×3state1ap0acc_020904,0.136,,,145,21025,148,cold
align,3state1ap0acc_013325×3state1ap0acc_021105_c,0.2388,,,262,68644,458,cold
align,3state1ap0acc_013326×3state1ap0acc_075912,0.3726,,,410,168100,449,cold
align,3state1ap0acc_013337_c×3state1ap0acc_030029_c,0.1067,,,107,11449,164,cold
align,3state1ap0acc_013337_c×3state1ap0acc_074372,0.0709,,,67,4489,136,cold
align,3state1ap0acc_013337×3state1ap0acc_070360_c,0.1393,,,156,24336,212,cold
align,3state1ap0acc_013348×3state1ap0acc_025058_c,0.1565,,,165,27225,144,cold
align,3state1ap0acc_013356×3state1ap0acc_029800,0.0907,,,92,8464,119,cold
align,3state1ap0acc_013358_c×3state1ap0acc_026705,0.1423,,,147,21609,260,cold
align,3state1ap0acc_013358×3state1ap0acc_074092_c,0.1297,,,143,20449,273,cold
align,3state1ap0acc_013384_c×3state1ap0acc_078374_c,0.0368,,,31,961,61,cold
align,3state1ap0acc_013384×3state1ap0acc_024752,0.0503,,,43,1849,98,cold
align,3state1ap0acc_013385_c×3state1ap0acc_024738_c,0.0492,,,45,2025,104,cold
align,3state1ap0acc_013388×3state1ap0acc_024684_c,0.2338,,,245,60025,324,cold
align,3state1ap0acc_013388×3state1ap0acc_024720,0.0633,,,66,4356,269,cold
align,3state1ap0acc_013389×3state1ap0acc_031241,0.1286,,,134,17956,263,cold
align,3state1ap0acc_013401_c×3state1ap0acc_024673,0.0735,,,67,4489,114,cold
align,3state1ap0acc_013401_c×3state1ap0acc_031256,0.0818,,,81,6561,281,cold
align,3state1ap0acc_013412_c×3state1ap0acc_029976_c,0.7042,,,708,501264,732,cold
align,3state1ap0acc_013412_c×3state1ap0acc_079910_c,0.1713,,,189,35721,511,cold
align,3state1ap0acc_013448_c×3state1ap0acc_076313_c,0.1741,,,177,31329,431,cold
align,3state1ap0acc_013577_c×3state1ap0acc_025957,0.2899,,,296,87616,446,cold
align,3state1ap0acc_013577×3state1ap0acc_013612,0.154,,,157,24649,364,cold
align,3state1ap0acc_013577×3state1ap0acc_025882_c,0.1685,,,177,31329,355,cold
align,3state1ap0acc_013592_c×3state1ap0acc_025120_c,0.0839,,,77,5929,327,cold
align,3state1ap0acc_013592×3state1ap0acc_074020_c,0.1657,,,177,31329,343,cold
align,3state1ap0acc_013606_c×3state1ap0acc_031010,0.1569,,,162,26244,380,cold
align,3state1ap0acc_013606×3state1ap0acc_026684,0.2399,,,262,68644,464,cold
align,3state1ap0acc_013612_c×3state1ap0acc_071710_c,0.0872,,,86,7396,228,cold
align,3state1ap0acc_013614_c×3state1ap0acc_079428,0.1313,,,129,16641,322,cold
align,3state1ap0acc_013614×3state1ap0acc_076316_c,0.1297,,,126,15876,359,cold
align,3state1ap0acc_013640×3state1ap0acc_075910,0.0793,,,74,5476,143,cold
align,3state1ap0acc_013644×3state1ap0acc_073996,0.0508,,,45,2025,142,cold
align,3state1ap0acc_013645_c×3state1ap0acc_079876_c,0.0884,,,91,8281,160,cold
align,3state1ap0acc_013645×3state1ap0acc_024928_c,0.0733,,,73,5329,151,cold
align,3state1ap0acc_013676_c×3state1ap0acc_020728_c,0.0527,,,49,2401,191,cold
align,3state1ap0acc_013676_c×3state1ap0acc_076316,0.0893,,,91,8281,337,cold
align,3state1ap0acc_013676×3state1ap0acc_078088_c,0.0268,,,21,441,65,cold
align,3state1ap0acc_013829_c×3state1ap0acc_029800,0.1233,,,129,16641,456,cold
align,3state1ap0acc_013844_c×3state1ap0acc_076042_c,0.6945,,,760,577600,717,cold
align,3state1ap0acc_013845_c×3state1ap0acc_025632_c,0.1186,,,113,12769,232,cold
align,3state1ap0acc_013845_c×3state1ap0acc_074436_c,0.0937,,,97,9409,227,cold
align,3state1ap0acc_013845×3state1ap0acc_030088,0.1593,,,171,29241,286,cold
align,3state1ap0acc_013864_c×3state1ap0acc_026800_c,0.2182,,,234,54756,485,cold
align,3state1ap0acc_013864×3state1ap0acc_071822_c,0.1233,,,128,16384,383,cold
align,3state1ap0acc_013892_c×3state1ap0acc_074377_c,0.2005,,,216,46656,660,cold
align,3state1ap0acc_013892×3state1ap0acc_079880_c,0.1837,,,192,36864,605,cold
align,3state1ap0acc_013893×3state1ap0acc_075797_c,0.1696,,,175,30625,388,cold
align,3state1ap0acc_013908×3state1ap0acc_025708_c,0.1232,,,122,14884,283,cold
align,3state1ap0acc_013908×3state1ap0acc_096456,0.1613,,,168,28224,353,cold
align,3state1ap0acc_015364_c×3state1ap0acc_024728_c,0.0701,,,69,4761,95,cold
align,3state1ap0acc_015364_c×3state1ap0acc_024802_c,0.0749,,,75,5625,120,cold
align,3state1ap0acc_015432×3state1ap0acc_025712_c,0.6759,,,704,495616,740,cold
align,3state1ap0acc_015432×3state1ap0acc_075910_c,0.1986,,,222,49284,363,cold
align,3state1ap0acc_015624_c×3state1ap0acc_075789,0.0936,,,103,10609,174,cold
align,3state1ap0acc_015688×3state1ap0acc_024709_c,0.0563,,,51,2601,102,cold
align,3state1ap0acc_020568×3state1ap0acc_074852_c,0.148,,,161,25921,354,cold
align,3state1ap0acc_020617×3state1ap0acc_106636_c,0.0424,,,37,1369,52,cold
align,3state1ap0acc_020636×3state1ap0acc_026808,0.103,,,110,12100,193,cold
align,3state1ap0acc_020712×3state1ap0acc_025157_c,0.0753,,,73,5329,158,cold
align,3state1ap0acc_020728×3state1ap0acc_079365,0.3012,,,325,105625,506,cold
align,3state1ap0acc_020874_c×3state1ap0acc_025908_c,0.0551,,,49,2401,128,cold
align,3state1ap0acc_020888_c×3state1ap0acc_086625_c,0.2443,,,270,72900,409,cold
align,3state1ap0acc_020888×3state1ap0acc_074830,0.1076,,,109,11881,387,cold
align,3state1ap0acc_020896×3state1ap0acc_028809_c,0.0631,,,59,3481,85,cold
align,3state1ap0acc_020898_c×3state1ap0acc_071772_c,0.1617,,,171,29241,314,cold
align,3state1ap0acc_020904×3state1ap0acc_021676_c,0.1161,,,121,14641,257,cold
align,3state1ap0acc_020912_c×3state1ap0acc_070276,0.1006,,,105,11025,346,cold
align,3state1ap0acc_020912×3state1ap0acc_069772_c,0.1087,,,109,11881,354,cold
align,3state1ap0acc_020912×3state1ap0acc_075814_c,0.2913,,,325,105625,571,cold
align,3state1ap0acc_020914_c×3state1ap0acc_075805_c,0.1638,,,173,29929,175,cold
align,3state1ap0acc_020920_c×3state1ap0acc_029988_c,0.1672,,,172,29584,394,cold
align,3state1ap0acc_021025_c×3state1ap0acc_076040,0.0606,,,62,3844,89,cold
align,3state1ap0acc_021072_c×3state1ap0acc_071814,0.1108,,,118,13924,268,cold
align,3state1ap0acc_021080_c×3state1ap0acc_092680,0.0317,,,23,529,82,cold
align,3state1ap0acc_021080×3state1ap0acc_026673_c,0.0708,,,71,5041,136,cold
align,3state1ap0acc_021080×3state1ap0acc_031256_c,0.0704,,,70,4900,301,cold
align,3state1ap0acc_021080×3state1ap0acc_074372_c,0.0454,,,37,1369,105,cold
align,3state1ap0acc_021089×3state1ap0acc_031048,0.0482,,,47,2209,112,cold
align,3state1ap0acc_021092_c×3state1ap0acc_025105,0.0737,,,72,5184,269,cold
align,3state1ap0acc_021096_c×3state1ap0acc_031010_c,0.0556,,,52,2704,166,cold
align,3state1ap0acc_021096×3state1ap0acc_026132_c,0.1356,,,149,22201,297,cold
align,3state1ap0acc_021104×3state1ap0acc_030729,0.4467,,,477,227529,515,cold
align,3state1ap0acc_021105×3state1ap0acc_070284_c,0.087,,,90,8100,190,cold
align,3state1ap0acc_021108_c×3state1ap0acc_029321,0.095,,,98,9604,264,cold
align,3state1ap0acc_021112×3state1ap0acc_074756_c,0.0534,,,47,2209,140,cold
align,3state1ap0acc_021145×3state1ap0acc_025704,0.0465,,,41,1681,110,cold
align,3state1ap0acc_021208_c×3state1ap0acc_031249_c,0.1427,,,134,17956,392,cold
align,3state1ap0acc_021208_c×3state1ap0acc_074472,0.3054,,,344,118336,593,cold
align,3state1ap0acc_021542×3state1ap0acc_070024,0.0671,,,63,3969,91,cold
align,3state1ap0acc_021657_c×3state1ap0acc_090312,0.1097,,,109,11881,354,cold
align,3state1ap0acc_021660×3state1ap0acc_080393_c,0.2516,,,259,67081,499,cold
align,3state1ap0acc_021736×3state1ap0acc_081412,0.0715,,,68,4624,185,cold
align,3state1ap0acc_021778×3state1ap0acc_072326_c,0.0502,,,38,1444,147,cold
align,3state1ap0acc_021936×3state1ap0acc_074249_c,0.0904,,,94,8836,270,cold
align,3state1ap0acc_021938_c×3state1ap0acc_074396,0.0728,,,72,5184,176,cold
align,3state1ap0acc_022049×3state1ap0acc_075268,0.1753,,,190,36100,392,cold
align,3state1ap0acc_022065×3state1ap0acc_086232,0.3606,,,369,136161,519,cold
align,3state1ap0acc_022112_c×3state1ap0acc_025276,0.116,,,122,14884,294,cold
align,3state1ap0acc_022112×3state1ap0acc_090848_c,0.2132,,,219,47961,331,cold
align,3state1ap0acc_022128_c×3state1ap0acc_075789,0.2403,,,267,71289,265,cold
align,3state1ap0acc_024642_c×3state1ap0acc_074058,0.0208,,,10,100,26,cold
align,3state1ap0acc_024642_c×3state1ap0acc_074325_c,0.0428,,,40,1600,183,cold
align,3state1ap0acc_024654×3state1ap0acc_077976_c,0.0491,,,45,2025,99,cold
align,3state1ap0acc_024656_c×3state1ap0acc_024924,0.0611,,,57,3249,161,cold
align,3state1ap0acc_024657_c×3state1ap0acc_030088_c,0.0636,,,57,3249,121,cold
align,3state1ap0acc_024666×3state1ap0acc_079528,0.1701,,,179,32041,327,cold
align,3state1ap0acc_024673_c×3state1ap0acc_025105_c,0.0663,,,58,3364,91,cold
align,3state1ap0acc_024674×3state1ap0acc_076420_c,0.0626,,,60,3600,128,cold
align,3state1ap0acc_024682_c×3state1ap0acc_074278,0.0635,,,61,3721,85,cold
align,3state1ap0acc_024682×3state1ap0acc_027185,0.0524,,,43,1849,110,cold
align,3state1ap0acc_024684_c×3state1ap0acc_090693,0.1101,,,118,13924,138,cold
align,3state1ap0acc_024684×3state1ap0acc_090640,0.0731,,,70,4900,99,cold
align,3state1ap0acc_024690_c×3state1ap0acc_073993,0.0738,,,73,5329,223,cold
align,3state1ap0acc_024696_c×3state1ap0acc_076313_c,0.1952,,,226,51076,479,cold
align,3state1ap0acc_024696×3state1ap0acc_086640_c,0.2252,,,251,63001,288,cold
align,3state1ap0acc_024698×3state1ap0acc_070796_c,0.3092,,,337,113569,542,cold
align,3state1ap0acc_024698×3state1ap0acc_090188_c,0.1587,,,181,32761,127,cold
align,3state1ap0acc_024705_c×3state1ap0acc_025136_c,0.03,,,25,625,25,cold
align,3state1ap0acc_024722_c×3state1ap0acc_025690_c,0.1209,,,133,17689,462,cold
align,3state1ap0acc_024736_c×3state1ap0acc_076297,0.1658,,,182,33124,446,cold
align,3state1ap0acc_024736×3state1ap0acc_074060_c,0.0429,,,42,1764,116,cold
align,3state1ap0acc_024737_c×3state1ap0acc_080393_c,0.1506,,,157,24649,227,cold
align,3state1ap0acc_024738_c×3state1ap0acc_031752,0.0944,,,97,9409,112,cold
align,3state1ap0acc_024741_c×3state1ap0acc_028760_c,0.1622,,,173,29929,453,cold
align,3state1ap0acc_024752×3state1ap0acc_079444,0.1384,,,153,23409,230,cold
align,3state1ap0acc_024773×3state1ap0acc_069704,0.0282,,,21,441,47,cold
align,3state1ap0acc_024784_c×3state1ap0acc_028192,0.0595,,,57,3249,99,cold
align,3state1ap0acc_024784×3state1ap0acc_029736,0.0502,,,42,1764,59,cold
align,3state1ap0acc_024808_c×3state1ap0acc_074086,0.1193,,,119,14161,250,cold
align,3state1ap0acc_024835_c×3state1ap0acc_029066_c,0.0258,,,19,361,43,cold
align,3state1ap0acc_024849×3state1ap0acc_069800_c,0.0246,,,19,361,44,cold
align,3state1ap0acc_024864×3state1ap0acc_031384_c,0.0377,,,31,961,112,cold
align,3state1ap0acc_024865_c×3state1ap0acc_029356,0.1107,,,111,12321,155,cold
align,3state1ap0acc_024906×3state1ap0acc_096398_c,0.0252,,,19,361,65,cold
align,3state1ap0acc_024910_c×3state1ap0acc_074408_c,0.0487,,,45,2025,131,cold
align,3state1ap0acc_024922×3state1ap0acc_076428,0.0685,,,70,4900,253,cold
align,3state1ap0acc_024924_c×3state1ap0acc_078372,0.061,,,58,3364,145,cold
align,3state1ap0acc_024930×3state1ap0acc_025276,0.0597,,,58,3364,119,cold
align,3state1ap0acc_024930×3state1ap0acc_074788_c,0.0524,,,44,1936,114,cold
align,3state1ap0acc_024936_c×3state1ap0acc_074854_c,0.0963,,,95,9025,145,cold
align,3state1ap0acc_024936×3state1ap0acc_029976,0.1111,,,115,13225,305,cold
align,3state1ap0acc_024936×3state1ap0acc_075285_c,0.093,,,97,9409,163,cold
align,3state1ap0acc_024940×3state1ap0acc_025261_c,0.0561,,,43,1849,117,cold
align,3state1ap0acc_024946_c×3state1ap0acc_031752,0.1594,,,173,29929,277,cold
align,3state1ap0acc_025056×3state1ap0acc_031784_c,0.1056,,,117,13689,182,cold
align,3state1ap0acc_025104_c×3state1ap0acc_076301_c,0.0688,,,69,4761,246,cold
align,3state1ap0acc_025108×3state1ap0acc_090856,0.0554,,,49,2401,81,cold
align,3state1ap0acc_025121_c×3state1ap0acc_026649_c,0.068,,,71,5041,107,cold
align,3state1ap0acc_025157×3state1ap0acc_096522,0.0636,,,65,4225,189,cold
align,3state1ap0acc_025168_c×3state1ap0acc_080138_c,0.2049,,,224,50176,318,cold
align,3state1ap0acc_025172_c×3state1ap0acc_093194,0.2049,,,229,52441,491,cold
align,3state1ap0acc_025184_c×3state1ap0acc_079365,0.2854,,,311,96721,430,cold
align,3state1ap0acc_025186_c×3state1ap0acc_080006_c,0.1193,,,127,16129,191,cold
align,3state1ap0acc_025229×3state1ap0acc_075844,0.0549,,,51,2601,80,cold
align,3state1ap0acc_025233×3state1ap0acc_074852,0.21,,,224,50176,384,cold
align,3state1ap0acc_025236_c×3state1ap0acc_031748,0.0813,,,83,6889,143,cold
align,3state1ap0acc_025240_c×3state1ap0acc_086640,0.131,,,132,17424,314,cold
align,3state1ap0acc_025240×3state1ap0acc_076074,0.149,,,156,24336,235,cold
align,3state1ap0acc_025244_c×3state1ap0acc_075913,0.2048,,,235,55225,417,cold
align,3state1ap0acc_025253_c×3state1ap0acc_069788_c,0.0825,,,87,7569,132,cold
align,3state1ap0acc_025257×3state1ap0acc_091236_c,0.4751,,,507,257049,644,cold
align,3state1ap0acc_025261_c×3state1ap0acc_026676,0.0821,,,78,6084,214,cold
align,3state1ap0acc_025268_c×3state1ap0acc_061766,0.0665,,,69,4761,117,cold
align,3state1ap0acc_025276×3state1ap0acc_092744,0.0468,,,42,1764,114,cold
align,3state1ap0acc_025320×3state1ap0acc_073994_c,0.0793,,,72,5184,197,cold
align,3state1ap0acc_025320×3state1ap0acc_074761_c,0.1972,,,214,45796,238,cold
align,3state1ap0acc_025617×3state1ap0acc_092680_c,0.0306,,,19,361,43,cold
align,3state1ap0acc_025624_c×3state1ap0acc_073996,0.0325,,,22,484,35,cold
align,3state1ap0acc_025632_c×3state1ap0acc_070276_c,0.0372,,,33,1089,46,cold
align,3state1ap0acc_025633_c×3state1ap0acc_030872_c,0.173,,,191,36481,229,cold
align,3state1ap0acc_025633×3state1ap0acc_107088,0.1407,,,144,20736,111,cold
align,3state1ap0acc_025634_c×3state1ap0acc_029000,0.0471,,,38,1444,65,cold
align,3state1ap0acc_025640_c×3state1ap0acc_106636_c,0.0378,,,33,1089,51,cold
align,3state1ap0acc_025644×3state1ap0acc_025708_c,0.0397,,,29,841,103,cold
align,3state1ap0acc_025648_c×3state1ap0acc_075785_c,0.1394,,,156,24336,102,cold
align,3state1ap0acc_025656_c×3state1ap0acc_092170,0.1064,,,111,12321,142,cold
align,3state1ap0acc_025680×3state1ap0acc_090848_c,0.1155,,,111,12321,171,cold
align,3state1ap0acc_025701_c×3state1ap0acc_075913,0.2275,,,218,47524,666,cold
align,3state1ap0acc_025701_c×3state1ap0acc_090693_c,0.1274,,,136,18496,384,cold
align,3state1ap0acc_025706×3state1ap0acc_078473_c,0.0406,,,37,1369,90,cold
align,3state1ap0acc_025713×3state1ap0acc_069848_c,0.0731,,,75,5625,160,cold
align,3state1ap0acc_025714×3state1ap0acc_030240_c,0.1706,,,183,33489,385,cold
align,3state1ap0acc_025716_c×3state1ap0acc_080904_c,0.3643,,,395,156025,588,cold
align,3state1ap0acc_025720_c×3state1ap0acc_030028_c,0.1068,,,107,11449,273,cold
align,3state1ap0acc_025834_c×3state1ap0acc_069772_c,0.0404,,,34,1156,55,cold
align,3state1ap0acc_025880_c×3state1ap0acc_071772,0.1386,,,147,21609,371,cold
align,3state1ap0acc_025880×3state1ap0acc_026640,0.0831,,,86,7396,144,cold
align,3state1ap0acc_025880×3state1ap0acc_071754_c,0.0809,,,75,5625,169,cold
align,3state1ap0acc_025889_c×3state1ap0acc_073804,0.0884,,,81,6561,168,cold
align,3state1ap0acc_025889_c×3state1ap0acc_080024,0.3472,,,371,137641,495,cold
align,3state1ap0acc_025890_c×3state1ap0acc_091210_c,0.0574,,,56,3136,166,cold
align,3state1ap0acc_025904_c×3state1ap0acc_078118_c,0.0449,,,38,1444,142,cold
align,3state1ap0acc_025912_c×3state1ap0acc_077976,0.1407,,,151,22801,211,cold
align,3state1ap0acc_025912_c×3state1ap0acc_079886_c,0.1343,,,144,20736,281,cold
align,3state1ap0acc_025953×3state1ap0acc_090722,0.1922,,,194,37636,586,cold
align,3state1ap0acc_026129_c×3state1ap0acc_075782,0.1149,,,119,14161,376,cold
align,3state1ap0acc_026129×3state1ap0acc_091816,0.2576,,,282,79524,472,cold
align,3state1ap0acc_026192_c×3state1ap0acc_092172,0.255,,,273,74529,387,cold
align,3state1ap0acc_026257_c×3state1ap0acc_030884,0.0858,,,91,8281,224,cold
align,3state1ap0acc_026640×3state1ap0acc_075804,0.1184,,,129,16641,249,cold
align,3state1ap0acc_026641×3state1ap0acc_074404,0.129,,,139,19321,340,cold
align,3state1ap0acc_026642×3state1ap0acc_092174_c,0.1171,,,125,15625,254,cold
align,3state1ap0acc_026649×3state1ap0acc_075116_c,0.103,,,106,11236,157,cold
align,3state1ap0acc_026652_c×3state1ap0acc_077988,0.3992,,,410,168100,336,cold
align,3state1ap0acc_026653×3state1ap0acc_087193,0.203,,,222,49284,287,cold
align,3state1ap0acc_026672×3state1ap0acc_090644,0.0378,,,28,784,64,cold
align,3state1ap0acc_026680_c×3state1ap0acc_080024,0.6268,,,686,470596,746,cold
align,3state1ap0acc_026681×3state1ap0acc_074088_c,0.0441,,,40,1600,99,cold
align,3state1ap0acc_026705×3state1ap0acc_074388,0.1198,,,124,15376,235,cold
align,3state1ap0acc_026708_c×3state1ap0acc_071048,0.2463,,,279,77841,528,cold
align,3state1ap0acc_026769_c×3state1ap0acc_073804,0.0793,,,71,5041,115,cold
align,3state1ap0acc_026800×3state1ap0acc_075789,0.106,,,115,13225,241,cold
align,3state1ap0acc_027153×3state1ap0acc_074372,0.0303,,,23,529,58,cold
align,3state1ap0acc_027165×3state1ap0acc_091336_c,0.0914,,,94,8836,171,cold
align,3state1ap0acc_027184_c×3state1ap0acc_092296_c,0.2077,,,227,51529,348,cold
align,3state1ap0acc_027188×3state1ap0acc_074022_c,0.1035,,,108,11664,180,cold
align,3state1ap0acc_027192×3state1ap0acc_078925,0.1073,,,116,13456,164,cold
align,3state1ap0acc_027193×3state1ap0acc_096270,0.0457,,,43,1849,129,cold
align,3state1ap0acc_027196_c×3state1ap0acc_077128_c,0.1096,,,117,13689,176,cold
align,3state1ap0acc_028192_c×3state1ap0acc_091808,0.076,,,68,4624,151,cold
align,3state1ap0acc_028742×3state1ap0acc_029325_c,0.0283,,,19,361,30,cold
align,3state1ap0acc_028748_c×3state1ap0acc_080900,0.091,,,98,9604,336,cold
align,3state1ap0acc_028760_c×3state1ap0acc_074760,0.1292,,,134,17956,414,cold
align,3state1ap0acc_028760×3state1ap0acc_073880_c,0.1541,,,158,24964,427,cold
align,3state1ap0acc_028760×3state1ap0acc_080964,0.3348,,,350,122500,631,cold
align,3state1ap0acc_028772_c×3state1ap0acc_030920,0.2114,,,229,52441,346,cold
align,3state1ap0acc_028809_c×3state1ap0acc_029710_c,0.0981,,,105,11025,356,cold
align,3state1ap0acc_028813×3state1ap0acc_075812,0.0354,,,30,900,64,cold
align,3state1ap0acc_028868×3state1ap0acc_078856,0.0375,,,34,1156,51,cold
align,3state1ap0acc_028872_c×3state1ap0acc_086169_c,0.0688,,,71,5041,103,cold
align,3state1ap0acc_028930_c×3state1ap0acc_096456,0.0475,,,36,1296,108,cold
align,3state1ap0acc_028936_c×3state1ap0acc_071814_c,0.0437,,,33,1089,90,cold
align,3state1ap0acc_028960_c×3state1ap0acc_086641_c,0.1038,,,106,11236,204,cold
align,3state1ap0acc_028960×3state1ap0acc_075976,0.16,,,173,29929,751,cold
align,3state1ap0acc_029000×3state1ap0acc_029988_c,0.0934,,,87,7569,256,cold
align,3state1ap0acc_029000×3state1ap0acc_070026_c,0.0384,,,30,900,55,cold
align,3state1ap0acc_029000×3state1ap0acc_087193,0.0971,,,93,8649,219,cold
align,3state1ap0acc_029004_c×3state1ap0acc_078886_c,0.042,,,35,1225,86,cold
align,3state1ap0acc_029004×3state1ap0acc_076301,0.0632,,,62,3844,272,cold
align,3state1ap0acc_029066_c×3state1ap0acc_071710_c,0.0699,,,64,4096,140,cold
align,3state1ap0acc_029189×3state1ap0acc_091238,0.0655,,,61,3721,183,cold
align,3state1ap0acc_029204_c×3state1ap0acc_071962,0.0886,,,83,6889,123,cold
align,3state1ap0acc_029204×3state1ap0acc_072710_c,0.1231,,,127,16129,443,cold
align,3state1ap0acc_029204×3state1ap0acc_078568,0.0657,,,60,3600,71,cold
align,3state1ap0acc_029205×3state1ap0acc_074308_c,0.0522,,,48,2304,48,cold
