op,case,calc_ms,spot_ms,spot2_ms,nodes,cells,linked,note
align,2state1ap1acc_04902×3state1ap0acc_029269_c,0.0403,,,33,1089,124,cold
align,2state1ap1acc_05192_c×2state1ap1acc_16928,0.0439,,,41,1681,75,cold
align,2state1ap1acc_05196_c×3state1ap0acc_106568,0.037,,,27,729,45,cold
align,2state1ap1acc_05196×2state1ap2acc_parity_0021782912,0.0456,,,39,1521,54,cold
align,2state1ap1acc_05196×2state1ap2acc_parity_2340605713_c,0.026,,,21,441,45,cold
align,2state1ap1acc_05196×3state1ap0acc_029962_c,0.0722,,,61,3721,125,cold
align,2state1ap1acc_05250_c×3state1ap0acc_013326,0.0805,,,79,6241,278,cold
align,2state1ap1acc_05250×3state1ap0acc_071880,0.0346,,,29,841,80,cold
align,2state1ap1acc_05760_c×3state1ap0acc_074264_c,0.0226,,,16,256,30,cold
align,2state1ap1acc_05760×2state1ap2acc_parity_0270871214_c,0.0352,,,28,784,51,cold
align,2state1ap1acc_05762_c×2state1ap2acc_parity_0015679492_c,0.0335,,,29,841,102,cold
align,2state1ap1acc_06208×3state1ap0acc_006428,0.0773,,,77,5929,285,cold
align,2state1ap1acc_06272×3state1ap0acc_029268_c,0.1046,,,112,12544,241,cold
align,2state1ap1acc_06284×3state1ap0acc_075116_c,0.0273,,,22,484,76,cold
align,2state1ap1acc_06344_c×3state1ap0acc_074276_c,0.0332,,,28,784,29,cold
align,2state1ap1acc_06344×3state1ap0acc_074788,0.0391,,,32,1024,77,cold
align,2state1ap1acc_06540_c×3state1ap0acc_106566_c,0.0255,,,18,324,28,cold
align,2state1ap1acc_06592_c×3state1ap0acc_107104_c,0.1233,,,120,14400,367,cold
align,2state1ap1acc_06600×3state1ap0acc_007436,0.0668,,,64,4096,316,cold
align,2state1ap1acc_16642×3state1ap0acc_076420,0.0381,,,36,1296,103,cold
align,2state1ap1acc_16898_c×3state1ap0acc_007172_c,0.0264,,,20,400,32,cold
align,2state1ap1acc_16913_c×3state1ap0acc_073801_c,0.0185,,,11,121,32,cold
align,2state1ap1acc_16928_c×3state1ap0acc_031238_c,0.0415,,,33,1089,70,cold
align,2state1ap1acc_17184×3state1ap0acc_007206,0.1012,,,101,10201,229,cold
align,2state1ap1acc_17184×3state1ap0acc_074829_c,0.0394,,,33,1089,118,cold
align,2state1ap1acc_17538×2state1ap2acc_parity_0006272130_c,0.0299,,,22,484,32,cold
align,2state1ap1acc_18048_c×3state1ap0acc_006324_c,0.0546,,,52,2704,209,cold
align,2state1ap1acc_18497_c×3state1ap0acc_079365_c,0.0765,,,78,6084,399,cold
align,2state1ap1acc_18497×2state1ap2acc_parity_0088367886_c,0.0362,,,23,529,53,cold
align,2state1ap1acc_18497×3state1ap0acc_093194_c,0.0983,,,91,8281,214,cold
align,2state1ap1acc_18561×3state1ap0acc_025632,0.0294,,,20,400,49,cold
align,2state1ap1acc_18577_c×3state1ap0acc_025976_c,0.0516,,,50,2500,118,cold
align,2state1ap1acc_18824×3state1ap0acc_076805_c,0.0629,,,68,4624,257,cold
align,2state1ap1acc_19552×2state1ap2acc_parity_1428488866_c,0.0288,,,21,441,43,cold
