input,result,technique,build_s,formula,dag,temporals,tree,sharing,md5,validation,check_s,source
1state3ap0acc_091.hoa,LTL,daisy,0.079,G((!a & c) | (a & !c) | (!a & !b)),11,1,15,1.4,335f52fce3a1,TRUE,0.044,genaut/corpus/1state3ap0acc/1state3ap0acc_091.hoa
1state3ap0acc_103.hoa,LTL,daisy,0.080,G((!a & b) | (a & !b) | (!a & !c)),11,1,15,1.4,3472bd01ba95,TRUE,0.043,genaut/corpus/1state3ap0acc/1state3ap0acc_103.hoa
1state3ap0acc_104.hoa,LTL,daisy,0.076,G((!a & b & c) | (a & !b & c) | (a & b & !c)),11,1,17,1.5,d5733f172bf7,TRUE,0.044,genaut/corpus/1state3ap0acc/1state3ap0acc_104.hoa
1state3ap0acc_105.hoa,LTL,daisy,0.077,G((!a & !b & !c) | (!a & b & c) | (a & !b & c) | (a & b & !c)),12,1,24,2.0,1c6e2dd92cc6,TRUE,0.042,genaut/corpus/1state3ap0acc/1state3ap0acc_105.hoa
1state3ap0acc_106.hoa,LTL,daisy,0.076,G((!a & b & c) | (a & !b) | (a & !c)),11,1,15,1.4,ea3b5020a6fc,TRUE,0.041,genaut/corpus/1state3ap0acc/1state3ap0acc_106.hoa
1state3ap0acc_107.hoa,LTL,daisy,0.077,G((!a & b & c) | (a & !b) | (a & !c) | (!b & !c)),12,1,20,1.7,87d51180d57c,TRUE,0.043,genaut/corpus/1state3ap0acc/1state3ap0acc_107.hoa
1state3ap0acc_109.hoa,LTL,daisy,0.079,G((!a & b) | (!a & !c) | (a & !b & c) | (b & !c)),12,1,20,1.7,1645d90655d6,TRUE,0.048,genaut/corpus/1state3ap0acc/1state3ap0acc_109.hoa
1state3ap0acc_110.hoa,LTL,daisy,0.080,G((!a & b) | (a & !b) | (a & !c)),11,1,14,1.3,20e3934a86bf,TRUE,0.043,genaut/corpus/1state3ap0acc/1state3ap0acc_110.hoa
1state3ap0acc_111.hoa,LTL,daisy,0.078,G(!c | (!a & b) | (a & !b)),10,1,12,1.2,e94c74bfc8e4,TRUE,0.045,genaut/corpus/1state3ap0acc/1state3ap0acc_111.hoa
1state3ap0acc_122.hoa,LTL,daisy,0.081,G((!a & c) | (a & !c) | (a & !b)),11,1,14,1.3,41c1d0cc0428,TRUE,0.047,genaut/corpus/1state3ap0acc/1state3ap0acc_122.hoa
1state3ap0acc_123.hoa,LTL,daisy,0.078,G(!b | (!a & c) | (a & !c)),10,1,12,1.2,6db0c4f0e04c,TRUE,0.044,genaut/corpus/1state3ap0acc/1state3ap0acc_123.hoa
1state3ap0acc_124.hoa,LTL,daisy,0.085,G((!b & c) | (b & !c) | (!a & b)),11,1,14,1.3,3a46a00dec43,TRUE,0.045,genaut/corpus/1state3ap0acc/1state3ap0acc_124.hoa
1state3ap0acc_125.hoa,LTL,daisy,0.083,G(!a | (!b & c) | (b & !c)),10,1,12,1.2,a6d3c2471208,TRUE,0.046,genaut/corpus/1state3ap0acc/1state3ap0acc_125.hoa
1state3ap0acc_126.hoa,LTL,daisy,0.078,G((!b & c) | (b & !c) | (!a & b) | (a & !b)),12,1,18,1.5,3179684719ef,TRUE,0.043,genaut/corpus/1state3ap0acc/1state3ap0acc_126.hoa
1state3ap0acc_127.hoa,LTL,daisy,0.073,G(!a | !b | !c),8,1,8,1.0,3944d9794f9c,TRUE,0.046,genaut/corpus/1state3ap0acc/1state3ap0acc_127.hoa
1state3ap0acc_189.hoa,LTL,daisy,0.082,G((!b & c) | (b & !c) | (!a & !b) | (a & b)),12,1,18,1.5,73f9cd9c9cb9,TRUE,0.046,genaut/corpus/1state3ap0acc/1state3ap0acc_189.hoa
1state3ap0acc_255.hoa,LTL,daisy,0.073,1,1,0,1,1.0,e20f564d992f,TRUE,0.045,genaut/corpus/1state3ap0acc/1state3ap0acc_255.hoa
