input,result,technique,build_s,formula,dag,temporals,tree,sharing,md5,validation,check_s,source
1state3ap1acc_00796.hoa,LTL,sos2ltl+sos2ltl.engine,0.090,G((!c | (!a & b)) & F((!a & b & c) | (!b & !c))),14,2,21,1.5,8263e3479976,TRUE,0.045,genaut/corpus/flat_canon/det/1state3ap1acc_00796.hoa
1state3ap1acc_00796_c.hoa,LTL,sos2ltl+sos2ltl.engine,0.092,(c & (a | !b)) | ((!c | (!a & b)) & X(F((a & c) | (!b & c)) | (G(!c | (!a & b)) …,25,4,47,1.9,a7d25b8ef51b,TRUE,0.044,genaut/corpus/flat_canon/det/1state3ap1acc_00796_c.hoa
1state3ap1acc_00828.hoa,LTL,sos2ltl+sos2ltl.engine,0.090,G((!b | c) & F((!b & !c) | (b & c))),11,2,16,1.5,08cf4539995b,TRUE,0.046,genaut/corpus/flat_canon/det/1state3ap1acc_00828.hoa
1state3ap1acc_00828_c.hoa,LTL,sos2ltl+sos2ltl.engine,0.091,(b & !c) | ((!b | c) & X(F(b & !c) | (G(!b | c) & FG((b | c) & (!b | !c))))),18,4,34,1.9,9f7558b589a9,TRUE,0.046,genaut/corpus/flat_canon/det/1state3ap1acc_00828_c.hoa
1state3ap1acc_00832.hoa,LTL,sos2ltl+sos2ltl.engine,0.091,G(((!a & !b & c) | (b & !c)) & F(!a & !b & c)),12,2,20,1.7,6408f9967336,TRUE,0.044,genaut/corpus/flat_canon/det/1state3ap1acc_00832.hoa
1state3ap1acc_00832_c.hoa,LTL,sos2ltl+sos2ltl.engine,0.099,(!b & !c) | (c & (a | b)) | (((!a & !b & c) | (b & !c)) & X(F((a & c) | (!b & !c…,25,4,58,2.3,742fb8a4d22c,TRUE,0.046,genaut/corpus/flat_canon/det/1state3ap1acc_00832_c.hoa
1state3ap1acc_00836.hoa,LTL,sos2ltl+sos2ltl.engine,0.092,G(((!a & c) | (b & !c)) & F(!a & c)),11,2,16,1.5,c6ba53eae274,TRUE,0.043,genaut/corpus/flat_canon/det/1state3ap1acc_00836.hoa
1state3ap1acc_00836_c.hoa,LTL,sos2ltl+sos2ltl.engine,0.098,(a & c) | (!b & !c) | (((!a & c) | (b & !c)) & X(F((a & c) | (!b & !c)) | (G((!a…,22,4,48,2.2,e5cf6e7ba9e3,TRUE,0.042,genaut/corpus/flat_canon/det/1state3ap1acc_00836_c.hoa
1state3ap1acc_00840.hoa,LTL,sos2ltl+sos2ltl.engine,0.094,G(((!a & !b & c) | (b & !c) | (a & b)) & F((!a & !b & c) | (a & b & c))),15,2,28,1.9,370b55bd45fe,TRUE,0.043,genaut/corpus/flat_canon/det/1state3ap1acc_00840.hoa
1state3ap1acc_00840_c.hoa,LTL,sos2ltl+sos2ltl.engine,0.100,(!a & b & c) | (!b & (a | !c)) | (((!a & !b & c) | (b & !c) | (a & b)) & X(F((!a…,28,4,77,2.8,58e2b3991e53,TRUE,0.046,genaut/corpus/flat_canon/det/1state3ap1acc_00840_c.hoa
1state3ap1acc_00844.hoa,LTL,sos2ltl+sos2ltl.engine,0.092,G((b | (!a & c)) & F((!a & c) | (b & c))),11,2,17,1.5,e8d013fdf715,TRUE,0.045,genaut/corpus/flat_canon/det/1state3ap1acc_00844.hoa
1state3ap1acc_00844_c.hoa,LTL,sos2ltl+sos2ltl.engine,0.093,(!b & (a | !c)) | ((b | (!a & c)) & X(F((a & !b) | (!b & !c)) | (G(b | (!a & c))…,24,4,48,2.0,ca079db41ca2,TRUE,0.046,genaut/corpus/flat_canon/det/1state3ap1acc_00844_c.hoa
1state3ap1acc_00852.hoa,LTL,sos2ltl+sos2ltl.engine,0.089,G((b | (!a & c)) & F((a & b) | (b & !c))),13,2,17,1.3,254343124b6b,TRUE,0.045,genaut/corpus/flat_canon/det/1state3ap1acc_00852.hoa
1state3ap1acc_00852_c.hoa,LTL,sos2ltl+sos2ltl.engine,0.092,(!b & (a | !c)) | ((b | (!a & c)) & X(F((a & !b) | (!b & !c)) | (G(b | (!a & c))…,25,4,48,1.9,fc0cb0c31baa,TRUE,0.044,genaut/corpus/flat_canon/det/1state3ap1acc_00852_c.hoa
1state3ap1acc_00856.hoa,LTL,sos2ltl+sos2ltl.engine,0.090,G(((!b & !c) | (a & c) | (!a & !c)) & F((!a & b & !c) | (a & c))),15,2,27,1.8,d78f75b9c5a2,TRUE,0.045,genaut/corpus/flat_canon/det/1state3ap1acc_00856.hoa
1state3ap1acc_00856_c.hoa,LTL,sos2ltl+sos2ltl.engine,0.090,(a & b & !c) | (!a & c) | (((!b & !c) | (a & c) | (!a & !c)) & X(F((a & b & !c) …,25,4,67,2.7,663f9149cb2d,TRUE,0.046,genaut/corpus/flat_canon/det/1state3ap1acc_00856_c.hoa
1state3ap1acc_00860.hoa,LTL,sos2ltl+sos2ltl.engine,0.091,G((!b | c) & F((a & c) | (!b & !c))),12,2,16,1.3,28cd02af10c5,TRUE,0.045,genaut/corpus/flat_canon/det/1state3ap1acc_00860.hoa
1state3ap1acc_00860_c.hoa,LTL,sos2ltl+sos2ltl.engine,0.091,(b & !c) | ((!b | c) & X(F(b & !c) | (G(!b | c) & FG((!a | !c) & (b | c))))),20,4,34,1.7,e51cbb7b6116,TRUE,0.045,genaut/corpus/flat_canon/det/1state3ap1acc_00860_c.hoa
1state3ap1acc_00872.hoa,LTL,sos2ltl+sos2ltl.engine,0.094,G(((!a & !b & c) | (b & !c) | (a & b) | (a & !c)) & F((!a & !b & c) | (a & !b & …,17,2,38,2.2,0882958398c0,TRUE,0.043,genaut/corpus/flat_canon/det/1state3ap1acc_00872.hoa
