input,result,technique,build_s,formula,dag,temporals,tree,sharing,md5,validation,check_s,source
2state1ap0acc_000.hoa,LTL,daisy,0.073,0,1,0,1,1.0,256b0f7a8d39,TRUE,0.041,genaut/corpus/2state1ap0acc/2state1ap0acc_000.hoa
2state1ap0acc_017.hoa,LTL,daisy,0.075,G!a,3,1,3,1.0,6d2bdb385b7a,TRUE,0.047,genaut/corpus/2state1ap0acc/2state1ap0acc_017.hoa
2state1ap0acc_018.hoa,LTL,daisy,0.076,!a & XGa,5,1,6,1.2,65541f1a02fa,TRUE,0.044,genaut/corpus/2state1ap0acc/2state1ap0acc_018.hoa
2state1ap0acc_019.hoa,LTL,daisy,0.073,!a,2,0,2,1.0,dffef08b04a5,TRUE,0.043,genaut/corpus/2state1ap0acc/2state1ap0acc_019.hoa
2state1ap0acc_022.hoa,NOT_LTL,-,1.195,p=2 u=[!a] v=[!a] x=[cycle{a}],,,,,,TRUE,0.054,genaut/corpus/2state1ap0acc/2state1ap0acc_022.hoa
2state1ap0acc_024.hoa,LTL,partscc,0.081,!a & G((!a | X!a) & (a | Xa)),9,1,15,1.7,307ad4ea6833,TRUE,0.044,genaut/corpus/2state1ap0acc/2state1ap0acc_024.hoa
2state1ap0acc_025.hoa,LTL,partscc,0.078,!a & G(!a | X!a),6,1,10,1.7,c502b80fd986,TRUE,0.043,genaut/corpus/2state1ap0acc/2state1ap0acc_025.hoa
2state1ap0acc_026.hoa,LTL,buchi+daisy+daisy2+deep_roundtrip+partscc+strength2,1.227,!a & X(a & G(a | Xa)),8,1,11,1.4,b6212c30b2ab,TRUE,0.043,genaut/corpus/2state1ap0acc/2state1ap0acc_026.hoa
2state1ap0acc_028.hoa,NOT_LTL,-,1.187,p=2 u=[!a] v=[!a] x=[a; cycle{!a}],,,,,,TRUE,0.059,genaut/corpus/2state1ap0acc/2state1ap0acc_028.hoa
2state1ap0acc_029.hoa,LTL,partscc,0.078,!a & G(!a | X!a),6,1,10,1.7,c502b80fd986,TRUE,0.043,genaut/corpus/2state1ap0acc/2state1ap0acc_029.hoa
2state1ap0acc_030.hoa,NOT_LTL,-,1.198,p=2 u=[] v=[!a] x=[!a; cycle{a}],,,,,,TRUE,0.060,genaut/corpus/2state1ap0acc/2state1ap0acc_030.hoa
2state1ap0acc_033.hoa,LTL,daisy,0.077,a & XG!a,5,1,6,1.2,af6c1ac2c6d1,TRUE,0.044,genaut/corpus/2state1ap0acc/2state1ap0acc_033.hoa
2state1ap0acc_036.hoa,LTL,partscc,0.078,a & G((a | Xa) & (!a | X!a)),9,1,14,1.6,053bcb772803,TRUE,0.041,genaut/corpus/2state1ap0acc/2state1ap0acc_036.hoa
2state1ap0acc_049.hoa,LTL,daisy,0.076,XG!a,4,1,4,1.0,491b2a4dbf74,TRUE,0.045,genaut/corpus/2state1ap0acc/2state1ap0acc_049.hoa
