input,result,technique,build_s,formula,dag,temporals,tree,sharing,md5,validation,check_s,source
1state1ap3acc_00000.hoa,LTL,daisy,0.072,0,1,0,1,1.0,256b0f7a8d39,TRUE,0.046,genaut/corpus/1state1ap3acc/1state1ap3acc_00000.hoa
1state1ap3acc_00001.hoa,LTL,daisy,0.077,G!a,3,1,3,1.0,6d2bdb385b7a,TRUE,0.044,genaut/corpus/1state1ap3acc/1state1ap3acc_00001.hoa
1state1ap3acc_00003.hoa,LTL,daisy,0.071,1,1,0,1,1.0,e20f564d992f,TRUE,0.045,genaut/corpus/1state1ap3acc/1state1ap3acc_00003.hoa
1state1ap3acc_00004.hoa,LTL,daisy,0.074,0,1,0,1,1.0,256b0f7a8d39,TRUE,0.044,genaut/corpus/1state1ap3acc/1state1ap3acc_00004.hoa
1state1ap3acc_00006.hoa,LTL,daisy,0.072,GFa,3,2,3,1.0,0cdf120f1aa3,TRUE,0.044,genaut/corpus/1state1ap3acc/1state1ap3acc_00006.hoa
1state1ap3acc_00007.hoa,LTL,daisy,0.071,1,1,0,1,1.0,e20f564d992f,TRUE,0.042,genaut/corpus/1state1ap3acc/1state1ap3acc_00007.hoa
1state1ap3acc_00024.hoa,LTL,acc2+daisy,0.078,G(F!a & Fa),6,3,7,1.2,8ad927f0d306,TRUE,0.046,genaut/corpus/1state1ap3acc/1state1ap3acc_00024.hoa
