input,result,technique,build_s,formula,dag,temporals,tree,sharing,md5,validation,source
2state0ap2acc_00000.hoa,LTL,daisy,0.068,0,1,0,1,1.0,256b0f7a8d39,TRUE,genaut/corpus/2state0ap2acc/2state0ap2acc_00000.hoa
2state0ap2acc_00002.hoa,LTL,daisy,0.069,0,1,0,1,1.0,256b0f7a8d39,TRUE,genaut/corpus/2state0ap2acc/2state0ap2acc_00002.hoa
2state0ap2acc_00257.hoa,LTL,daisy,0.065,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/2state0ap2acc/2state0ap2acc_00257.hoa
2state0ap2acc_00259.hoa,LTL,daisy,0.068,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/2state0ap2acc/2state0ap2acc_00259.hoa
2state0ap2acc_00274.hoa,LTL,daisy,0.069,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/2state0ap2acc/2state0ap2acc_00274.hoa
2state0ap2acc_00290.hoa,LTL,daisy2,0.068,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/2state0ap2acc/2state0ap2acc_00290.hoa
2state0ap2acc_00292.hoa,LTL,acc,1.124,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/2state0ap2acc/2state0ap2acc_00292.hoa
2state0ap2acc_00322.hoa,LTL,acc,1.112,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/2state0ap2acc/2state0ap2acc_00322.hoa
2state0ap2acc_00532.hoa,LTL,acc,1.183,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/2state0ap2acc/2state0ap2acc_00532.hoa
2state0ap2acc_00548.hoa,LTL,acc,1.180,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/2state0ap2acc/2state0ap2acc_00548.hoa
2state0ap2acc_00578.hoa,LTL,acc,1.156,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/2state0ap2acc/2state0ap2acc_00578.hoa
2state0ap2acc_00580.hoa,LTL,acc,1.143,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/2state0ap2acc/2state0ap2acc_00580.hoa
2state0ap2acc_00584.hoa,LTL,daisy2,0.067,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/2state0ap2acc/2state0ap2acc_00584.hoa
2state0ap2acc_00644.hoa,LTL,acc,1.143,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/2state0ap2acc/2state0ap2acc_00644.hoa
2state0ap2acc_00840.hoa,LTL,daisy2,0.069,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/2state0ap2acc/2state0ap2acc_00840.hoa
2state0ap2acc_01042.hoa,LTL,acc,1.147,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/2state0ap2acc/2state0ap2acc_01042.hoa
2state0ap2acc_01064.hoa,LTL,daisy2,0.069,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/2state0ap2acc/2state0ap2acc_01064.hoa
2state0ap2acc_01090.hoa,LTL,acc,1.154,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/2state0ap2acc/2state0ap2acc_01090.hoa
2state0ap2acc_01154.hoa,LTL,acc,1.153,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/2state0ap2acc/2state0ap2acc_01154.hoa
2state0ap2acc_02084.hoa,LTL,acc,1.195,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/2state0ap2acc/2state0ap2acc_02084.hoa
2state0ap2acc_02114.hoa,LTL,acc,1.186,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/2state0ap2acc/2state0ap2acc_02114.hoa
2state0ap2acc_08480.hoa,LTL,daisy2,0.064,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/2state0ap2acc/2state0ap2acc_08480.hoa
2state0ap2acc_08484.hoa,LTL,acc,1.170,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/2state0ap2acc/2state0ap2acc_08484.hoa
2state0ap2acc_08512.hoa,LTL,daisy2,0.069,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/2state0ap2acc/2state0ap2acc_08512.hoa
2state0ap2acc_08514.hoa,LTL,acc,1.155,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/2state0ap2acc/2state0ap2acc_08514.hoa
2state0ap2acc_08516.hoa,LTL,acc,1.149,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/2state0ap2acc/2state0ap2acc_08516.hoa
