pop,neg_phi,k,bits,safety,cosafety,obligation,recurrence,persistence,brute,ms,note
comp,3state1ap0acc_005390,3state1ap0acc_005390_c,2,1,1,1,1,1,ok,2.7,
comp,3state1ap0acc_005669_c,3state1ap0acc_005669,5,1,1,1,1,1,ok,7.7,
comp,3state1ap0acc_006286_c,3state1ap0acc_006286,14,1,1,1,1,1,skip-bits,10.3,
comp,3state1ap0acc_006442,3state1ap0acc_006442_c,2,1,1,1,1,1,ok,3.5,
comp,3state1ap0acc_006670_c,3state1ap0acc_006670,24,1,1,1,1,1,skip-bits,21.3,
comp,3state1ap0acc_007433,3state1ap0acc_007433_c,15,1,1,1,1,1,skip-bits,19.8,
comp,3state1ap0acc_012556,3state1ap0acc_012556_c,3,1,1,1,1,1,ok,0.7,
comp,3state1ap0acc_012618,3state1ap1acc_04030993243,2,1,1,1,1,1,ok,0.7,
comp,3state1ap0acc_013384_c,3state1ap0acc_013384,4,1,1,1,1,1,ok,2.2,
comp,3state1ap0acc_013892_c,3state1ap0acc_013892,24,1,1,1,1,1,skip-bits,91.7,
comp,3state1ap0acc_020896,3state1ap0acc_020896_c,2,1,1,1,1,1,ok,2.1,
comp,3state1ap0acc_024648_c,3state1ap0acc_024648,4,1,1,1,1,1,ok,0.9,
comp,3state1ap0acc_024657_c,3state1ap0acc_024657,4,1,1,1,1,1,ok,1.9,
comp,3state1ap0acc_025168,3state1ap0acc_025168_c,10,1,1,1,1,1,ok,52.3,
comp,3state1ap0acc_026833,3state1ap0acc_026833_c,15,1,1,1,1,1,skip-bits,11.7,
comp,3state1ap0acc_029352,3state1ap0acc_029352_c,3,1,1,1,1,1,ok,2.3,
comp,3state1ap0acc_029708_c,3state1ap0acc_029708,14,1,1,1,1,1,skip-bits,144.7,
comp,3state1ap0acc_029773_c,3state1ap0acc_029773,9,1,1,1,1,1,ok,56.9,
comp,3state1ap0acc_029996,3state1ap0acc_029996_c,24,1,1,1,1,1,skip-bits,7.6,
comp,3state1ap0acc_030088,3state1ap0acc_030088_c,9,1,1,1,1,1,ok,37.8,
comp,3state1ap0acc_030733,3state1ap0acc_030733_c,5,1,1,1,1,1,ok,1.3,
comp,3state1ap0acc_030862_c,3state1ap0acc_030862,9,1,1,1,1,1,ok,53.6,
comp,3state1ap0acc_061512_c,3state1ap0acc_061512,2,1,1,1,1,1,ok,0.7,
comp,3state1ap0acc_069804,3state1ap0acc_069804_c,3,1,1,1,1,1,ok,1.4,
comp,3state1ap0acc_070292_c,3state1ap0acc_070292,4,1,1,1,1,1,ok,3.6,
comp,3state1ap0acc_073836,3state1ap0acc_073836_c,10,1,1,1,1,1,ok,25.6,
comp,3state1ap0acc_074008,3state1ap0acc_074008_c,8,1,1,1,1,1,ok,5.4,
comp,3state1ap0acc_074264,3state1ap0acc_074264_c,5,1,1,1,1,1,ok,1.4,
comp,3state1ap0acc_074380_c,3state1ap0acc_074380,5,1,1,1,1,1,ok,3.2,
comp,3state1ap0acc_075801_c,3state1ap0acc_075801,21,1,1,1,1,1,skip-bits,21.4,
comp,3state1ap0acc_080526_c,3state1ap0acc_080526,3,1,1,1,1,1,ok,1.5,
comp,3state1ap0acc_087196,3state1ap0acc_087196_c,10,1,1,1,1,1,ok,169.6,
comp,3state1ap0acc_090468,3state1ap0acc_090468_c,32,1,1,1,1,1,skip-bits,44.2,
comp,3state1ap0acc_090690_c,3state1ap0acc_090690,4,1,1,1,1,1,ok,0.7,
comp,3state1ap0acc_092169_c,3state1ap0acc_092169,9,1,1,1,1,1,ok,29.6,
comp,3state1ap0acc_092232_c,3state1ap0acc_092232,9,1,1,1,1,1,ok,29.9,
comp,3state1ap1acc_00712069129_c,3state1ap1acc_00712069129,3,1,1,1,1,1,ok,1.0,
comp,3state1ap1acc_21174945986,3state1ap1acc_21174945986_c,9,1,1,1,1,1,ok,17.0,
comp,3state1ap1acc_23689824842,2state1ap2acc_parity_0017110190,4,1,1,1,1,1,ok,0.8,
comp,3state1ap1acc_parity_00236788304,3state1ap1acc_parity_00236788304_c,10,1,1,1,1,1,ok,17.7,
comp,3state1ap1acc_parity_20955287557_c,3state1ap1acc_parity_20955287557,5,1,1,1,1,1,ok,0.9,
comp,3state1ap1acc_parity_34966176896_c,3state1ap1acc_parity_34966176896,2,1,1,1,1,1,ok,0.6,
comp,3state2ap2acc_parity_02284358745523128216082048260589868160193796_c,3state2ap2acc_parity_02284358745523128216082048260589868160193796,2,1,1,1,1,1,ok,0.8,
comp,4state1ap1acc_parity_05344102879891627920_c,4state1ap1acc_parity_05344102879891627920,4,1,1,1,1,1,ok,3.3,
comp,4state1ap1acc_parity_05552965279820131111_c,4state1ap1acc_parity_05552965279820131111,3,1,1,1,1,1,ok,0.9,
comp,4state2ap1acc_parity_216913534712549064574886800825391398934,4state2ap1acc_parity_216913534712549064574886800825391398934_c,5,1,1,1,1,1,ok,0.9,
fwd,1state1ap0acc_3,1state1ap0acc_0,1,1,1,1,1,1,ok,0.7,
fwd,1state2ap1acc_018_c,2state2ap1acc_parity_2455687333_c,6,1,1,1,1,1,ok,1.2,
fwd,1state2ap2acc_00300_c,2state2ap2acc_parity_09863644550122525712,31,0,0,0,0,1,skip-bits,7.6,
fwd,1state2ap2acc_00386,3state2ap2acc_parity_19292204062434739838585513977313286700953855_c,43,1,1,1,1,1,skip-bits,4.2,
fwd,1state2ap2acc_00960,1state2ap2acc_parity_00780,3,1,1,1,1,1,ok,0.5,
fwd,1state2ap2acc_parity_00266_c,2state2ap2acc_parity_14459783819944657321_c,11,1,1,1,1,1,ok,67.8,
fwd,1state2ap2acc_parity_00772,3state2ap2acc_parity_06159861430659382172806574419318109950313840,27,0,0,0,0,1,skip-bits,53.6,
fwd,1state2ap2acc_parity_00772_c,3state2ap2acc_parity_05744229146499564561388240723307926009780705,41,0,0,0,1,0,skip-bits,43.1,
fwd,1state2ap2acc_parity_06150_c,2state2ap2acc_parity_12856971236255351261,9,1,1,1,1,1,ok,12.4,
