pop,neg_phi,k,aps,n_phi,n_k,prod_n,linked,bits,settles,refutes,ms,note
fwd,1state2ap2acc_parity_00772_c,3state2ap2acc_parity_05744229146499564561388240723307926009780705,2,4,53,64,260,41,0,0,116.6,
fwd,2state2ap2acc_parity_04727523500524286007,2state2ap2acc_parity_02412135448199726114_c,2,12,21,46,264,77,0,0,40.7,
fwd,2state2ap2acc_parity_05522610772710766970_c,2state2ap2acc_parity_17362277832879126548,2,25,9,79,375,55,0,0,49.2,
fwd,3state2ap1acc_parity_1796825632970893428833,3state2ap2acc_parity_11216132919718599426484354168135068180600985_c,2,13,58,164,825,137,0,0,363.1,
fwd,2state2ap2acc_parity_10439520783294077228,3state2ap2acc_parity_19513157098239232108232341494837416149158789,2,29,28,254,2624,133,0,0,1810.3,
fwd,2state2ap2acc_parity_09669650752595937080,2state2ap2acc_parity_00495951104014606457_c,2,5,26,34,87,22,0,0,15.1,
fwd,2state2ap1acc_parity_3024546618_c,2state2ap1acc_parity_3289547584,2,4,13,22,64,17,0,0,4.0,
fwd,3state2ap2acc_parity_04290111865843214334382313628225177616302156_c,3state2ap2acc_parity_01574353071461662293527634042304113554171601,2,57,32,208,2081,106,0,0,470.8,
fwd,2state2ap2acc_parity_03644846996254608138_c,2state2ap2acc_parity_09615319376540246571,2,5,11,15,29,10,0,0,2.4,
fwd,2state2ap2acc_parity_15568350751340371263,2state2ap2acc_parity_00082015929639258213_c,2,14,27,112,814,111,0,0,230.2,
fwd,3state2ap2acc_parity_04290111865843214334382313628225177616302156_c,1state2ap2acc_parity_06150,2,57,4,73,327,70,0,0,78.0,
fwd,1state2ap2acc_00300_c,2state2ap2acc_parity_09863644550122525712,2,4,23,26,106,31,0,0,4.8,
fwd,2state2ap2acc_parity_06706656653999847593_c,3state2ap2acc_parity_06313475381795330209467421463533420155064625_c,2,15,94,200,2146,124,0,0,1364.4,
fwd,3state2ap2acc_parity_08603614892753180213647106418019782380468347_c,2state2ap2acc_parity_04906201296742293504_c,2,40,37,351,5151,181,0,0,3537.8,
fwd,2state2ap2acc_parity_10956058418304074776_c,3state2ap2acc_parity_11352125598174738554908919375056653404965564,2,12,64,83,407,29,0,0,18.6,
fwd,2state2ap2acc_parity_12728864607586338936_c,4state2ap1acc_parity_128630394002267607203457118552609683947,2,15,8,26,104,8,0,0,3.9,
fwd,2state2ap1acc_parity_0030441824_c,3state2ap2acc_parity_14187696287525319699726623503636843130614373,2,29,26,106,1050,47,0,0,302.1,
fwd,2state2ap2acc_parity_09340193533924172070,3state2ap2acc_parity_17256777809672929554857622979850165510394022,2,5,16,24,109,11,0,0,8.4,
fwd,2state2ap2acc_parity_09303125106357635126_c,1state2ap0acc_01,2,6,3,7,14,7,1,0,1.6,
fwd,2state2ap2acc_parity_01300381873082871896_c,2state2ap2acc_parity_00732443274184804514_c,2,37,10,43,203,76,0,1,25.2,
fwd,1state3ap1acc_00876_c,1state3ap1acc_00386_c,3,4,4,6,14,1,0,0,1.8,
fwd,1state3ap1acc_00788,1state3ap1acc_06916_c,3,4,4,9,31,6,0,0,1.8,
fwd,1state3ap1acc_05800,1state3ap1acc_07777_c,3,4,4,8,23,6,0,0,1.8,
fwd,1state3ap1acc_06530,1state3ap1acc_32257,3,4,4,10,36,30,0,0,2.5,
fwd,2state3ap1acc_parity_05265621111752452744,2state3ap1acc_parity_10541487760048391324_c,3,29,22,110,963,157,0,0,356.3,
fwd,1state3ap1acc_01537_c,1state3ap1acc_07777_c,3,4,4,6,12,3,0,0,2.1,
fwd,1state3ap1acc_00796,2state3ap1acc_parity_08649156823177511470_c,3,4,26,46,237,37,0,0,20.1,
fwd,1state3ap1acc_01785,2state3ap1acc_parity_14104290084247047862_c,3,3,4,5,8,6,0,1,1.6,
fwd,1state3ap1acc_06180_c,1state3ap1acc_02040_c,3,4,3,7,18,6,0,0,1.9,
fwd,2state3ap1acc_parity_01830543289898687049_c,1state3ap1acc_06147,3,26,4,30,118,70,1,0,13.6,
fwd,1state3ap1acc_00446,1state3ap0acc_127_c,3,4,3,6,12,3,0,0,1.4,
fwd,1state3ap1acc_07904,2state3ap1acc_parity_02614646715407461635_c,3,4,12,28,194,28,0,0,12.7,
fwd,2state3ap1acc_parity_00865795744191920295,1state3ap1acc_00494_c,3,20,4,22,96,20,0,0,8.2,
fwd,2state3ap1acc_parity_10819738732151771304,1state3ap0acc_023,3,25,3,30,113,65,0,0,13.5,
fwd,2state3ap1acc_parity_03229356971305243857_c,2state3ap1acc_parity_12420149321583670028,3,29,12,71,598,193,0,0,137.3,
fwd,2state3ap1acc_parity_12253434782604436768,1state3ap1acc_06120_c,3,62,3,91,474,90,0,0,110.7,
fwd,1state3ap1acc_06564,2state3ap1acc_parity_07669827159049524354_c,3,4,31,50,220,63,0,0,26.9,
fwd,2state3ap1acc_parity_17019428005131849826,2state3ap1acc_parity_05706837261896771984_c,3,27,51,179,1783,118,0,0,1213.8,
fwd,2state3ap1acc_parity_12248783858467312927_c,1state3ap1acc_06145_c,3,4,4,8,27,2,0,0,2.5,
fwd,2state3ap1acc_parity_08801613791090661145_c,1state3ap1acc_00792,3,18,4,24,86,55,1,0,9.1,
fwd,1state3ap1acc_00488_c,2state3ap1acc_parity_17019428005131849826_c,3,4,27,32,124,38,0,0,17.3,
fwd,2state3ap1acc_parity_10562312272641601060,1state3ap1acc_01777_c,3,33,4,46,311,70,0,0,40.0,
fwd,1state3ap1acc_05992_c,1state3ap1acc_01936,3,4,4,10,36,30,0,0,2.8,
fwd,1state3ap1acc_32257_c,2state3ap1acc_parity_01766513145226448584,3,4,25,52,373,101,0,0,56.4,
fwd,1state3ap1acc_08064_c,1state3ap1acc_05801,3,4,4,7,18,15,0,1,2.1,
fwd,1state3ap1acc_07809_c,2state3ap1acc_parity_01644858810352803401,3,4,30,62,448,160,0,0,80.0,
fwd,2state3ap1acc_parity_02398314845859828916,2state3ap1acc_parity_14818256413007078534_c,3,31,31,160,1558,225,0,0,656.1,
fwd,1state3ap1acc_00390,1state3ap1acc_06436,3,4,4,7,17,11,0,0,2.0,
fwd,1state3ap1acc_00840,2state3ap1acc_parity_09661361070672199683_c,3,4,55,79,434,45,0,0,46.7,
fwd,1state3ap1acc_05641_c,2state3ap1acc_parity_01190702083017216040_c,3,4,40,72,461,78,0,0,104.3,
fwd,1state3ap1acc_08032,2state3ap1acc_parity_00865795744191920295,3,4,20,28,148,37,0,0,9.3,
fwd,1state3ap1acc_06976,1state3ap1acc_01777,3,4,4,6,12,9,1,0,1.5,
fwd,1state3ap1acc_00398_c,2state3ap1acc_parity_00865795744191920295,3,4,20,28,115,35,0,0,14.7,
fwd,1state3ap1acc_07681,1state3ap1acc_01713,3,4,4,8,21,15,0,0,1.9,
fwd,2state3ap1acc_parity_01100260466741905549_c,2state3ap1acc_parity_18211550331080462848,3,33,20,118,1213,123,0,0,451.1,
fwd,2state3ap1acc_parity_01644858810352803401,2state3ap1acc_parity_08035544545379117594_c,3,30,17,156,1243,251,0,0,576.5,
fwd,1state3ap1acc_01569_c,1state3ap1acc_06528_c,3,4,4,7,16,3,0,0,2.2,
fwd,1state3ap2acc_parity_0179243810_c,1state3ap1acc_02725,2,3,4,6,12,9,0,0,1.5,
fwd,1state2ap2acc_00960,1state2ap2acc_parity_00780,1,4,3,4,5,3,1,0,0.6,
fwd,1state3ap0acc_060,1state3ap1acc_00828,2,3,4,5,9,8,1,0,1.2,
fwd,1state3ap1acc_04080_c,1state3ap0acc_015_c,1,3,3,3,3,1,0,0,0.6,
rev,1state1ap0acc_0,1state1ap0acc_3,0,2,2,2,1,0,1,0,0.2,
rev,3state1ap0acc_025264_c,3state1ap0acc_026684,1,65,45,350,5076,122,0,0,6280.8,
rev,3state1ap0acc_072710_c,3state1ap0acc_090184,1,77,13,95,445,61,0,0,178.9,
rev,3state1ap0acc_021920_c,3state1ap0acc_004772_c,1,31,15,86,421,12,0,0,99.4,
rev,3state1ap0acc_024912,3state1ap0acc_080964,1,30,51,88,435,17,0,0,80.2,
rev,3state1ap0acc_074472,3state1ap0acc_005148,1,58,30,85,475,35,0,0,169.7,
rev,4state1ap2acc_parity_002914461322280394910983122525890915648,2state1ap2acc_parity_0138758442,1,20,8,42,113,13,0,0,12.6,
rev,2state1ap2acc_parity_0004496645,3state1ap0acc_070056_c,1,22,9,35,138,17,0,0,10.6,
rev,3state1ap0acc_004664,3state1ap0acc_078488,1,14,32,56,202,9,0,0,19.6,
rev,4state1ap1acc_parity_16190721614078576674,3state1ap0acc_075820_c,1,8,71,92,416,39,0,0,192.8,
rev,3state1ap0acc_070260_c,3state1ap0acc_080393_c,1,58,38,246,3455,64,0,0,2487.8,
rev,2state1ap2acc_parity_0002234960,3state1ap1acc_38522602760,1,10,34,80,318,2,0,0,8.9,
rev,3state1ap0acc_021108,3state1ap0acc_008292_c,1,47,15,98,427,7,0,0,135.6,
rev,3state1ap1acc_22079178886,3state1ap1acc_10818159298_c,1,6,25,34,52,20,0,1,7.1,
rev,3state1ap0acc_070788_c,2state1ap2acc_parity_0352460833_c,1,30,6,37,113,9,0,0,15.6,
rev,3state1ap0acc_025109_c,2state1ap2acc_parity_0008557064,1,13,17,36,82,28,0,0,11.9,
rev,3state1ap0acc_078948,3state1ap0acc_029966_c,1,11,42,74,726,36,0,0,257.2,
rev,3state1ap1acc_00265838612_c,3state1ap0acc_074388_c,1,8,21,29,161,7,0,0,14.7,
rev,3state1ap0acc_013356_c,4state1ap1acc_parity_04925124450998633873_c,1,25,7,49,111,22,0,0,26.0,
rev,3state1ap0acc_076317,3state1ap0acc_075285_c,1,26,32,83,512,15,0,0,178.5,
rev,3state1ap0acc_073868_c,2state1ap2acc_parity_0574882177,1,14,4,21,30,13,0,0,3.6,
rev,3state1ap0acc_004504_c,2state1ap0acc_053,1,21,9,58,163,39,0,0,30.4,
rev,4state1ap2acc_parity_189888352042736996057462590870753750530,3state1ap0acc_012552,1,20,7,30,60,13,1,0,8.9,
rev,3state1ap1acc_10821896874_c,2state1ap2acc_parity_0094315016,1,10,15,25,93,22,0,0,9.6,
rev,2state1ap2acc_parity_0004552970_c,3state1ap1acc_01112278057_c,1,9,8,20,30,12,0,0,3.7,
rev,3state1ap0acc_024916_c,2state1ap2acc_parity_0039407872,1,20,5,27,125,12,0,0,14.1,
rev,3state1ap1acc_parity_08657112224,3state1ap1acc_18673175256,1,15,10,35,86,17,0,0,17.8,
rev,3state1ap0acc_092174,3state1ap0acc_012366,1,55,8,94,701,22,0,0,269.7,
rev,3state1ap2acc_parity_0202938255164409266256_c,3state1ap0acc_013676,1,12,17,35,197,22,0,0,22.3,
rev,3state1ap0acc_080004_c,3state1ap0acc_007198_c,1,27,50,104,729,20,0,0,298.6,
rev,3state1ap0acc_024802,3state1ap0acc_004741,1,20,5,22,81,8,0,0,6.8,
rev,3state1ap0acc_073993,3state1ap0acc_025632,1,5,15,28,39,14,0,0,4.1,
rev,3state1ap0acc_071308_c,3state1ap0acc_025625,1,46,19,118,662,33,0,0,220.0,
rev,3state1ap0acc_073800_c,2state1ap2acc_parity_0541081603,1,12,13,28,28,11,0,0,5.3,
rev,3state1ap0acc_005254,3state1ap1acc_22364973222,1,14,6,19,45,2,0,0,3.4,
rev,2state1ap0acc_106_c,3state1ap0acc_030120,1,12,12,31,172,10,0,0,25.8,
rev,3state1ap0acc_023089,3state1ap0acc_075333_c,1,32,46,165,1761,43,0,0,449.2,
rev,3state1ap0acc_075796,3state1ap1acc_18420848649_c,1,21,8,32,62,15,1,0,9.2,
rev,2state1ap2acc_parity_0717635593,2state1ap1acc_06532,1,13,8,21,33,11,0,0,3.5,
rev,3state1ap0acc_081476_c,3state1ap0acc_006478_c,1,30,15,47,209,25,0,0,44.7,
rev,3state1ap0acc_075812,3state1ap0acc_006440_c,1,19,32,199,1335,16,0,0,327.1,
rev,2state1ap2acc_parity_0005106434_c,3state1ap0acc_025312,1,8,58,64,296,41,0,0,71.5,
rev,3state1ap0acc_006188,2state1ap2acc_parity_0682573952_c,1,21,17,69,175,18,0,0,22.5,
rev,3state1ap0acc_070248_c,3state1ap1acc_35719401600_c,1,21,11,46,148,16,0,0,26.2,
rev,3state1ap0acc_074824,4state1ap2acc_parity_189524291821398297457560207943178585638_c,1,25,14,36,115,14,1,0,13.3,
rev,3state1ap0acc_080964_c,3state1ap0acc_005514,1,51,25,180,1310,87,0,0,584.9,
rev,3state1ap0acc_006472_c,3state1ap0acc_024841,1,21,6,34,63,13,0,1,10.7,
rev,3state1ap0acc_025106,3state1ap2acc_parity_0249175337818233701902,1,11,84,136,447,45,1,0,98.3,
rev,3state1ap0acc_005288_c,3state1ap0acc_030733_c,1,14,7,23,70,16,0,1,8.9,
rev,3state1ap0acc_069828,3state1ap0acc_012620_c,1,13,18,38,182,21,0,0,16.2,
rev,3state1ap1acc_45103587365_c,3state1ap0acc_029028,1,25,27,98,693,33,0,0,180.9,
rev,3state1ap0acc_024707,3state1ap0acc_007214,1,5,19,30,203,19,0,0,26.4,
rev,3state1ap0acc_077128,3state1ap0acc_029996,1,19,27,72,704,30,0,0,252.9,
rev,3state1ap0acc_007716_c,3state1ap0acc_024684_c,1,50,26,395,3087,66,0,0,4241.3,
rev,3state1ap0acc_075972,3state1ap0acc_031010,1,24,32,149,965,31,0,0,228.3,
rev,3state1ap0acc_012568,3state1ap0acc_026641_c,1,14,15,54,100,13,0,0,11.7,
rev,3state1ap0acc_029325,3state1ap1acc_05671138568,1,7,7,12,41,2,0,0,3.6,
rev,2state1ap1acc_04644,4state1ap1acc_parity_00252289612356345418_c,1,4,31,36,79,15,0,0,26.2,
rev,3state1ap0acc_024720_c,3state1ap0acc_005514,1,12,25,46,150,18,0,0,23.8,
rev,3state1ap0acc_030724_c,3state1ap0acc_015365,1,21,38,87,340,34,0,0,93.4,
rev,3state1ap0acc_006328_c,2state1ap2acc_parity_0047726660_c,1,26,20,85,419,39,0,0,158.7,
rev,3state1ap0acc_021104_c,3state1ap0acc_007448_c,1,65,58,406,5313,55,0,0,8825.5,
rev,2state1ap2acc_parity_1413644800,3state1ap0acc_076868,1,14,58,89,550,40,0,0,82.6,
rev,3state1ap0acc_029966,3state1ap0acc_024692,1,42,97,340,4190,126,0,0,5332.6,
rev,3state1ap1acc_01343514762_c,2state1ap2acc_parity_0285476138_c,1,12,14,25,93,5,0,0,13.0,
rev,3state1ap0acc_030112_c,3state1ap0acc_096398_c,1,34,16,95,720,34,0,0,251.6,
rev,3state1ap1acc_21642354752_c,3state1ap0acc_020738,1,9,6,11,27,13,0,0,2.6,
rev,3state1ap0acc_004756,2state1ap2acc_parity_0006272130,1,13,10,24,69,7,0,0,3.0,
rev,3state1ap0acc_030028_c,3state1ap0acc_025136_c,1,24,14,70,217,12,0,0,64.9,
rev,3state1ap0acc_030856_c,3state1ap0acc_005764_c,1,18,14,62,523,8,0,0,95.3,
rev,3state1ap0acc_030056_c,3state1ap0acc_069704,1,10,10,20,40,14,0,0,5.3,
rev,3state1ap0acc_006152,3state1ap1acc_01216476160_c,1,12,24,47,97,7,1,0,11.5,
rev,3state1ap0acc_075782,3state1ap0acc_012388_c,1,25,17,110,475,35,0,0,93.1,
rev,3state1ap2acc_parity_0249175337818233701902_c,3state1ap1acc_34454789696,1,84,9,179,750,3,0,0,213.6,
rev,2state1ap2acc_parity_2751987743,3state1ap0acc_071308_c,1,4,46,48,206,10,0,0,17.3,
rev,3state1ap0acc_006170_c,3state1ap1acc_25170543041_c,1,22,12,53,172,5,0,0,30.1,
rev,4state1ap2acc_parity_031969154920980509553928165694307535558,3state1ap0acc_006662_c,1,26,19,106,359,21,0,0,69.5,
rev,3state1ap0acc_030729,3state1ap0acc_005769_c,1,50,21,204,1806,35,0,0,854.2,
rev,3state1ap0acc_024948_c,3state1ap0acc_013645_c,1,57,27,136,1017,28,0,0,406.9,
rev,3state1ap0acc_029734_c,3state1ap0acc_007560_c,1,72,12,229,2570,28,0,0,1517.5,
rev,2state1ap1acc_05196_c,2state1ap2acc_parity_0004538925_c,1,13,11,31,103,10,0,0,12.0,
rev,2state1ap0acc_026_c,3state1ap0acc_021025_c,1,6,17,17,24,3,0,0,2.4,
rev,3state1ap0acc_074056,2state1ap2acc_parity_0002114561,1,11,10,25,47,20,0,0,4.9,
rev,3state1ap0acc_004426,3state1ap1acc_parity_34972191752,1,5,23,29,27,4,0,0,4.9,
rev,4state1ap1acc_parity_00876585690160238598_c,3state1ap0acc_015380_c,1,10,36,84,164,16,0,0,37.4,
rev,3state1ap0acc_076293,3state1ap1acc_20944955967_c,1,12,10,26,60,20,0,0,8.1,
rev,2state1ap2acc_parity_0022079492_c,3state1ap0acc_013645,1,17,27,69,309,40,0,0,78.9,
rev,2state1ap1acc_06536,3state1ap0acc_074325,1,6,36,39,241,22,0,0,34.9,
rev,3state1ap0acc_070360,3state1ap0acc_021657,1,32,67,240,2641,74,0,0,1813.4,
rev,3state1ap0acc_024684,3state1ap1acc_00577895438_c,1,26,7,37,129,20,0,0,14.7,
rev,2state1ap2acc_parity_0069045002,3state1ap0acc_020556,1,6,10,15,34,8,0,0,2.1,
rev,3state1ap0acc_024912_c,3state1ap1acc_06510251562,1,30,16,67,374,11,0,0,117.7,
rev,3state1ap0acc_030228_c,3state1ap2acc_parity_0863325839619135019271,1,47,62,203,1590,52,0,0,931.8,
rev,3state1ap0acc_076042,3state1ap1acc_parity_09932264476,1,73,5,80,425,4,0,0,96.4,
rev,3state1ap0acc_078858,3state1ap0acc_029976,1,21,63,170,1527,34,0,0,557.1,
rev,2state1ap2acc_parity_0126010194_c,3state1ap0acc_080518_c,1,10,11,29,117,23,0,0,14.3,
rev,4state1ap1acc_parity_04925124450998633873,3state1ap0acc_078152_c,1,7,11,24,24,5,0,0,3.9,
rev,3state1ap0acc_012614,3state1ap0acc_030024_c,1,16,17,42,174,6,0,0,15.5,
rev,3state1ap1acc_parity_08657112224_c,3state1ap0acc_075785,1,15,23,68,156,29,0,0,22.5,
rev,3state1ap0acc_031752,3state1ap0acc_020620_c,1,25,14,46,131,6,0,0,19.0,
rev,3state1ap0acc_079400_c,3state1ap0acc_075860_c,1,25,19,63,312,9,0,0,53.6,
rev,2state1ap2acc_parity_0006272130_c,3state1ap0acc_024708_c,1,10,6,15,26,2,0,0,1.4,
rev,3state1ap1acc_parity_43022074069,3state1ap1acc_parity_34454263104,1,14,9,31,40,19,0,0,5.1,
rev,3state1ap0acc_078340,3state1ap0acc_007432,1,10,25,44,73,20,0,0,10.4,
rev,3state1ap1acc_01078740549_c,3state1ap0acc_092300,1,21,46,83,421,24,0,0,117.1,
rev,3state1ap0acc_087196_c,3state1ap0acc_090440,1,46,15,91,415,43,0,0,144.9,
rev,3state1ap0acc_005286_c,2state1ap2acc_parity_2292326218,1,50,5,68,488,58,0,1,125.6,
rev,3state1ap0acc_013908,3state1ap2acc_parity_1500892642206368090510,1,57,62,273,3831,39,0,0,2156.6,
rev,3state1ap0acc_020920_c,3state1ap0acc_025112_c,1,36,13,56,176,5,0,0,49.1,
rev,3state1ap0acc_090625,3state1ap0acc_021922,1,8,32,43,134,18,0,0,22.6,
rev,3state1ap0acc_024680_c,3state1ap0acc_007438_c,1,14,41,96,594,40,0,0,290.7,
rev,4state1ap1acc_parity_00252289612356345418,3state1ap0acc_025893,1,31,69,198,1736,81,0,0,1985.9,
rev,3state1ap0acc_004628_c,2state1ap2acc_parity_1164845312,1,7,10,14,18,5,0,0,2.3,
rev,3state1ap0acc_021928,3state1ap0acc_078024,1,12,15,25,69,18,0,0,8.4,
rev,3state1ap0acc_005402,3state1ap0acc_026653_c,1,17,19,111,1488,61,0,0,557.6,
rev,3state1ap1acc_parity_09932264476_c,3state1ap1acc_46306722133_c,1,5,7,13,12,9,1,0,1.5,
rev,2state1ap1acc_03170,3state1ap0acc_074260_c,1,8,17,31,54,10,0,0,6.8,
rev,3state1ap2acc_parity_2574024314207122656261_c,3state1ap0acc_086156,1,67,17,111,337,59,0,0,143.3,
rev,3state1ap1acc_21891294336_c,3state1ap0acc_078356_c,1,16,21,37,88,16,1,0,8.2,
rev,3state1ap0acc_091238,3state1ap2acc_parity_1310551305816495741957_c,1,45,79,277,3490,137,0,0,3794.8,
rev,3state1ap0acc_026641,3state1ap0acc_007434,1,15,12,33,191,22,0,0,19.3,
rev,2state1ap1acc_05250_c,2state1ap1acc_18050_c,1,7,9,13,38,2,0,0,2.7,
rev,3state1ap1acc_37118511116,3state1ap2acc_parity_2568710745067348706059_c,1,6,31,51,191,13,0,0,37.5,
rev,3state1ap0acc_029734_c,3state1ap0acc_007436,,,,,,,,,,F2-budget
rev,3state1ap0acc_086156_c,3state1ap0acc_004772,1,17,15,46,121,36,0,0,22.7,
rev,3state1ap0acc_030225,3state1ap0acc_031384_c,1,58,24,183,2328,96,0,0,1503.0,
rev,3state1ap0acc_080068_c,3state1ap0acc_024857_c,1,27,11,47,170,8,0,0,28.5,
rev,2state1ap1acc_01176,2state1ap2acc_parity_0004822272,1,10,14,24,78,21,0,0,7.2,
rev,2state1ap2acc_parity_0574882177,3state1ap0acc_074829_c,1,4,29,31,109,11,0,0,11.2,
rev,3state1ap0acc_030856,3state1ap0acc_007468,1,18,45,59,382,19,0,0,56.1,
rev,3state1ap1acc_17251696968_c,3state1ap1acc_07986021488,1,69,17,100,296,48,0,1,116.8,
rev,3state1ap0acc_004422_c,3state1ap0acc_106728,1,16,47,83,550,14,0,0,184.1,
rev,3state1ap1acc_46475546712_c,3state1ap0acc_069804_c,1,11,12,46,203,17,0,0,12.1,
rev,2state1ap2acc_parity_0001191050_c,3state1ap0acc_026772_c,1,19,20,51,157,12,0,0,25.2,
rev,3state1ap0acc_075942_c,2state1ap2acc_parity_0005036034_c,1,32,13,78,367,27,0,0,77.7,
rev,2state1ap2acc_parity_0004295586_c,3state1ap0acc_072334_c,1,14,11,22,88,16,0,0,13.9,
rev,2state1ap2acc_parity_0708854026_c,3state1ap1acc_parity_10805384360,1,9,12,20,29,5,0,0,3.1,
rev,3state1ap0acc_091236,3state1ap0acc_025253_c,1,67,11,148,1791,82,0,0,1049.2,
rev,3state1ap0acc_013641_c,2state1ap1acc_16912,1,22,7,26,101,23,1,0,10.9,
rev,3state1ap1acc_20552143008_c,3state1ap0acc_077380_c,1,15,41,75,270,49,0,0,104.8,
rev,3state1ap0acc_025708,2state1ap1acc_50306,1,13,8,24,86,21,0,0,9.2,
rev,3state1ap0acc_074264,3state1ap0acc_096265_c,1,10,19,36,126,29,0,0,12.5,
rev,3state1ap0acc_081032_c,3state1ap0acc_071880_c,1,66,22,178,1250,18,0,0,601.0,
rev,3state1ap1acc_35769115713,3state1ap0acc_074412_c,1,48,58,137,908,22,0,0,425.7,
rev,3state1ap0acc_004645_c,3state1ap0acc_025093_c,1,16,10,26,32,4,0,0,5.2,
rev,3state1ap0acc_074309,3state1ap0acc_072710_c,1,31,77,268,2533,98,0,0,1446.6,
rev,3state1ap0acc_022632_c,3state1ap0acc_024654,1,20,8,33,120,8,0,0,17.5,
rev,3state1ap1acc_parity_08657112224_c,3state1ap0acc_030240_c,1,15,14,31,90,12,0,0,6.6,
rev,3state1ap0acc_004424,3state1ap0acc_030112,1,9,34,63,264,21,0,0,39.4,
rev,3state1ap0acc_071822,3state1ap0acc_076074,1,21,32,84,722,51,0,0,224.7,
rev,3state1ap0acc_030726,3state1ap0acc_030733,1,21,7,27,85,4,0,0,6.1,
rev,3state1ap0acc_004452,3state1ap0acc_071702_c,1,20,51,78,372,24,1,0,50.4,
rev,3state1ap0acc_030213,3state1ap0acc_025320_c,1,51,45,222,3110,96,0,0,2307.2,
rev,3state1ap0acc_013641,3state1ap0acc_004612,1,22,6,24,76,15,0,1,7.7,
rev,3state1ap0acc_026833_c,3state1ap0acc_006153,1,33,12,78,378,45,0,0,118.4,
rev,3state1ap0acc_030862_c,3state1ap0acc_025296_c,1,32,50,250,3066,56,0,0,2292.7,
rev,3state1ap0acc_025625,3state1ap2acc_parity_0226603284168771633733,1,19,38,107,587,58,0,0,133.9,
rev,3state1ap0acc_029769_c,3state1ap0acc_024673,1,25,22,116,786,35,0,0,260.0,
rev,3state1ap0acc_071702,2state1ap2acc_parity_1083056266,1,51,15,117,1045,101,0,0,394.8,
rev,3state1ap0acc_024800,2state1ap0acc_053,1,19,9,39,92,22,0,0,10.2,
rev,3state1ap1acc_00501801994,3state1ap1acc_43021293649,1,24,8,34,87,7,0,0,13.3,
rev,3state1ap0acc_080398,3state1ap0acc_079444,1,20,47,131,1701,40,0,0,920.1,
rev,3state1ap0acc_005286,3state1ap0acc_025136,1,50,14,99,375,82,0,0,166.9,
rev,3state1ap0acc_005800,2state1ap2acc_parity_1297172901,1,31,13,78,366,7,0,0,39.6,
rev,3state1ap0acc_013641,3state1ap0acc_079896_c,1,22,50,128,746,30,0,0,154.5,
rev,3state1ap0acc_073865,2state1ap2acc_parity_2290440257_c,1,13,10,24,31,7,0,0,3.2,
rev,2state1ap2acc_parity_0572212224,3state1ap0acc_005800_c,1,9,31,79,350,5,0,0,30.3,
rev,3state1ap1acc_19337320362_c,3state1ap0acc_013384_c,1,9,21,43,85,2,0,0,4.6,
rev,2state1ap2acc_parity_0005327658,2state1ap2acc_parity_0015632386_c,1,9,27,60,234,19,0,0,18.5,
rev,3state1ap0acc_073865,2state1ap2acc_parity_0067828500_c,1,13,9,13,25,3,0,0,1.4,
rev,3state1ap1acc_parity_37586212922_c,3state1ap0acc_077976,1,6,27,29,107,12,0,0,9.4,
rev,3state1ap1acc_19879280012,3state1ap0acc_078341_c,1,7,12,17,11,5,0,0,2.0,
rev,3state1ap1acc_parity_52747897074,3state1ap0acc_025137,1,13,7,28,46,9,0,0,7.3,
rev,3state1ap1acc_20401758904_c,3state1ap0acc_004392,1,28,10,35,123,29,0,1,18.5,
rev,3state1ap0acc_106568,3state1ap0acc_080036,1,13,11,28,58,4,0,0,3.5,
rev,2state1ap1acc_16899,3state1ap0acc_004756_c,1,3,13,14,35,4,0,0,2.9,
rev,3state1ap2acc_parity_1282809694496512603916,3state1ap0acc_025244,1,80,20,190,2042,118,0,0,1448.9,
rev,3state1ap0acc_004632,4state1ap2acc_parity_189888352042736996057462590870753750530,1,7,20,30,62,11,0,0,7.4,
rev,2state1ap2acc_parity_0715295236,2state1ap2acc_parity_2292326218,1,13,5,15,51,16,1,0,2.9,
rev,3state1ap0acc_078924,3state1ap0acc_020652_c,1,20,38,97,924,29,0,0,332.8,
rev,3state1ap0acc_004280_c,3state1ap0acc_005652,1,17,42,161,1013,51,0,1,535.6,
rev,3state1ap0acc_106660,3state1ap1acc_parity_34966176896,1,45,8,114,187,4,0,0,228.6,
rev,3state1ap0acc_079444,2state1ap2acc_parity_2290440257,1,47,10,58,208,15,0,0,46.0,
rev,2state1ap2acc_parity_0571753498,3state1ap0acc_007190_c,1,16,71,135,899,55,0,0,247.7,
rev,3state1ap1acc_06712019249,2state1ap2acc_parity_2726576129_c,1,26,13,53,301,21,0,0,38.0,
rev,3state1ap0acc_026808,3state1ap1acc_08763069152_c,1,31,25,50,216,18,0,0,50.6,
rev,3state1ap0acc_004788_c,3state1ap0acc_074436_c,1,12,11,46,350,25,0,0,73.5,
rev,2state1ap2acc_parity_0004891914_c,3state1ap0acc_013385,1,13,27,45,114,16,0,0,22.5,
rev,3state1ap0acc_090212_c,3state1ap0acc_026644_c,1,59,32,263,1804,41,0,0,1069.8,
rev,3state1ap0acc_091682,3state1ap0acc_024946,1,32,46,119,924,24,0,0,244.0,
rev,3state1ap0acc_077961,3state1ap0acc_026642_c,1,15,15,74,192,23,0,0,27.7,
rev,2state2ap2acc_parity_12125081597581071066_c,2state2ap2acc_parity_03926171514245816491_c,2,32,12,76,274,45,0,0,57.4,
