pop,neg_phi,k,aps,n_phi,n_k,prod_n,linked,bits,settles,refutes,ms,note
fwd,3state1ap0acc_005514,3state1ap0acc_024720_c,1,25,12,46,150,7,0,0,12.0,
fwd,3state1ap0acc_015365,3state1ap0acc_030724_c,1,38,21,87,340,21,0,0,55.5,
fwd,2state1ap2acc_parity_0047726660_c,3state1ap0acc_006328_c,1,20,26,85,419,20,0,0,142.8,
fwd,3state1ap0acc_007448_c,3state1ap0acc_021104_c,1,58,65,406,5313,100,0,0,10829.3,
fwd,3state1ap0acc_076868,2state1ap2acc_parity_1413644800,1,58,14,89,550,92,0,0,159.4,
fwd,3state1ap0acc_024692,3state1ap0acc_029966,1,97,42,340,4190,75,0,0,4003.5,
fwd,2state1ap2acc_parity_0285476138_c,3state1ap1acc_01343514762_c,1,14,12,25,93,8,0,0,16.1,
fwd,3state1ap0acc_096398_c,3state1ap0acc_030112_c,1,16,34,95,720,21,0,0,189.6,
fwd,3state1ap0acc_020738,3state1ap1acc_21642354752_c,1,6,9,11,27,6,0,0,1.8,
fwd,2state1ap2acc_parity_0006272130,3state1ap0acc_004756,1,10,13,24,69,18,0,0,6.5,
fwd,3state1ap0acc_025136_c,3state1ap0acc_030028_c,1,14,24,70,217,30,0,0,111.0,
fwd,3state1ap0acc_005764_c,3state1ap0acc_030856_c,1,14,18,62,523,20,0,0,131.4,
fwd,3state1ap0acc_069704,3state1ap0acc_030056_c,1,10,10,20,40,10,0,0,3.8,
fwd,3state1ap1acc_01216476160_c,3state1ap0acc_006152,1,24,12,47,97,33,1,0,25.4,
fwd,3state1ap0acc_012388_c,3state1ap0acc_075782,1,17,25,110,475,46,0,0,141.9,
fwd,3state1ap1acc_34454789696,3state1ap2acc_parity_0249175337818233701902_c,1,9,84,179,750,35,0,0,491.5,
fwd,3state1ap0acc_071308_c,2state1ap2acc_parity_2751987743,1,46,4,48,206,9,0,0,34.0,
fwd,3state1ap1acc_25170543041_c,3state1ap0acc_006170_c,1,12,22,53,172,9,0,0,23.7,
fwd,3state1ap0acc_006662_c,4state1ap2acc_parity_031969154920980509553928165694307535558,1,19,26,106,359,51,0,0,111.1,
fwd,3state1ap0acc_005769_c,3state1ap0acc_030729,1,21,50,204,1806,42,0,0,1103.0,
fwd,3state1ap0acc_013645_c,3state1ap0acc_024948_c,1,27,57,136,1017,24,0,0,389.9,
fwd,3state1ap0acc_007560_c,3state1ap0acc_029734_c,1,12,72,229,2570,66,0,0,2060.1,
fwd,2state1ap2acc_parity_0004538925_c,2state1ap1acc_05196_c,1,11,13,31,103,8,0,0,13.0,
fwd,3state1ap0acc_021025_c,2state1ap0acc_026_c,1,17,6,17,24,1,0,0,2.6,
fwd,2state1ap2acc_parity_0002114561,3state1ap0acc_074056,1,10,11,25,47,17,0,0,4.7,
fwd,3state1ap1acc_parity_34972191752,3state1ap0acc_004426,1,23,5,29,27,14,0,0,9.1,
fwd,3state1ap0acc_015380_c,4state1ap1acc_parity_00876585690160238598_c,1,36,10,84,164,38,0,0,94.9,
fwd,3state1ap1acc_20944955967_c,3state1ap0acc_076293,1,10,12,26,60,11,0,0,4.9,
fwd,3state1ap0acc_013645,2state1ap2acc_parity_0022079492_c,1,27,17,69,309,15,0,0,39.5,
fwd,3state1ap0acc_074325,2state1ap1acc_06536,1,36,6,39,241,18,0,0,23.0,
fwd,3state1ap0acc_021657,3state1ap0acc_070360,1,67,32,240,2641,75,0,0,1757.8,
fwd,3state1ap1acc_00577895438_c,3state1ap0acc_024684,1,7,26,37,129,16,0,0,16.6,
fwd,3state1ap0acc_020556,2state1ap2acc_parity_0069045002,1,10,6,15,34,11,0,0,2.6,
fwd,3state1ap1acc_06510251562,3state1ap0acc_024912_c,1,16,30,67,374,4,0,0,90.6,
fwd,3state1ap2acc_parity_0863325839619135019271,3state1ap0acc_030228_c,1,62,47,203,1590,69,0,0,1050.9,
fwd,3state1ap1acc_parity_09932264476,3state1ap0acc_076042,1,5,73,80,425,28,0,0,160.0,
fwd,3state1ap0acc_029976,3state1ap0acc_078858,1,63,21,170,1527,42,0,0,685.0,
fwd,3state1ap0acc_080518_c,2state1ap2acc_parity_0126010194_c,1,11,10,29,117,11,0,0,14.9,
fwd,3state1ap0acc_078152_c,4state1ap1acc_parity_04925124450998633873,1,11,7,24,24,2,0,0,3.7,
fwd,3state1ap0acc_030024_c,3state1ap0acc_012614,1,17,16,42,174,15,0,0,27.5,
fwd,3state1ap0acc_075785,3state1ap1acc_parity_08657112224_c,1,23,15,68,156,31,0,0,25.8,
fwd,3state1ap0acc_020620_c,3state1ap0acc_031752,1,14,25,46,131,21,0,0,31.4,
fwd,3state1ap0acc_075860_c,3state1ap0acc_079400_c,1,19,25,63,312,35,0,0,96.3,
fwd,3state1ap0acc_024708_c,2state1ap2acc_parity_0006272130_c,1,6,10,15,26,10,0,0,2.4,
fwd,3state1ap1acc_parity_34454263104,3state1ap1acc_parity_43022074069,1,9,14,31,40,8,0,0,2.3,
fwd,3state1ap0acc_007432,3state1ap0acc_078340,1,25,10,44,73,21,0,0,13.8,
fwd,3state1ap0acc_092300,3state1ap1acc_01078740549_c,1,46,21,83,421,7,0,0,105.5,
fwd,3state1ap0acc_090440,3state1ap0acc_087196_c,1,15,46,91,415,27,0,0,69.4,
fwd,2state1ap2acc_parity_2292326218,3state1ap0acc_005286_c,1,5,50,68,488,23,0,0,77.2,
fwd,3state1ap2acc_parity_1500892642206368090510,3state1ap0acc_013908,1,62,57,273,3831,90,0,0,3802.5,
fwd,3state1ap0acc_025112_c,3state1ap0acc_020920_c,1,13,36,56,176,30,0,0,80.0,
fwd,3state1ap0acc_021922,3state1ap0acc_090625,1,32,8,43,134,20,0,0,31.6,
fwd,3state1ap0acc_007438_c,3state1ap0acc_024680_c,1,41,14,96,594,15,0,0,196.6,
fwd,3state1ap0acc_025893,4state1ap1acc_parity_00252289612356345418,1,69,31,198,1736,43,0,0,1307.8,
fwd,2state1ap2acc_parity_1164845312,3state1ap0acc_004628_c,1,10,7,14,18,2,0,0,2.2,
fwd,3state1ap0acc_078024,3state1ap0acc_021928,1,15,12,25,69,15,0,0,6.3,
fwd,3state1ap0acc_026653_c,3state1ap0acc_005402,1,19,17,111,1488,71,0,0,638.6,
fwd,3state1ap1acc_46306722133_c,3state1ap1acc_parity_09932264476_c,1,7,5,13,12,9,1,0,1.4,
fwd,3state1ap0acc_074260_c,2state1ap1acc_03170,1,17,8,31,54,12,0,0,6.6,
fwd,3state1ap0acc_086156,3state1ap2acc_parity_2574024314207122656261_c,1,17,67,111,337,28,0,0,85.7,
fwd,3state1ap0acc_078356_c,3state1ap1acc_21891294336_c,1,21,16,37,88,20,1,0,11.2,
