input,result,technique,build_s,formula,dag,temporals,tree,sharing,md5,validation,source
3state0ap1acc_000000.hoa,LTL,daisy,0.069,0,1,0,1,1.0,256b0f7a8d39,TRUE,genaut/corpus/3state0ap1acc/3state0ap1acc_000000.hoa
3state0ap1acc_004097.hoa,LTL,daisy,0.070,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/3state0ap1acc/3state0ap1acc_004097.hoa
3state0ap1acc_004099.hoa,LTL,daisy,0.072,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/3state0ap1acc/3state0ap1acc_004099.hoa
3state0ap1acc_004114.hoa,LTL,daisy,0.069,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/3state0ap1acc/3state0ap1acc_004114.hoa
3state0ap1acc_004130.hoa,LTL,daisy2,0.070,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/3state0ap1acc/3state0ap1acc_004130.hoa
3state0ap1acc_004262.hoa,LTL,acc,1.155,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/3state0ap1acc/3state0ap1acc_004262.hoa
3state0ap1acc_004264.hoa,LTL,daisy,0.071,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/3state0ap1acc/3state0ap1acc_004264.hoa
3state0ap1acc_004268.hoa,LTL,daisy,0.072,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/3state0ap1acc/3state0ap1acc_004268.hoa
3state0ap1acc_004328.hoa,LTL,daisy,0.071,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/3state0ap1acc/3state0ap1acc_004328.hoa
3state0ap1acc_004680.hoa,LTL,daisy+daisy2,0.069,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/3state0ap1acc/3state0ap1acc_004680.hoa
3state0ap1acc_004772.hoa,LTL,acc,1.137,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/3state0ap1acc/3state0ap1acc_004772.hoa
3state0ap1acc_004776.hoa,LTL,acc,1.123,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/3state0ap1acc/3state0ap1acc_004776.hoa
3state0ap1acc_005130.hoa,LTL,acc,1.115,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/3state0ap1acc/3state0ap1acc_005130.hoa
3state0ap1acc_005162.hoa,LTL,acc,1.118,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/3state0ap1acc/3state0ap1acc_005162.hoa
3state0ap1acc_005194.hoa,LTL,acc,1.123,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/3state0ap1acc/3state0ap1acc_005194.hoa
3state0ap1acc_005256.hoa,LTL,acc,1.121,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/3state0ap1acc/3state0ap1acc_005256.hoa
3state0ap1acc_005288.hoa,LTL,daisy,0.068,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/3state0ap1acc/3state0ap1acc_005288.hoa
3state0ap1acc_005320.hoa,LTL,daisy,0.070,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/3state0ap1acc/3state0ap1acc_005320.hoa
3state0ap1acc_005640.hoa,LTL,acc,1.151,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/3state0ap1acc/3state0ap1acc_005640.hoa
3state0ap1acc_005672.hoa,LTL,acc,1.163,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/3state0ap1acc/3state0ap1acc_005672.hoa
3state0ap1acc_005704.hoa,LTL,acc,1.189,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/3state0ap1acc/3state0ap1acc_005704.hoa
3state0ap1acc_006150.hoa,LTL,acc,1.118,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/3state0ap1acc/3state0ap1acc_006150.hoa
3state0ap1acc_006154.hoa,LTL,acc,1.120,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/3state0ap1acc/3state0ap1acc_006154.hoa
3state0ap1acc_006182.hoa,LTL,acc,1.120,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/3state0ap1acc/3state0ap1acc_006182.hoa
3state0ap1acc_006218.hoa,LTL,acc,1.119,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/3state0ap1acc/3state0ap1acc_006218.hoa
3state0ap1acc_006278.hoa,LTL,acc,1.127,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/3state0ap1acc/3state0ap1acc_006278.hoa
3state0ap1acc_006280.hoa,LTL,acc,1.136,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/3state0ap1acc/3state0ap1acc_006280.hoa
3state0ap1acc_006282.hoa,LTL,acc,1.158,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/3state0ap1acc/3state0ap1acc_006282.hoa
3state0ap1acc_006310.hoa,LTL,acc,1.196,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/3state0ap1acc/3state0ap1acc_006310.hoa
3state0ap1acc_006316.hoa,LTL,daisy,0.070,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/3state0ap1acc/3state0ap1acc_006316.hoa
3state0ap1acc_006662.hoa,LTL,acc,1.132,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/3state0ap1acc/3state0ap1acc_006662.hoa
3state0ap1acc_006664.hoa,LTL,acc,1.123,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/3state0ap1acc/3state0ap1acc_006664.hoa
3state0ap1acc_006692.hoa,LTL,acc,1.130,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/3state0ap1acc/3state0ap1acc_006692.hoa
3state0ap1acc_006694.hoa,LTL,acc,1.124,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/3state0ap1acc/3state0ap1acc_006694.hoa
3state0ap1acc_006790.hoa,LTL,acc,1.121,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/3state0ap1acc/3state0ap1acc_006790.hoa
3state0ap1acc_006820.hoa,LTL,acc,1.125,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/3state0ap1acc/3state0ap1acc_006820.hoa
3state0ap1acc_008282.hoa,LTL,acc,1.159,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/3state0ap1acc/3state0ap1acc_008282.hoa
3state0ap1acc_008474.hoa,LTL,daisy,0.072,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/3state0ap1acc/3state0ap1acc_008474.hoa
3state0ap1acc_008504.hoa,LTL,daisy,0.069,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/3state0ap1acc/3state0ap1acc_008504.hoa
