# date: 2026-07-11
# git-rev: c8f4d3004
# seed: 20260711
# corpus: genaut/corpus/flat_canon/sos
case,n_aps,n_classes,inert_set,sym_generator_hits,anti_generator_hits,anti_possible,sym_full_count,anti_full_count,status,wall_ms
1state2ap2acc_parity_04616_c,2,5,,,,0,1,0,ok,2.1
1state2ap2acc_parity_04620,2,4,,,,0,1,0,ok,1.7
1state2ap2acc_parity_04620_c,2,4,,,,0,1,0,ok,1.8
1state2ap2acc_parity_05640,2,4,,,,0,2,0,ok,1.7
1state2ap2acc_parity_05640_c,2,4,,,,0,2,0,ok,1.7
1state2ap2acc_parity_06146,2,5,,,,0,1,0,ok,2.0
1state2ap2acc_parity_06146_c,2,5,,,,0,1,0,ok,2.1
1state2ap2acc_parity_06150,2,4,,,,0,2,0,ok,1.7
1state2ap2acc_parity_06150_c,2,4,,,,0,2,0,ok,1.7
1state2ap2acc_parity_06660,2,4,,,,0,1,0,ok,1.7
1state2ap2acc_parity_06660_c,2,4,,,,0,1,0,ok,1.7
1state2ap2acc_parity_13320,2,4,,,,0,1,0,ok,1.7
1state2ap2acc_parity_13320_c,2,4,,,,0,1,0,ok,1.7
1state2ap2acc_parity_24840,2,4,,,,0,2,0,ok,1.7
1state2ap2acc_parity_24840_c,2,4,,,,0,2,0,ok,1.7
1state2ap3acc_parity_0178405888,2,5,,,,0,1,0,ok,2.1
1state2ap3acc_parity_0178405888_c,2,5,,,,0,1,0,ok,2.1
1state2ap3acc_parity_0427841672,2,5,,,,0,1,0,ok,2.1
1state2ap3acc_parity_0427841672_c,2,5,,,,0,1,0,ok,2.1
1state2ap3acc_parity_2750423057,2,5,,,,0,1,0,ok,2.1
1state2ap3acc_parity_2792358400,2,5,,,,0,1,0,ok,2.0
1state2ap3acc_parity_3796408320,2,5,,,,0,1,0,ok,2.0
1state3ap0acc_001,3,3,,t01,,0,6,0,ok,7.7
1state3ap0acc_001_c,3,3,,t01,,0,6,0,ok,7.8
1state3ap0acc_003,2,3,,,,0,2,0,ok,1.4
1state3ap0acc_003_c,2,3,,,,0,2,0,ok,1.4
1state3ap0acc_006,3,3,,t01,,0,4,0,ok,7.7
1state3ap0acc_006_c,3,3,,t01,,0,4,0,ok,7.8
1state3ap0acc_007,3,3,,,,0,2,0,ok,7.7
1state3ap0acc_007_c,3,3,,,,0,2,0,ok,7.8
1state3ap0acc_015,1,3,,,,0,1,0,ok,0.4
1state3ap0acc_015_c,1,3,,,,0,1,0,ok,0.4
1state3ap0acc_022,3,3,,t02,,0,6,0,ok,7.7
1state3ap0acc_022_c,3,3,,t02,,0,6,0,ok,7.8
1state3ap0acc_023,3,3,,t02,,0,6,0,ok,7.7
1state3ap0acc_023_c,3,3,,t02,,0,6,0,ok,7.8
1state3ap0acc_024,3,3,,t01,,0,12,0,ok,7.7
1state3ap0acc_024_c,3,3,,t01,,0,12,0,ok,7.9
1state3ap0acc_025,3,3,,t01,,0,2,0,ok,7.7
1state3ap0acc_025_c,3,3,,t01,,0,2,0,ok,7.8
1state3ap0acc_027,3,3,,,,0,2,0,ok,7.7
1state3ap0acc_027_c,3,3,,,,0,2,0,ok,7.8
1state3ap0acc_030,3,3,,,,0,2,0,ok,7.7
1state3ap0acc_030_c,3,3,,,,0,2,0,ok,7.8
1state3ap0acc_031,3,3,,,,0,2,0,ok,7.7
1state3ap0acc_031_c,3,3,,,,0,2,0,ok,7.8
1state3ap0acc_060,2,3,,t01,,0,4,0,ok,1.4
1state3ap0acc_060_c,2,3,,t01,,0,4,0,ok,1.4
1state3ap0acc_061,3,3,,t01,,0,2,0,ok,7.7
1state3ap0acc_061_c,3,3,,t01,,0,2,0,ok,7.8
1state3ap0acc_063,2,3,,,,0,2,0,ok,1.4
1state3ap0acc_063_c,2,3,,,,0,2,0,ok,1.4
1state3ap0acc_105,3,3,,t01;t02;t12,,0,24,0,ok,7.8
1state3ap0acc_105_c,3,3,,t01;t02;t12,,0,24,0,ok,7.8
1state3ap0acc_107,3,3,,t02,,0,6,0,ok,7.7
1state3ap0acc_107_c,3,3,,t02,,0,6,0,ok,7.8
1state3ap0acc_111,3,3,,t01,,0,4,0,ok,7.7
1state3ap0acc_111_c,3,3,,t01,,0,4,0,ok,7.8
1state3ap0acc_126,3,3,,t01,,0,12,0,ok,7.7
1state3ap0acc_126_c,3,3,,t01,,0,12,0,ok,7.8
1state3ap0acc_127,3,3,,t01,,0,6,0,ok,7.7
1state3ap0acc_127_c,3,3,,t01,,0,6,0,ok,7.8
1state3ap1acc_00258,3,4,,t02,,0,2,0,ok,9.0
1state3ap1acc_00258_c,3,4,,t02,,0,2,0,ok,9.5
1state3ap1acc_00262,3,4,,,,0,2,0,ok,9.1
1state3ap1acc_00262_c,3,4,,,,0,2,0,ok,9.5
1state3ap1acc_00264,3,4,,,,0,2,0,ok,9.0
1state3ap1acc_00264_c,3,4,,,,0,2,0,ok,9.4
1state3ap1acc_00266,3,4,,,,0,1,0,ok,9.0
1state3ap1acc_00266_c,3,4,,,,0,1,0,ok,9.4
1state3ap1acc_00270,3,4,,,,0,2,0,ok,9.0
1state3ap1acc_00270_c,3,4,,,,0,2,0,ok,9.4
1state3ap1acc_00278,3,4,,t02,,0,6,0,ok,9.0
1state3ap1acc_00278_c,3,4,,t02,,0,6,0,ok,9.4
1state3ap1acc_00280,3,4,,,,0,2,0,ok,9.1
1state3ap1acc_00280_c,3,4,,,,0,2,0,ok,9.4
1state3ap1acc_00282,3,4,,,,0,1,0,ok,9.0
1state3ap1acc_00282_c,3,4,,,,0,1,0,ok,9.4
1state3ap1acc_00286,3,4,,,,0,2,0,ok,9.1
1state3ap1acc_00286_c,3,4,,,,0,2,0,ok,9.4
1state3ap1acc_00296,3,4,,,,0,2,0,ok,9.0
1state3ap1acc_00296_c,3,4,,,,0,2,0,ok,9.4
1state3ap1acc_00298,3,4,,,,0,2,0,ok,9.0
1state3ap1acc_00298_c,3,4,,,,0,2,0,ok,9.5
1state3ap1acc_00300,3,4,,,,0,1,0,ok,9.1
1state3ap1acc_00300_c,3,4,,,,0,1,0,ok,9.5
1state3ap1acc_00302,3,4,,,,0,1,0,ok,9.1
1state3ap1acc_00302_c,3,4,,,,0,1,0,ok,9.4
1state3ap1acc_00316,3,4,,,,0,2,0,ok,9.1
1state3ap1acc_00316_c,3,4,,,,0,2,0,ok,9.5
1state3ap1acc_00318,3,4,,,,0,2,0,ok,9.1
1state3ap1acc_00318_c,3,4,,,,0,2,0,ok,9.5
1state3ap1acc_00360,3,4,,t02,,0,6,0,ok,9.1
1state3ap1acc_00360_c,3,4,,t02,,0,6,0,ok,9.5
1state3ap1acc_00362,3,4,,,,0,2,0,ok,9.1
1state3ap1acc_00362_c,3,4,,,,0,2,0,ok,9.5
1state3ap1acc_00366,3,4,,t02,,0,2,0,ok,9.1
1state3ap1acc_00366_c,3,4,,t02,,0,2,0,ok,9.5
1state3ap1acc_00382,3,4,,t01,,0,6,0,ok,9.1
1state3ap1acc_00382_c,3,4,,t01,,0,6,0,ok,9.5
1state3ap1acc_00384,3,4,,t01,,0,6,0,ok,9.1
1state3ap1acc_00384_c,3,4,,t01,,0,6,0,ok,9.5
1state3ap1acc_00386,3,4,,t02,,0,2,0,ok,9.1
1state3ap1acc_00386_c,3,4,,t02,,0,2,0,ok,9.5
1state3ap1acc_00390,3,4,,,,0,2,0,ok,9.2
1state3ap1acc_00390_c,3,4,,,,0,2,0,ok,9.7
1state3ap1acc_00392,3,4,,,,0,2,0,ok,9.2
1state3ap1acc_00392_c,3,4,,,,0,2,0,ok,9.6
1state3ap1acc_00394,3,4,,,,0,1,0,ok,9.2
1state3ap1acc_00394_c,3,4,,,,0,1,0,ok,9.6
1state3ap1acc_00398,3,4,,,,0,2,0,ok,9.2
1state3ap1acc_00398_c,3,4,,,,0,2,0,ok,9.6
1state3ap1acc_00406,3,4,,t02,,0,6,0,ok,9.3
1state3ap1acc_00406_c,3,4,,t02,,0,6,0,ok,9.5
1state3ap1acc_00408,3,4,,,,0,2,0,ok,9.1
1state3ap1acc_00408_c,3,4,,,,0,2,0,ok,9.6
1state3ap1acc_00410,3,4,,,,0,1,0,ok,9.2
1state3ap1acc_00410_c,3,4,,,,0,1,0,ok,9.7
1state3ap1acc_00414,3,4,,,,0,2,0,ok,9.2
1state3ap1acc_00414_c,3,4,,,,0,2,0,ok,9.6
1state3ap1acc_00424,3,4,,,,0,2,0,ok,9.1
1state3ap1acc_00424_c,3,4,,,,0,2,0,ok,9.5
1state3ap1acc_00426,3,4,,,,0,2,0,ok,9.2
1state3ap1acc_00426_c,3,4,,,,0,2,0,ok,9.5
1state3ap1acc_00428,3,4,,,,0,1,0,ok,9.1
1state3ap1acc_00428_c,3,4,,,,0,1,0,ok,9.5
1state3ap1acc_00430,3,4,,,,0,1,0,ok,9.2
1state3ap1acc_00430_c,3,4,,,,0,1,0,ok,9.6
1state3ap1acc_00444,3,4,,,,0,2,0,ok,9.2
1state3ap1acc_00444_c,3,4,,,,0,2,0,ok,9.6
1state3ap1acc_00446,3,4,,,,0,2,0,ok,9.1
1state3ap1acc_00446_c,3,4,,,,0,2,0,ok,9.6
1state3ap1acc_00488,3,4,,t02,,0,6,0,ok,9.1
1state3ap1acc_00488_c,3,4,,t02,,0,6,0,ok,9.5
1state3ap1acc_00490,3,4,,,,0,2,0,ok,9.1
1state3ap1acc_00490_c,3,4,,,,0,2,0,ok,9.5
1state3ap1acc_00494,3,4,,t02,,0,2,0,ok,9.1
1state3ap1acc_00494_c,3,4,,t02,,0,2,0,ok,9.5
1state3ap1acc_00510,3,3,,t01,,0,6,0,ok,7.8
1state3ap1acc_00510_c,3,3,,t01,,0,6,0,ok,7.9
1state3ap1acc_00772,3,4,,,,0,1,0,ok,9.1
1state3ap1acc_00772_c,3,4,,,,0,1,0,ok,9.5
1state3ap1acc_00780,2,4,,,,0,1,0,ok,1.7
1state3ap1acc_00780_c,2,4,,,,0,1,0,ok,1.7
1state3ap1acc_00788,3,4,,,,0,2,0,ok,9.1
1state3ap1acc_00788_c,3,4,,,,0,2,0,ok,9.5
1state3ap1acc_00792,3,4,,,,0,2,0,ok,9.0
1state3ap1acc_00792_c,3,4,,,,0,2,0,ok,9.5
1state3ap1acc_00796,3,4,,,,0,1,0,ok,9.1
1state3ap1acc_00796_c,3,4,,,,0,1,0,ok,9.5
1state3ap1acc_00828,2,4,,,,0,2,0,ok,1.7
1state3ap1acc_00828_c,2,4,,,,0,2,0,ok,1.7
1state3ap1acc_00832,3,4,,,,0,2,0,ok,9.1
1state3ap1acc_00832_c,3,4,,,,0,2,0,ok,9.5
1state3ap1acc_00836,3,4,,,,0,1,0,ok,9.1
1state3ap1acc_00836_c,3,4,,,,0,1,0,ok,9.5
1state3ap1acc_00840,3,4,,,,0,1,0,ok,9.1
1state3ap1acc_00840_c,3,4,,,,0,1,0,ok,9.5
1state3ap1acc_00844,3,4,,,,0,1,0,ok,9.1
1state3ap1acc_00844_c,3,4,,,,0,1,0,ok,9.5
1state3ap1acc_00852,3,4,,,,0,2,0,ok,9.1
1state3ap1acc_00852_c,3,4,,,,0,2,0,ok,9.4
1state3ap1acc_00856,3,4,,,,0,1,0,ok,9.1
1state3ap1acc_00856_c,3,4,,,,0,1,0,ok,9.5
1state3ap1acc_00860,3,4,,,,0,1,0,ok,9.1
1state3ap1acc_00860_c,3,4,,,,0,1,0,ok,9.5
1state3ap1acc_00872,3,4,,,,0,2,0,ok,9.1
1state3ap1acc_00872_c,3,4,,,,0,2,0,ok,9.5
1state3ap1acc_00876,3,4,,,,0,1,0,ok,9.0
1state3ap1acc_00876_c,3,4,,,,0,1,0,ok,9.5
1state3ap1acc_00892,3,4,,,,0,2,0,ok,9.1
1state3ap1acc_00892_c,3,4,,,,0,2,0,ok,9.7
1state3ap1acc_00960,2,4,,,,0,2,0,ok,1.7
1state3ap1acc_00960_c,2,4,,,,0,2,0,ok,1.7
