input,result,technique,build_s,formula,dag,temporals,tree,sharing,md5,validation,source
counting_buchi_1ap_28.txt,LTL,daisy+partscc,0.075,a & X(a & G((a | Xa) & (!a | X!a))),11,1,17,1.5,e0d8c0abc0b4,TRUE,samples/kinska/counting/1ap/counting_buchi_1ap_28.txt
counting_buchi_1ap_29.txt,NOT_LTL,,1.182,,,,,,,,samples/kinska/counting/1ap/counting_buchi_1ap_29.txt
counting_buchi_1ap_30.txt,NOT_LTL,,1.185,,,,,,,,samples/kinska/counting/1ap/counting_buchi_1ap_30.txt
counting_buchi_1ap_31.txt,NOT_LTL,,1.295,,,,,,,,samples/kinska/counting/1ap/counting_buchi_1ap_31.txt
counting_buchi_1ap_32.txt,NOT_LTL,,1.287,,,,,,,,samples/kinska/counting/1ap/counting_buchi_1ap_32.txt
counting_buchi_1ap_33.txt,NOT_LTL,,1.281,,,,,,,,samples/kinska/counting/1ap/counting_buchi_1ap_33.txt
counting_buchi_1ap_34.txt,NOT_LTL,,1.386,,,,,,,,samples/kinska/counting/1ap/counting_buchi_1ap_34.txt
counting_buchi_1ap_35.txt,NOT_LTL,,1.831,,,,,,,,samples/kinska/counting/1ap/counting_buchi_1ap_35.txt
counting_buchi_1ap_36.txt,NOT_LTL,,3.114,,,,,,,,samples/kinska/counting/1ap/counting_buchi_1ap_36.txt
counting_buchi_1ap_37.txt,NOT_LTL,,7.468,,,,,,,,samples/kinska/counting/1ap/counting_buchi_1ap_37.txt
counting_buchi_1ap_38.txt,TIMEOUT,,15.005,,,,,,,,samples/kinska/counting/1ap/counting_buchi_1ap_38.txt
counting_buchi_1ap_39.txt,TIMEOUT,,15.004,,,,,,,,samples/kinska/counting/1ap/counting_buchi_1ap_39.txt
counting_buchi_1ap_40.txt,TIMEOUT,,15.004,,,,,,,,samples/kinska/counting/1ap/counting_buchi_1ap_40.txt
counting_buchi_2ap_01.txt,NOT_LTL,,1.207,,,,,,,,samples/kinska/counting/2ap/counting_buchi_2ap_01.txt
counting_buchi_2ap_02.txt,NOT_LTL,,1.199,,,,,,,,samples/kinska/counting/2ap/counting_buchi_2ap_02.txt
counting_buchi_2ap_03.txt,NOT_LTL,,1.209,,,,,,,,samples/kinska/counting/2ap/counting_buchi_2ap_03.txt
counting_buchi_2ap_04.txt,NOT_LTL,,1.231,,,,,,,,samples/kinska/counting/2ap/counting_buchi_2ap_04.txt
counting_buchi_2ap_05.txt,NOT_LTL,,1.232,,,,,,,,samples/kinska/counting/2ap/counting_buchi_2ap_05.txt
counting_buchi_2ap_06.txt,NOT_LTL,,1.227,,,,,,,,samples/kinska/counting/2ap/counting_buchi_2ap_06.txt
counting_buchi_2ap_07.txt,NOT_LTL,,1.231,,,,,,,,samples/kinska/counting/2ap/counting_buchi_2ap_07.txt
counting_buchi_2ap_08.txt,NOT_LTL,,1.221,,,,,,,,samples/kinska/counting/2ap/counting_buchi_2ap_08.txt
counting_buchi_2ap_09.txt,NOT_LTL,,1.216,,,,,,,,samples/kinska/counting/2ap/counting_buchi_2ap_09.txt
counting_buchi_2ap_10.txt,NOT_LTL,,1.237,,,,,,,,samples/kinska/counting/2ap/counting_buchi_2ap_10.txt
counting_buchi_2ap_11.txt,LTL,daisy+partscc,0.085,b & X(!a & G((!a | X!a) & (a | Xa))),12,1,18,1.5,78c559eca13e,TRUE,samples/kinska/counting/2ap/counting_buchi_2ap_11.txt
counting_buchi_2ap_12.txt,LTL,daisy+partscc,0.081,b & X(!a & G((!a | X!a) & (a | Xa))),12,1,18,1.5,78c559eca13e,TRUE,samples/kinska/counting/2ap/counting_buchi_2ap_12.txt
counting_buchi_2ap_13.txt,LTL,daisy+partscc,0.082,b & X(!a & G((!a | X!a) & (a | Xa))),12,1,18,1.5,78c559eca13e,TRUE,samples/kinska/counting/2ap/counting_buchi_2ap_13.txt
counting_buchi_2ap_14.txt,NOT_LTL,,1.242,,,,,,,,samples/kinska/counting/2ap/counting_buchi_2ap_14.txt
counting_buchi_2ap_15.txt,NOT_LTL,,1.261,,,,,,,,samples/kinska/counting/2ap/counting_buchi_2ap_15.txt
counting_buchi_2ap_16.txt,NOT_LTL,,1.250,,,,,,,,samples/kinska/counting/2ap/counting_buchi_2ap_16.txt
counting_buchi_2ap_17.txt,NOT_LTL,,1.221,,,,,,,,samples/kinska/counting/2ap/counting_buchi_2ap_17.txt
counting_buchi_2ap_18.txt,NOT_LTL,,1.253,,,,,,,,samples/kinska/counting/2ap/counting_buchi_2ap_18.txt
counting_buchi_2ap_19.txt,NOT_LTL,,1.244,,,,,,,,samples/kinska/counting/2ap/counting_buchi_2ap_19.txt
counting_buchi_2ap_20.txt,NOT_LTL,,1.243,,,,,,,,samples/kinska/counting/2ap/counting_buchi_2ap_20.txt
counting_buchi_2ap_21.txt,NOT_LTL,,1.251,,,,,,,,samples/kinska/counting/2ap/counting_buchi_2ap_21.txt
counting_buchi_2ap_22.txt,NOT_LTL,,1.241,,,,,,,,samples/kinska/counting/2ap/counting_buchi_2ap_22.txt
counting_buchi_2ap_23.txt,NOT_LTL,,1.282,,,,,,,,samples/kinska/counting/2ap/counting_buchi_2ap_23.txt
counting_buchi_2ap_24.txt,NOT_LTL,,1.232,,,,,,,,samples/kinska/counting/2ap/counting_buchi_2ap_24.txt
counting_buchi_2ap_25.txt,NOT_LTL,,1.230,,,,,,,,samples/kinska/counting/2ap/counting_buchi_2ap_25.txt
counting_buchi_2ap_26.txt,NOT_LTL,,1.231,,,,,,,,samples/kinska/counting/2ap/counting_buchi_2ap_26.txt
counting_buchi_2ap_27.txt,NOT_LTL,,1.243,,,,,,,,samples/kinska/counting/2ap/counting_buchi_2ap_27.txt
counting_buchi_2ap_28.txt,LTL,daisy,0.072,0,1,0,1,1.0,256b0f7a8d39,TRUE,samples/kinska/counting/2ap/counting_buchi_2ap_28.txt
counting_buchi_2ap_29.txt,NOT_LTL,,1.236,,,,,,,,samples/kinska/counting/2ap/counting_buchi_2ap_29.txt
counting_buchi_2ap_30.txt,NOT_LTL,,1.210,,,,,,,,samples/kinska/counting/2ap/counting_buchi_2ap_30.txt
counting_buchi_2ap_31.txt,NOT_LTL,,1.231,,,,,,,,samples/kinska/counting/2ap/counting_buchi_2ap_31.txt
counting_buchi_2ap_32.txt,NOT_LTL,,1.307,,,,,,,,samples/kinska/counting/2ap/counting_buchi_2ap_32.txt
counting_buchi_2ap_33.txt,NOT_LTL,,1.219,,,,,,,,samples/kinska/counting/2ap/counting_buchi_2ap_33.txt
counting_buchi_2ap_34.txt,NOT_LTL,,1.226,,,,,,,,samples/kinska/counting/2ap/counting_buchi_2ap_34.txt
counting_buchi_2ap_35.txt,NOT_LTL,,1.278,,,,,,,,samples/kinska/counting/2ap/counting_buchi_2ap_35.txt
counting_buchi_2ap_36.txt,NOT_LTL,,1.294,,,,,,,,samples/kinska/counting/2ap/counting_buchi_2ap_36.txt
counting_buchi_2ap_37.txt,NOT_LTL,,1.440,,,,,,,,samples/kinska/counting/2ap/counting_buchi_2ap_37.txt
counting_buchi_2ap_38.txt,NOT_LTL,,1.839,,,,,,,,samples/kinska/counting/2ap/counting_buchi_2ap_38.txt
counting_buchi_2ap_39.txt,NOT_LTL,,3.217,,,,,,,,samples/kinska/counting/2ap/counting_buchi_2ap_39.txt
counting_buchi_2ap_40.txt,NOT_LTL,,6.978,,,,,,,,samples/kinska/counting/2ap/counting_buchi_2ap_40.txt
counting_buchi_2ap_41.txt,NOT_LTL,,1.322,,,,,,,,samples/kinska/counting/2ap/counting_buchi_2ap_41.txt
counting_buchi_2ap_42.txt,NOT_LTL,,1.301,,,,,,,,samples/kinska/counting/2ap/counting_buchi_2ap_42.txt
counting_buchi_2ap_43.txt,NOT_LTL,,1.305,,,,,,,,samples/kinska/counting/2ap/counting_buchi_2ap_43.txt
counting_buchi_2ap_44.txt,NOT_LTL,,1.294,,,,,,,,samples/kinska/counting/2ap/counting_buchi_2ap_44.txt
counting_buchi_2ap_45.txt,NOT_LTL,,1.298,,,,,,,,samples/kinska/counting/2ap/counting_buchi_2ap_45.txt
randltl-10-a-hoa-1.txt,LTL,daisy,0.072,1,1,0,1,1.0,e20f564d992f,TRUE,samples/kinska/randltl/1ap-ba/randltl-10-a-hoa-1.txt
randltl-10-a-hoa-10.txt,LTL,daisy,0.072,XFa,3,1,3,1.0,b192cfa563d7,TRUE,samples/kinska/randltl/1ap-ba/randltl-10-a-hoa-10.txt
randltl-10-a-hoa-2.txt,LTL,daisy,0.071,0,1,0,1,1.0,256b0f7a8d39,TRUE,samples/kinska/randltl/1ap-ba/randltl-10-a-hoa-2.txt
randltl-10-a-hoa-3.txt,LTL,daisy,0.070,0,1,0,1,1.0,256b0f7a8d39,TRUE,samples/kinska/randltl/1ap-ba/randltl-10-a-hoa-3.txt
randltl-10-a-hoa-4.txt,LTL,daisy,0.073,G!a,3,1,3,1.0,6d2bdb385b7a,TRUE,samples/kinska/randltl/1ap-ba/randltl-10-a-hoa-4.txt
randltl-10-a-hoa-5.txt,LTL,daisy,0.069,a,1,0,1,1.0,883cb92c9ed3,TRUE,samples/kinska/randltl/1ap-ba/randltl-10-a-hoa-5.txt
randltl-10-a-hoa-6.txt,LTL,daisy,0.072,!a,2,0,2,1.0,dffef08b04a5,TRUE,samples/kinska/randltl/1ap-ba/randltl-10-a-hoa-6.txt
randltl-10-a-hoa-7.txt,LTL,daisy,0.066,Ga,2,1,2,1.0,79182d6e45ae,TRUE,samples/kinska/randltl/1ap-ba/randltl-10-a-hoa-7.txt
randltl-10-a-hoa-8.txt,LTL,daisy,0.073,Fa,2,1,2,1.0,ff08d8efb425,TRUE,samples/kinska/randltl/1ap-ba/randltl-10-a-hoa-8.txt
randltl-10-a-hoa-9.txt,LTL,daisy,0.074,FGa,3,2,3,1.0,7ef5ce8004f6,TRUE,samples/kinska/randltl/1ap-ba/randltl-10-a-hoa-9.txt
1,LTL,daisy,0.071,1,1,0,1,1.0,e20f564d992f,TRUE,samples/kinska/randltl/1ap-formulae/randltl-10-a.txt:1
0,LTL,daisy,0.071,0,1,0,1,1.0,256b0f7a8d39,TRUE,samples/kinska/randltl/1ap-formulae/randltl-10-a.txt:2
X(0),LTL,daisy,0.072,0,1,0,1,1.0,256b0f7a8d39,TRUE,samples/kinska/randltl/1ap-formulae/randltl-10-a.txt:3
!Fa,LTL,daisy,0.072,G!a,3,1,3,1.0,6d2bdb385b7a,TRUE,samples/kinska/randltl/1ap-formulae/randltl-10-a.txt:4
a,LTL,daisy,0.071,a,1,0,1,1.0,883cb92c9ed3,TRUE,samples/kinska/randltl/1ap-formulae/randltl-10-a.txt:5
!a,LTL,daisy,0.072,!a,2,0,2,1.0,dffef08b04a5,TRUE,samples/kinska/randltl/1ap-formulae/randltl-10-a.txt:6
Ga,LTL,daisy,0.068,Ga,2,1,2,1.0,79182d6e45ae,TRUE,samples/kinska/randltl/1ap-formulae/randltl-10-a.txt:7
Fa,LTL,daisy,0.072,Fa,2,1,2,1.0,ff08d8efb425,TRUE,samples/kinska/randltl/1ap-formulae/randltl-10-a.txt:8
FGa,LTL,daisy,0.074,FGa,3,2,3,1.0,7ef5ce8004f6,TRUE,samples/kinska/randltl/1ap-formulae/randltl-10-a.txt:9
FXa,LTL,daisy,0.072,XFa,3,1,3,1.0,b192cfa563d7,TRUE,samples/kinska/randltl/1ap-formulae/randltl-10-a.txt:10
randltl-10-a-hoa-1.txt,LTL,daisy,0.069,0,1,0,1,1.0,256b0f7a8d39,TRUE,samples/kinska/randltl/2ap-ba/randltl-10-a-hoa-1.txt
randltl-10-a-hoa-10.txt,LTL,daisy,0.072,Ga,2,1,2,1.0,79182d6e45ae,TRUE,samples/kinska/randltl/2ap-ba/randltl-10-a-hoa-10.txt
randltl-10-a-hoa-2.txt,LTL,daisy,0.072,!a,2,0,2,1.0,dffef08b04a5,TRUE,samples/kinska/randltl/2ap-ba/randltl-10-a-hoa-2.txt
randltl-10-a-hoa-3.txt,LTL,daisy,0.074,XXb,3,0,3,1.0,d6770d903fd8,TRUE,samples/kinska/randltl/2ap-ba/randltl-10-a-hoa-3.txt
randltl-10-a-hoa-4.txt,LTL,daisy,0.076,XFb,3,1,3,1.0,98dd93fe66de,TRUE,samples/kinska/randltl/2ap-ba/randltl-10-a-hoa-4.txt
randltl-10-a-hoa-5.txt,LTL,daisy,0.072,b,1,0,1,1.0,98f9c15e60dd,TRUE,samples/kinska/randltl/2ap-ba/randltl-10-a-hoa-5.txt
randltl-10-a-hoa-6.txt,LTL,daisy,0.068,1,1,0,1,1.0,e20f564d992f,TRUE,samples/kinska/randltl/2ap-ba/randltl-10-a-hoa-6.txt
randltl-10-a-hoa-7.txt,LTL,daisy,0.074,a,1,0,1,1.0,883cb92c9ed3,TRUE,samples/kinska/randltl/2ap-ba/randltl-10-a-hoa-7.txt
randltl-10-a-hoa-8.txt,LTL,daisy,0.072,0,1,0,1,1.0,256b0f7a8d39,TRUE,samples/kinska/randltl/2ap-ba/randltl-10-a-hoa-8.txt
randltl-10-a-hoa-9.txt,LTL,daisy,0.073,!b,2,0,2,1.0,599148956b50,TRUE,samples/kinska/randltl/2ap-ba/randltl-10-a-hoa-9.txt
0,LTL,daisy,0.069,0,1,0,1,1.0,256b0f7a8d39,TRUE,samples/kinska/randltl/2ap-formulae/randltl-10-a.txt:1
!a,LTL,daisy,0.073,!a,2,0,2,1.0,dffef08b04a5,TRUE,samples/kinska/randltl/2ap-formulae/randltl-10-a.txt:2
