input,result,technique,build_s,formula,dag,temporals,tree,sharing,md5,validation,source
1state1ap2acc_000.hoa,LTL,daisy+inv,0.075,0,1,0,1,1.0,256b0f7a8d39,TRUE,genaut/corpus/1state1ap2acc/1state1ap2acc_000.hoa
1state1ap2acc_001.hoa,LTL,daisy+inv,0.079,G!a,3,1,3,1.0,6d2bdb385b7a,TRUE,genaut/corpus/1state1ap2acc/1state1ap2acc_001.hoa
1state1ap2acc_003.hoa,LTL,daisy,0.067,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/1state1ap2acc/1state1ap2acc_003.hoa
1state1ap2acc_004.hoa,LTL,daisy+inv,0.073,0,1,0,1,1.0,256b0f7a8d39,TRUE,genaut/corpus/1state1ap2acc/1state1ap2acc_004.hoa
1state1ap2acc_006.hoa,LTL,daisy,0.082,GFa,3,2,3,1.0,0cdf120f1aa3,TRUE,genaut/corpus/1state1ap2acc/1state1ap2acc_006.hoa
1state1ap2acc_007.hoa,LTL,daisy,0.080,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/1state1ap2acc/1state1ap2acc_007.hoa
1state1ap2acc_024.hoa,LTL,acc2+daisy,0.082,G(F!a & Fa),6,3,7,1.2,8ad927f0d306,TRUE,genaut/corpus/1state1ap2acc/1state1ap2acc_024.hoa
