case,kind,size,MQ,EQ
1state3ap1acc_15425,periodic,5,56,2
1state3ap1acc_15425_c,periodic,7,107,3
3state1ap0acc_004362_c,syntactic,21,154,4
3state1ap0acc_004364,syntactic,15,196,9
3state1ap0acc_004376,syntactic,18,202,9
3state1ap0acc_004388,syntactic,18,268,10
3state1ap0acc_004390,syntactic,24,221,8
3state1ap0acc_004390_c,syntactic,22,127,4
3state1ap0acc_004392,syntactic,31,155,4
3state1ap0acc_004392_c,syntactic,29,202,6
3state1ap0acc_004394,syntactic,31,218,7
3state1ap0acc_004394_c,syntactic,29,277,10
3state1ap0acc_004422,syntactic,26,185,5
3state1ap0acc_004422_c,syntactic,24,175,5
3state1ap0acc_004424,syntactic,23,166,6
3state1ap0acc_004424_c,syntactic,22,169,5
3state1ap0acc_004426,syntactic,14,88,4
3state1ap0acc_004428,syntactic,23,177,5
3state1ap0acc_004428_c,syntactic,22,171,5
3state1ap0acc_004430,syntactic,20,170,5
3state1ap0acc_004430_c,syntactic,20,168,6
3state1ap0acc_004440,syntactic,26,189,5
3state1ap0acc_004440_c,syntactic,23,177,5
3state1ap0acc_004452,syntactic,30,201,5
3state1ap0acc_004452_c,syntactic,27,185,5
3state1ap0acc_004488,syntactic,17,94,4
3state1ap0acc_004488_c,syntactic,16,183,7
3state1ap0acc_004490,syntactic,26,240,8
3state1ap0acc_004490_c,syntactic,24,572,18
3state1ap0acc_004504,syntactic,20,118,4
3state1ap0acc_004504_c,syntactic,18,83,3
3state1ap0acc_004506,syntactic,30,312,9
3state1ap0acc_004506_c,syntactic,27,273,8
3state1ap0acc_004520,syntactic,50,452,13
3state1ap0acc_004520_c,syntactic,46,378,11
3state1ap0acc_004522,syntactic,37,429,13
3state1ap0acc_004522_c,syntactic,34,419,14
3state1ap0acc_004536,syntactic,37,298,6
3state1ap0acc_004536_c,syntactic,33,274,6
3state1ap0acc_004552,syntactic,23,176,6
3state1ap0acc_004552_c,syntactic,21,137,4
3state1ap0acc_004568,syntactic,26,189,5
1state3ap1acc_15426,periodic,5,56,2
1state3ap1acc_15426_c,periodic,7,107,3
1state3ap1acc_15427,periodic,5,63,2
1state3ap1acc_15427_c,periodic,7,107,3
3state1ap0acc_004568_c,syntactic,23,215,7
3state1ap0acc_004612,syntactic,15,128,5
3state1ap0acc_004613,syntactic,22,125,4
3state1ap0acc_004613_c,syntactic,21,123,4
3state1ap0acc_004614,syntactic,16,86,4
3state1ap0acc_004620,syntactic,15,84,4
3state1ap0acc_004628,syntactic,24,133,4
3state1ap0acc_004628_c,syntactic,22,127,4
3state1ap0acc_004630,syntactic,24,168,6
3state1ap0acc_004630_c,syntactic,22,137,5
3state1ap0acc_004632,syntactic,18,80,3
3state1ap0acc_004632_c,syntactic,16,78,3
3state1ap0acc_004644,syntactic,18,145,6
3state1ap0acc_004644_c,syntactic,16,133,5
3state1ap0acc_004645,syntactic,38,172,4
3state1ap0acc_004645_c,syntactic,34,158,4
3state1ap0acc_004646,syntactic,24,174,6
3state1ap0acc_004646_c,syntactic,22,239,9
3state1ap0acc_004648,syntactic,24,311,11
3state1ap0acc_004648_c,syntactic,22,234,9
3state1ap0acc_004649,syntactic,24,162,6
3state1ap0acc_004649_c,syntactic,22,154,6
3state1ap0acc_004652,syntactic,24,274,10
3state1ap0acc_004652_c,syntactic,22,242,9
3state1ap0acc_004660,syntactic,27,139,4
3state1ap0acc_004660_c,syntactic,24,131,4
3state1ap0acc_004662,syntactic,30,206,5
3state1ap0acc_004662_c,syntactic,27,210,6
3state1ap0acc_004664,syntactic,27,226,8
3state1ap0acc_004664_c,syntactic,24,131,4
3state1ap0acc_004668,syntactic,24,140,5
3state1ap0acc_004668_c,syntactic,22,137,5
3state1ap0acc_004676,syntactic,17,112,4
3state1ap0acc_004676_c,syntactic,16,116,4
3state1ap0acc_004677,syntactic,26,133,4
3state1ap0acc_004677_c,syntactic,24,129,4
3state1ap0acc_004696,syntactic,20,205,8
3state1ap0acc_004696_c,syntactic,18,124,5
3state1ap0acc_004708,syntactic,20,120,4
3state1ap0acc_004708_c,syntactic,18,131,5
1state3ap1acc_15555,periodic,3,14,1
1state3ap1acc_15555_c,periodic,4,34,2
1state3ap1acc_15618,periodic,5,56,2
1state3ap1acc_15618_c,periodic,7,107,3
1state2ap2acc_00420,periodic,4,34,2
1state2ap2acc_00420_c,periodic,5,42,2
1state2ap2acc_00480,periodic,4,34,2
1state2ap2acc_00480_c,periodic,5,42,2
3state1ap0acc_004709,syntactic,30,364,10
3state1ap0acc_004709_c,syntactic,27,238,8
3state1ap0acc_004740,syntactic,23,199,6
3state1ap0acc_004740_c,syntactic,22,154,4
3state1ap0acc_004741,syntactic,14,114,5
3state1ap0acc_004745,syntactic,26,147,4
3state1ap0acc_004745_c,syntactic,24,141,4
3state1ap0acc_004748,syntactic,23,148,4
3state1ap0acc_004748_c,syntactic,22,451,17
3state1ap0acc_004749,syntactic,20,135,4
3state1ap0acc_004756,syntactic,26,137,4
3state1ap0acc_004756_c,syntactic,24,131,4
3state1ap0acc_004760,syntactic,30,161,4
3state1ap0acc_004760_c,syntactic,27,151,4
3state1ap0acc_004764,syntactic,37,451,12
3state1ap0acc_004764_c,syntactic,34,229,5
3state1ap0acc_004772,syntactic,36,260,6
3state1ap0acc_004772_c,syntactic,32,665,19
3state1ap0acc_004773,syntactic,17,115,4
3state1ap0acc_004776,syntactic,37,296,8
3state1ap0acc_004776_c,syntactic,34,327,10
3state1ap0acc_004780,syntactic,44,349,6
3state1ap0acc_004780_c,syntactic,40,363,8
3state1ap0acc_004788,syntactic,37,302,6
3state1ap0acc_004788_c,syntactic,33,281,6
3state1ap0acc_004792,syntactic,56,522,12
3state1ap0acc_004792_c,syntactic,51,340,7
3state1ap0acc_004804,syntactic,23,131,4
3state1ap0acc_004804_c,syntactic,21,142,4
3state1ap0acc_004824,syntactic,42,609,16
3state1ap0acc_004824_c,syntactic,38,894,16
3state1ap0acc_004836,syntactic,26,193,5
3state1ap0acc_004836_c,syntactic,23,293,10
3state1ap0acc_005126,syntactic,20,206,8
3state1ap0acc_005126_c,syntactic,18,118,4
3state1ap0acc_005128,syntactic,20,211,10
3state1ap0acc_005129,syntactic,20,173,7
3state1ap0acc_005129_c,syntactic,18,251,12
3state1ap0acc_005130,syntactic,20,130,5
3state1ap0acc_005130_c,syntactic,18,187,8
1state3ap1acc_15680,periodic,5,56,2
1state3ap1acc_15680_c,periodic,7,107,3
1state3ap1acc_15682,periodic,5,63,2
1state3ap1acc_15682_c,periodic,7,107,3
3state1ap0acc_005132,syntactic,20,206,9
3state1ap0acc_005132_c,syntactic,18,159,6
3state1ap0acc_005134,syntactic,47,537,14
3state1ap0acc_005134_c,syntactic,42,269,6
3state1ap0acc_005144,syntactic,20,200,8
3state1ap0acc_005144_c,syntactic,18,159,6
3state1ap0acc_005148,syntactic,42,530,15
3state1ap0acc_005148_c,syntactic,38,412,13
3state1ap0acc_005156,syntactic,20,412,13
3state1ap0acc_005156_c,syntactic,18,173,7
3state1ap0acc_005158,syntactic,47,490,13
3state1ap0acc_005158_c,syntactic,42,270,6
3state1ap0acc_005160,syntactic,26,172,6
3state1ap0acc_005160_c,syntactic,24,157,5
3state1ap0acc_005162,syntactic,26,226,8
3state1ap0acc_005162_c,syntactic,24,271,11
3state1ap0acc_005164,syntactic,47,480,13
3state1ap0acc_005164_c,syntactic,42,232,5
3state1ap0acc_005166,syntactic,26,158,5
3state1ap0acc_005166_c,syntactic,23,172,6
3state1ap0acc_005252,syntactic,20,118,4
3state1ap0acc_005252_c,syntactic,18,137,5
3state1ap0acc_005254,syntactic,20,238,8
3state1ap0acc_005254_c,syntactic,18,108,4
3state1ap0acc_005256,syntactic,20,130,5
3state1ap0acc_005256_c,syntactic,18,187,8
3state1ap0acc_005257,syntactic,20,279,8
3state1ap0acc_005257_c,syntactic,18,175,7
3state1ap0acc_005260,syntactic,20,124,5
3state1ap0acc_005260_c,syntactic,18,108,4
3state1ap0acc_005261,syntactic,26,196,6
3state1ap0acc_005261_c,syntactic,23,180,6
3state1ap0acc_005262,syntactic,-1,-1,-1
3state1ap0acc_005262_c,syntactic,51,409,7
3state1ap0acc_005268,syntactic,37,232,6
3state1ap0acc_005268_c,syntactic,34,204,5
3state1ap0acc_005276,syntactic,72,1039,22
3state1ap0acc_005276_c,syntactic,66,498,12
3state1ap0acc_005284,syntactic,20,355,12
3state1ap0acc_005284_c,syntactic,18,197,8
1state3ap1acc_15744,periodic,5,56,2
1state3ap1acc_15744_c,periodic,7,107,3
1state3ap1acc_15746,periodic,5,63,2
1state3ap1acc_15746_c,periodic,7,107,3
3state1ap0acc_005286,syntactic,56,1278,25
3state1ap0acc_005286_c,syntactic,51,845,14
3state1ap0acc_005288,syntactic,26,264,10
3state1ap0acc_005288_c,syntactic,24,143,4
3state1ap0acc_005292,syntactic,65,649,12
3state1ap0acc_005292_c,syntactic,59,618,11
3state1ap0acc_005294,syntactic,26,197,6
3state1ap0acc_005294_c,syntactic,23,173,5
3state1ap0acc_005300,syntactic,42,312,6
3state1ap0acc_005300_c,syntactic,38,284,6
3state1ap0acc_005304,syntactic,30,1755,35
3state1ap0acc_005304_c,syntactic,27,185,5
3state1ap0acc_005382,syntactic,37,453,13
3state1ap0acc_005382_c,syntactic,34,222,6
3state1ap0acc_005384,syntactic,33,260,10
3state1ap0acc_005384_c,syntactic,31,183,5
3state1ap0acc_005386,syntactic,33,228,8
3state1ap0acc_005386_c,syntactic,31,536,16
3state1ap0acc_005388,syntactic,33,240,7
3state1ap0acc_005388_c,syntactic,31,198,5
3state1ap0acc_005390,syntactic,41,261,6
3state1ap0acc_005390_c,syntactic,39,251,6
3state1ap0acc_005400,syntactic,36,456,14
3state1ap0acc_005400_c,syntactic,32,202,5
3state1ap0acc_005402,syntactic,36,288,6
3state1ap0acc_005402_c,syntactic,32,264,6
3state1ap0acc_005404,syntactic,33,299,9
3state1ap0acc_005404_c,syntactic,31,280,9
3state1ap0acc_005412,syntactic,42,474,13
3state1ap0acc_005412_c,syntactic,38,326,10
3state1ap0acc_005414,syntactic,54,523,13
3state1ap0acc_005414_c,syntactic,51,297,6
3state1ap0acc_005420,syntactic,30,205,5
3state1ap0acc_005420_c,syntactic,29,197,5
3state1ap0acc_005422,syntactic,27,236,6
3state1ap0acc_005422_c,syntactic,27,203,5
3state1ap0acc_005512,syntactic,50,363,9
3state1ap0acc_005512_c,syntactic,46,450,12
3state1ap0acc_005514,syntactic,37,400,12
3state1ap0acc_005514_c,syntactic,34,246,6
1state3ap1acc_15808,periodic,5,63,2
1state3ap1acc_15808_c,periodic,7,107,3
1state3ap1acc_15810,periodic,3,26,1
1state3ap1acc_15810_c,periodic,4,62,2
3state1ap0acc_005528,syntactic,56,357,6
3state1ap0acc_005528_c,syntactic,51,321,6
3state1ap0acc_005530,syntactic,42,508,11
3state1ap0acc_005530_c,syntactic,38,364,9
3state1ap0acc_005636,syntactic,20,118,4
3state1ap0acc_005636_c,syntactic,18,137,5
3state1ap0acc_005637,syntactic,30,141,4
3state1ap0acc_005637_c,syntactic,27,135,4
3state1ap0acc_005638,syntactic,20,175,7
3state1ap0acc_005638_c,syntactic,18,147,6
3state1ap0acc_005644,syntactic,20,186,7
3state1ap0acc_005644_c,syntactic,18,122,5
3state1ap0acc_005646,syntactic,56,2352,43
3state1ap0acc_005646_c,syntactic,51,490,11
3state1ap0acc_005652,syntactic,56,352,9
3state1ap0acc_005652_c,syntactic,51,358,9
3state1ap0acc_005654,syntactic,42,840,22
3state1ap0acc_005654_c,syntactic,38,403,13
3state1ap0acc_005668,syntactic,20,517,14
3state1ap0acc_005668_c,syntactic,18,173,7
3state1ap0acc_005669,syntactic,42,825,20
3state1ap0acc_005669_c,syntactic,38,465,11
3state1ap0acc_005670,syntactic,65,424,9
3state1ap0acc_005670_c,syntactic,59,344,6
3state1ap0acc_005672,syntactic,42,620,19
3state1ap0acc_005672_c,syntactic,38,287,10
3state1ap0acc_005673,syntactic,30,471,15
3state1ap0acc_005673_c,syntactic,27,449,14
3state1ap0acc_005676,syntactic,56,514,10
3state1ap0acc_005676_c,syntactic,51,372,8
3state1ap0acc_005678,syntactic,26,182,5
3state1ap0acc_005678_c,syntactic,23,177,6
3state1ap0acc_005684,syntactic,56,322,7
3state1ap0acc_005684_c,syntactic,51,725,13
3state1ap0acc_005686,syntactic,37,280,9
3state1ap0acc_005686_c,syntactic,33,253,8
3state1ap0acc_005688,syntactic,42,904,23
3state1ap0acc_005688_c,syntactic,38,216,5
3state1ap0acc_005692,syntactic,42,1315,28
3state1ap0acc_005692_c,syntactic,38,238,7
1state3ap1acc_16192,periodic,5,63,2
1state3ap1acc_16192_c,periodic,7,107,3
1state3ap1acc_16320,periodic,3,14,1
1state3ap1acc_16320_c,periodic,4,34,2
3state1ap0acc_005700,syntactic,33,211,5
3state1ap0acc_005700_c,syntactic,31,198,5
3state1ap0acc_005732,syntactic,42,312,6
3state1ap0acc_005732_c,syntactic,38,290,6
3state1ap0acc_005764,syntactic,47,273,5
3state1ap0acc_005764_c,syntactic,42,251,5
3state1ap0acc_005766,syntactic,-1,-1,-1
3state1ap0acc_005766_c,syntactic,51,1005,18
3state1ap0acc_005769,syntactic,30,226,7
3state1ap0acc_005769_c,syntactic,27,196,6
3state1ap0acc_005772,syntactic,56,451,8
3state1ap0acc_005772_c,syntactic,51,409,11
3state1ap0acc_005773,syntactic,26,195,6
3state1ap0acc_005773_c,syntactic,23,180,6
3state1ap0acc_005774,syntactic,26,182,5
3state1ap0acc_005774_c,syntactic,23,172,5
3state1ap0acc_005780,syntactic,45,262,5
3state1ap0acc_005780_c,syntactic,42,246,5
3state1ap0acc_005788,syntactic,72,775,15
3state1ap0acc_005788_c,syntactic,66,457,11
3state1ap0acc_005796,syntactic,65,847,18
3state1ap0acc_005796_c,syntactic,59,596,12
3state1ap0acc_005800,syntactic,56,475,13
3state1ap0acc_005800_c,syntactic,51,387,10
3state1ap0acc_005812,syntactic,50,339,6
3state1ap0acc_005812_c,syntactic,45,316,6
3state1ap0acc_005816,syntactic,56,1135,25
3state1ap0acc_005816_c,syntactic,51,346,7
3state1ap0acc_005828,syntactic,27,209,5
3state1ap0acc_005828_c,syntactic,27,199,5
3state1ap0acc_005860,syntactic,37,293,6
3state1ap0acc_005860_c,syntactic,33,271,6
3state1ap0acc_006148,syntactic,20,213,10
3state1ap0acc_006148_c,syntactic,18,222,10
3state1ap0acc_006149,syntactic,20,126,5
3state1ap0acc_006149_c,syntactic,18,216,10
3state1ap0acc_006150,syntactic,20,116,4
3state1ap0acc_006150_c,syntactic,18,191,8
3state1ap0acc_006152,syntactic,20,171,8
3state1ap0acc_006153,syntactic,20,114,4
1state3ap1acc_26882,periodic,5,49,2
1state3ap1acc_26882_c,periodic,7,107,3
1state3ap1acc_26886,periodic,5,56,2
1state3ap1acc_26886_c,periodic,7,107,3
3state1ap0acc_006153_c,syntactic,18,166,7
3state1ap0acc_006154,syntactic,26,149,5
3state1ap0acc_006154_c,syntactic,24,670,25
3state1ap0acc_006156,syntactic,20,171,8
3state1ap0acc_006156_c,syntactic,18,224,10
3state1ap0acc_006157,syntactic,42,172,4
3state1ap0acc_006157_c,syntactic,38,166,4
3state1ap0acc_006158,syntactic,42,300,6
3state1ap0acc_006158_c,syntactic,38,791,28
3state1ap0acc_006164,syntactic,20,118,4
3state1ap0acc_006164_c,syntactic,18,158,7
3state1ap0acc_006166,syntactic,20,119,4
3state1ap0acc_006166_c,syntactic,18,129,5
3state1ap0acc_006168,syntactic,20,118,4
3state1ap0acc_006168_c,syntactic,18,180,8
3state1ap0acc_006170,syntactic,42,234,5
3state1ap0acc_006170_c,syntactic,38,216,5
3state1ap0acc_006172,syntactic,30,145,4
3state1ap0acc_006172_c,syntactic,27,139,4
3state1ap0acc_006174,syntactic,37,297,6
3state1ap0acc_006174_c,syntactic,33,273,6
3state1ap0acc_006180,syntactic,20,99,4
3state1ap0acc_006180_c,syntactic,18,104,4
3state1ap0acc_006182,syntactic,30,195,5
3state1ap0acc_006182_c,syntactic,27,165,5
3state1ap0acc_006184,syntactic,20,119,5
3state1ap0acc_006184_c,syntactic,18,183,8
3state1ap0acc_006185,syntactic,20,149,6
3state1ap0acc_006185_c,syntactic,18,181,8
3state1ap0acc_006188,syntactic,30,985,26
3state1ap0acc_006188_c,syntactic,27,420,12
3state1ap0acc_006198,syntactic,26,190,5
3state1ap0acc_006198_c,syntactic,23,200,7
3state1ap0acc_006200,syntactic,20,202,8
3state1ap0acc_006200_c,syntactic,18,138,6
3state1ap0acc_006204,syntactic,20,187,7
3state1ap0acc_006204_c,syntactic,18,184,8
3state1ap0acc_006276,syntactic,33,217,7
3state1ap0acc_006276_c,syntactic,31,331,10
3state1ap0acc_006278,syntactic,37,244,5
1state3ap1acc_26902,periodic,5,63,2
1state3ap1acc_26902_c,periodic,7,107,3
1state3ap1acc_27030,periodic,3,26,1
1state3ap1acc_27030_c,periodic,4,62,2
3state1ap0acc_006278_c,syntactic,34,307,9
3state1ap0acc_006280,syntactic,26,149,5
3state1ap0acc_006280_c,syntactic,24,538,20
3state1ap0acc_006284,syntactic,45,258,6
3state1ap0acc_006284_c,syntactic,42,656,18
3state1ap0acc_006286,syntactic,45,264,5
3state1ap0acc_006286_c,syntactic,42,270,7
3state1ap0acc_006292,syntactic,33,208,5
3state1ap0acc_006292_c,syntactic,30,196,5
3state1ap0acc_006296,syntactic,26,153,4
3state1ap0acc_006296_c,syntactic,23,143,4
3state1ap0acc_006300,syntactic,41,355,7
3state1ap0acc_006300_c,syntactic,37,328,6
3state1ap0acc_006308,syntactic,42,287,6
3state1ap0acc_006308_c,syntactic,38,461,14
3state1ap0acc_006310,syntactic,26,145,4
3state1ap0acc_006310_c,syntactic,24,155,5
3state1ap0acc_006324,syntactic,42,313,6
3state1ap0acc_006324_c,syntactic,38,287,6
3state1ap0acc_006328,syntactic,30,348,11
3state1ap0acc_006328_c,syntactic,27,188,5
3state1ap0acc_006406,syntactic,20,235,9
3state1ap0acc_006406_c,syntactic,18,213,8
3state1ap0acc_006408,syntactic,20,133,5
3state1ap0acc_006408_c,syntactic,18,138,5
3state1ap0acc_006409,syntactic,20,118,4
3state1ap0acc_006409_c,syntactic,18,136,6
3state1ap0acc_006410,syntactic,42,263,8
3state1ap0acc_006410_c,syntactic,38,374,11
3state1ap0acc_006412,syntactic,20,195,7
3state1ap0acc_006412_c,syntactic,18,344,12
3state1ap0acc_006413,syntactic,42,252,5
3state1ap0acc_006413_c,syntactic,38,296,7
3state1ap0acc_006414,syntactic,42,350,10
3state1ap0acc_006414_c,syntactic,38,324,8
3state1ap0acc_006422,syntactic,56,352,6
3state1ap0acc_006422_c,syntactic,51,324,6
3state1ap0acc_006424,syntactic,20,118,4
3state1ap0acc_006424_c,syntactic,18,132,6
3state1ap0acc_006426,syntactic,37,297,6
1state3ap1acc_27396,periodic,5,56,2
1state3ap1acc_27396_c,periodic,7,107,3
1state3ap1acc_27412,periodic,5,63,2
1state3ap1acc_27412_c,periodic,7,107,3
3state1ap0acc_006426_c,syntactic,33,273,6
3state1ap0acc_006428,syntactic,42,1349,29
3state1ap0acc_006428_c,syntactic,38,455,11
3state1ap0acc_006430,syntactic,37,297,6
3state1ap0acc_006430_c,syntactic,33,273,6
3state1ap0acc_006438,syntactic,30,262,9
3state1ap0acc_006438_c,syntactic,27,185,5
3state1ap0acc_006440,syntactic,42,902,20
3state1ap0acc_006440_c,syntactic,38,1061,16
3state1ap0acc_006442,syntactic,42,278,9
3state1ap0acc_006442_c,syntactic,38,1141,21
3state1ap0acc_006444,syntactic,30,276,8
3state1ap0acc_006444_c,syntactic,27,195,6
3state1ap0acc_006456,syntactic,30,284,9
3state1ap0acc_006456_c,syntactic,27,187,5
3state1ap0acc_006470,syntactic,42,372,9
3state1ap0acc_006470_c,syntactic,38,1179,16
3state1ap0acc_006472,syntactic,30,199,6
3state1ap0acc_006472_c,syntactic,27,179,5
3state1ap0acc_006476,syntactic,30,212,6
3state1ap0acc_006476_c,syntactic,27,199,6
3state1ap0acc_006478,syntactic,26,190,5
3state1ap0acc_006478_c,syntactic,23,200,7
3state1ap0acc_006488,syntactic,30,343,11
3state1ap0acc_006488_c,syntactic,27,188,5
3state1ap0acc_006536,syntactic,26,171,6
3state1ap0acc_006536_c,syntactic,24,293,11
3state1ap0acc_006538,syntactic,50,600,16
3state1ap0acc_006538_c,syntactic,46,1123,19
3state1ap0acc_006568,syntactic,65,1723,31
3state1ap0acc_006568_c,syntactic,60,1019,19
3state1ap0acc_006570,syntactic,50,882,25
3state1ap0acc_006570_c,syntactic,46,655,20
3state1ap0acc_006600,syntactic,33,318,10
3state1ap0acc_006600_c,syntactic,30,346,10
3state1ap0acc_006660,syntactic,26,157,5
3state1ap0acc_006660_c,syntactic,24,435,16
3state1ap0acc_006662,syntactic,26,147,4
3state1ap0acc_006662_c,syntactic,24,703,23
3state1ap0acc_006668,syntactic,26,262,9
1state3ap1acc_27540,periodic,3,26,1
1state3ap1acc_27540_c,periodic,4,62,2
1state3ap1acc_28432,periodic,5,63,2
1state3ap1acc_28432_c,periodic,7,107,3
3state1ap0acc_006668_c,syntactic,24,469,17
3state1ap0acc_006669,syntactic,37,315,8
3state1ap0acc_006669_c,syntactic,34,544,11
3state1ap0acc_006670,syntactic,50,363,6
3state1ap0acc_006670_c,syntactic,46,578,16
3state1ap0acc_006680,syntactic,30,336,11
3state1ap0acc_006680_c,syntactic,27,153,4
3state1ap0acc_006684,syntactic,26,147,4
3state1ap0acc_006684_c,syntactic,24,141,4
3state1ap0acc_006692,syntactic,30,757,22
3state1ap0acc_006692_c,syntactic,27,496,17
3state1ap0acc_006788,syntactic,33,186,5
3state1ap0acc_006788_c,syntactic,31,189,5
3state1ap0acc_006790,syntactic,34,240,5
3state1ap0acc_006790_c,syntactic,31,539,20
3state1ap0acc_006796,syntactic,33,319,9
3state1ap0acc_006796_c,syntactic,31,486,18
3state1ap0acc_006798,syntactic,33,225,5
3state1ap0acc_006798_c,syntactic,31,404,14
3state1ap0acc_006808,syntactic,36,311,8
3state1ap0acc_006808_c,syntactic,32,236,5
3state1ap0acc_006812,syntactic,30,227,5
3state1ap0acc_006812_c,syntactic,28,217,5
3state1ap0acc_006820,syntactic,36,276,6
3state1ap0acc_006820_c,syntactic,32,583,19
3state1ap0acc_007172,syntactic,20,130,5
3state1ap0acc_007172_c,syntactic,18,190,8
3state1ap0acc_007174,syntactic,20,539,15
3state1ap0acc_007174_c,syntactic,18,135,5
3state1ap0acc_007176,syntactic,20,191,9
3state1ap0acc_007176_c,syntactic,18,169,7
3state1ap0acc_007177,syntactic,20,162,6
3state1ap0acc_007177_c,syntactic,18,209,8
3state1ap0acc_007178,syntactic,42,246,8
3state1ap0acc_007178_c,syntactic,38,403,14
3state1ap0acc_007180,syntactic,20,206,9
3state1ap0acc_007180_c,syntactic,18,172,7
3state1ap0acc_007181,syntactic,42,445,12
3state1ap0acc_007181_c,syntactic,-1,-1,-1
3state1ap0acc_007182,syntactic,65,463,11
1state3ap1acc_28560,periodic,3,26,1
1state3ap1acc_28560_c,periodic,4,62,2
1state3ap1acc_32257,periodic,5,63,2
1state3ap1acc_32257_c,periodic,7,107,3
3state1ap0acc_007182_c,syntactic,59,368,7
3state1ap0acc_007188,syntactic,42,268,7
3state1ap0acc_007188_c,syntactic,38,216,5
3state1ap0acc_007190,syntactic,42,313,6
3state1ap0acc_007190_c,syntactic,38,287,6
3state1ap0acc_007192,syntactic,20,261,10
3state1ap0acc_007192_c,syntactic,18,175,7
3state1ap0acc_007196,syntactic,56,1012,25
3state1ap0acc_007196_c,syntactic,51,708,14
3state1ap0acc_007198,syntactic,50,334,6
3state1ap0acc_007198_c,syntactic,45,308,6
3state1ap0acc_007204,syntactic,20,339,10
3state1ap0acc_007204_c,syntactic,18,126,5
3state1ap0acc_007206,syntactic,56,563,14
3state1ap0acc_007206_c,syntactic,51,953,16
3state1ap0acc_007208,syntactic,30,719,21
3state1ap0acc_007208_c,syntactic,27,228,8
3state1ap0acc_007212,syntactic,56,515,10
3state1ap0acc_007212_c,syntactic,51,406,9
3state1ap0acc_007214,syntactic,26,210,6
3state1ap0acc_007214_c,syntactic,23,198,7
3state1ap0acc_007300,syntactic,47,249,5
3state1ap0acc_007300_c,syntactic,42,233,5
3state1ap0acc_007302,syntactic,-1,-1,-1
3state1ap0acc_007302_c,syntactic,51,850,18
3state1ap0acc_007304,syntactic,30,157,5
3state1ap0acc_007304_c,syntactic,27,588,20
3state1ap0acc_007308,syntactic,65,378,7
3state1ap0acc_007308_c,syntactic,59,427,9
3state1ap0acc_007316,syntactic,30,218,6
3state1ap0acc_007316_c,syntactic,29,194,5
3state1ap0acc_007320,syntactic,30,197,5
3state1ap0acc_007320_c,syntactic,27,191,5
3state1ap0acc_007324,syntactic,50,466,12
3state1ap0acc_007324_c,syntactic,45,395,10
3state1ap0acc_007332,syntactic,56,610,13
3state1ap0acc_007332_c,syntactic,51,1215,20
3state1ap0acc_007336,syntactic,26,220,8
3state1ap0acc_007336_c,syntactic,24,274,11
3state1ap0acc_007348,syntactic,42,313,6
1state3ap1acc_32385,periodic,3,26,1
1state3ap1acc_32385_c,periodic,4,62,2
1state3ap1acc_32640,periodic,3,26,1
1state3ap1acc_32640_c,periodic,4,62,2
1state2ap2acc_00960,periodic,4,20,2
1state2ap2acc_00960_c,periodic,5,24,2
1state2ap2acc_01680,periodic,4,34,2
1state2ap2acc_01680_c,periodic,5,42,2
3state1ap0acc_007348_c,syntactic,38,290,6
3state1ap0acc_007430,syntactic,72,795,18
3state1ap0acc_007430_c,syntactic,-1,-1,-1
3state1ap0acc_007432,syntactic,42,303,7
3state1ap0acc_007432_c,syntactic,38,194,5
3state1ap0acc_007433,syntactic,42,387,9
3state1ap0acc_007433_c,syntactic,38,300,7
3state1ap0acc_007434,syntactic,37,330,9
3state1ap0acc_007434_c,syntactic,33,386,13
3state1ap0acc_007436,syntactic,42,451,11
3state1ap0acc_007436_c,syntactic,38,300,7
3state1ap0acc_007437,syntactic,42,339,8
3state1ap0acc_007437_c,syntactic,38,292,7
3state1ap0acc_007438,syntactic,50,303,7
3state1ap0acc_007438_c,syntactic,45,349,8
3state1ap0acc_007448,syntactic,42,376,11
3state1ap0acc_007448_c,syntactic,38,286,6
3state1ap0acc_007450,syntactic,37,297,6
3state1ap0acc_007450_c,syntactic,33,273,6
3state1ap0acc_007452,syntactic,42,241,6
3state1ap0acc_007452_c,syntactic,38,416,10
3state1ap0acc_007454,syntactic,37,297,6
3state1ap0acc_007454_c,syntactic,33,273,6
3state1ap0acc_007462,syntactic,72,847,18
3state1ap0acc_007462_c,syntactic,66,427,8
3state1ap0acc_007468,syntactic,42,309,8
3state1ap0acc_007468_c,syntactic,38,227,6
3state1ap0acc_007470,syntactic,37,283,7
3state1ap0acc_007470_c,syntactic,33,206,5
3state1ap0acc_007560,syntactic,45,469,12
3state1ap0acc_007560_c,syntactic,41,456,11
3state1ap0acc_007562,syntactic,45,558,16
3state1ap0acc_007562_c,syntactic,41,312,6
3state1ap0acc_007684,syntactic,47,253,5
3state1ap0acc_007684_c,syntactic,42,233,5
3state1ap0acc_007686,syntactic,65,539,10
3state1ap0acc_007686_c,syntactic,59,522,10
3state1ap0acc_007692,syntactic,56,1417,33
3state1ap0acc_007692_c,syntactic,51,424,8
3state1ap0acc_007693,syntactic,42,338,9
2state1ap0acc_018,periodic,8,52,4
2state1ap0acc_019,periodic,8,40,3
2state1ap0acc_022,periodic,10,56,4
2state1ap0acc_022_c,periodic,10,56,4
3state1ap0acc_007693_c,syntactic,38,605,13
3state1ap0acc_007708,syntactic,56,449,8
