case_id,config_id,seed,ap_count,ref_classes,learned_classes,n_member_total,n_member_fill,n_member_harvest,n_member_saturation,n_member_pcache,n_equiv,n_splits,n_columns_lin,n_columns_om,n_saturation_checks,n_saturation_escalations,n_classes_initial,stall_class,n_guard_firings,guard_fired_final,cex_policy,max_cex_stem,max_cex_loop,max_query_word_len,eq_certification,export_associative,fixpoint_congruent,wall_seconds,verdict,detail
1state2ap2acc_00292,default,0,2,5,5,51,47,2,0,2,1,3,1,2,4,1,2,,-1,-1,minimal,0,0,3,exact,true,true,0.001,SOUND,
1state2ap2acc_00292_c,default,0,2,5,5,51,47,2,0,2,1,3,1,2,4,1,2,,-1,-1,minimal,0,0,3,exact,true,true,0.001,SOUND,
1state2ap2acc_00300,default,0,2,4,4,29,26,1,0,2,1,2,0,2,3,1,2,,-1,-1,minimal,0,0,3,exact,true,true,0.001,SOUND,
1state2ap2acc_00300_c,default,0,2,4,4,29,26,1,0,2,1,2,0,2,3,1,2,,-1,-1,minimal,0,0,3,exact,true,true,0.001,SOUND,
1state2ap2acc_00352,default,0,2,5,5,50,44,2,0,4,2,3,0,3,4,2,2,,-1,-1,minimal,0,2,5,exact,true,true,0.001,SOUND,
1state2ap2acc_00352_c,default,0,2,5,5,50,44,2,0,4,2,3,0,3,4,2,2,,-1,-1,minimal,0,2,5,exact,true,true,0.001,SOUND,
1state2ap2acc_00360,default,0,2,4,4,29,26,1,0,2,1,2,0,2,3,1,2,,-1,-1,minimal,0,0,3,exact,true,true,0.001,SOUND,
1state2ap2acc_00360_c,default,0,2,4,4,29,26,1,0,2,1,2,0,2,3,1,2,,-1,-1,minimal,0,0,3,exact,true,true,0.001,SOUND,
1state2ap2acc_00384,default,0,2,5,5,51,45,3,0,3,2,3,1,2,4,1,2,,-1,-1,minimal,0,2,4,exact,true,true,0.001,SOUND,
1state2ap2acc_00384_c,default,0,2,5,5,51,45,3,0,3,2,3,1,2,4,1,2,,-1,-1,minimal,0,2,4,exact,true,true,0.001,SOUND,
1state2ap2acc_00386,default,0,2,5,5,52,47,1,0,4,1,3,1,2,4,1,2,,-1,-1,minimal,0,0,3,exact,true,true,0.001,SOUND,
1state2ap2acc_00386_c,default,0,2,5,5,52,47,1,0,4,1,3,1,2,4,1,2,,-1,-1,minimal,0,0,3,exact,true,true,0.001,SOUND,
1state2ap2acc_00390,default,0,2,4,4,27,26,1,0,0,1,2,0,2,3,1,2,,-1,-1,minimal,0,0,3,exact,true,true,0.001,SOUND,
1state2ap2acc_00390_c,default,0,2,4,4,27,26,1,0,0,1,2,0,2,3,1,2,,-1,-1,minimal,0,0,3,exact,true,true,0.001,SOUND,
1state2ap2acc_00416,default,0,2,5,5,50,44,2,0,4,2,3,0,3,4,2,2,,-1,-1,minimal,0,2,5,exact,true,true,0.001,SOUND,
1state2ap2acc_00416_c,default,0,2,5,5,50,44,2,0,4,2,3,0,3,4,2,2,,-1,-1,minimal,0,2,5,exact,true,true,0.001,SOUND,
1state2ap2acc_00420,default,0,2,4,4,27,26,1,0,0,1,2,0,2,3,1,2,,-1,-1,minimal,0,0,3,exact,true,true,0.001,SOUND,
1state2ap2acc_00420_c,default,0,2,4,4,27,26,1,0,0,1,2,0,2,3,1,2,,-1,-1,minimal,0,0,3,exact,true,true,0.001,SOUND,
1state2ap2acc_00480,default,0,2,4,4,25,22,2,0,1,2,2,0,2,3,1,2,,-1,-1,minimal,0,2,4,exact,true,true,0.001,SOUND,
1state2ap2acc_00480_c,default,0,2,4,4,25,22,2,0,1,2,2,0,2,3,1,2,,-1,-1,minimal,0,2,4,exact,true,true,0.001,SOUND,
1state2ap2acc_00960,default,0,1,4,4,11,8,2,0,1,2,2,0,2,3,1,2,,-1,-1,minimal,0,2,4,exact,true,true,0.001,SOUND,
1state2ap2acc_00960_c,default,0,1,4,4,11,8,2,0,1,2,2,0,2,3,1,2,,-1,-1,minimal,0,2,4,exact,true,true,0.001,SOUND,
1state2ap2acc_01680,default,0,2,4,4,25,22,2,0,1,2,2,0,2,3,1,2,,-1,-1,minimal,0,2,4,exact,true,true,0.001,SOUND,
1state2ap2acc_01680_c,default,0,2,4,4,25,22,2,0,1,2,2,0,2,3,1,2,,-1,-1,minimal,0,2,4,exact,true,true,0.001,SOUND,
1state2ap2acc_04672,default,0,2,6,6,82,73,2,0,7,2,4,0,4,5,3,2,,-1,-1,minimal,0,2,5,exact,true,true,0.002,SOUND,
1state2ap2acc_04672_c,default,0,2,6,6,82,73,2,0,7,2,4,0,4,5,3,2,,-1,-1,minimal,0,2,5,exact,true,true,0.002,SOUND,
1state2ap2acc_04680,default,0,2,5,5,51,48,1,0,2,1,3,0,3,4,2,2,,-1,-1,minimal,0,0,3,exact,true,true,0.001,SOUND,
1state2ap2acc_04680_c,default,0,2,5,5,51,48,1,0,2,1,3,0,3,4,2,2,,-1,-1,minimal,0,0,3,exact,true,true,0.001,SOUND,
1state2ap2acc_04736,default,0,2,6,6,79,70,2,0,7,2,4,0,4,5,3,2,,-1,-1,minimal,0,2,5,exact,true,true,0.001,SOUND,
1state2ap2acc_04736_c,default,0,2,6,6,79,70,2,0,7,2,4,0,4,5,3,2,,-1,-1,minimal,0,2,5,exact,true,true,0.002,SOUND,
1state2ap2acc_04740,default,0,2,5,5,51,48,1,0,2,1,3,0,3,4,2,2,,-1,-1,minimal,0,0,3,exact,true,true,0.001,SOUND,
1state2ap2acc_04740_c,default,0,2,5,5,51,48,1,0,2,1,3,0,3,4,2,2,,-1,-1,minimal,0,0,3,exact,true,true,0.001,SOUND,
1state2ap2acc_04800,default,0,2,5,5,48,43,2,0,3,2,3,0,3,4,2,2,,-1,-1,minimal,0,2,4,exact,true,true,0.001,SOUND,
1state2ap2acc_04800_c,default,0,2,5,5,48,43,2,0,3,2,3,0,3,4,2,2,,-1,-1,minimal,0,2,4,exact,true,true,0.001,SOUND,
1state2ap2acc_05760,default,0,2,5,5,48,43,2,0,3,2,3,0,3,4,2,2,,-1,-1,minimal,0,2,4,exact,true,true,0.001,SOUND,
1state2ap2acc_05760_c,default,0,2,5,5,48,43,2,0,3,2,3,0,3,4,2,2,,-1,-1,minimal,0,2,4,exact,true,true,0.001,SOUND,
1state2ap2acc_13440,default,0,2,5,5,48,43,2,0,3,2,3,0,3,4,2,2,,-1,-1,minimal,0,2,4,exact,true,true,0.001,SOUND,
1state2ap2acc_13440_c,default,0,2,5,5,48,43,2,0,3,2,3,0,3,4,2,2,,-1,-1,minimal,0,2,4,exact,true,true,0.001,SOUND,
1state2ap2acc_24960,default,0,2,5,5,52,44,4,0,4,2,3,0,3,4,1,2,,-1,-1,minimal,0,2,4,exact,true,true,0.001,SOUND,
