input,result,technique,build_s,formula,dag,temporals,tree,sharing,md5,validation,source
2state1ap1acc_00000.hoa,LTL,daisy,0.072,0,1,0,1,1.0,256b0f7a8d39,TRUE,genaut/corpus/2state1ap1acc/2state1ap1acc_00000.hoa
2state1ap1acc_00257.hoa,LTL,daisy,0.075,G!a,3,1,3,1.0,6d2bdb385b7a,TRUE,genaut/corpus/2state1ap1acc/2state1ap1acc_00257.hoa
2state1ap1acc_00258.hoa,LTL,daisy,0.071,!a & XGa,5,1,6,1.2,65541f1a02fa,TRUE,genaut/corpus/2state1ap1acc/2state1ap1acc_00258.hoa
2state1ap1acc_00259.hoa,LTL,daisy,0.069,!a,2,0,2,1.0,dffef08b04a5,TRUE,genaut/corpus/2state1ap1acc/2state1ap1acc_00259.hoa
2state1ap1acc_00262.hoa,LTL,daisy,0.073,!a & GFa,5,2,6,1.2,c7df6e3408d3,TRUE,genaut/corpus/2state1ap1acc/2state1ap1acc_00262.hoa
2state1ap1acc_00263.hoa,LTL,daisy,0.069,!a,2,0,2,1.0,dffef08b04a5,TRUE,genaut/corpus/2state1ap1acc/2state1ap1acc_00263.hoa
2state1ap1acc_00265.hoa,LTL,daisy,0.070,!a & GF!a,5,2,7,1.4,2d8e22c9170b,TRUE,genaut/corpus/2state1ap1acc/2state1ap1acc_00265.hoa
2state1ap1acc_00271.hoa,LTL,daisy,0.070,!a,2,0,2,1.0,dffef08b04a5,TRUE,genaut/corpus/2state1ap1acc/2state1ap1acc_00271.hoa
2state1ap1acc_00274.hoa,NOT_LTL,,1.114,,,,,,,,genaut/corpus/2state1ap1acc/2state1ap1acc_00274.hoa
2state1ap1acc_00276.hoa,LTL,daisy,0.069,G!a,3,1,3,1.0,6d2bdb385b7a,TRUE,genaut/corpus/2state1ap1acc/2state1ap1acc_00276.hoa
2state1ap1acc_00278.hoa,LTL,acc,1.128,!a,2,0,2,1.0,dffef08b04a5,TRUE,genaut/corpus/2state1ap1acc/2state1ap1acc_00278.hoa
2state1ap1acc_00280.hoa,NOT_LTL,,1.121,,,,,,,,genaut/corpus/2state1ap1acc/2state1ap1acc_00280.hoa
2state1ap1acc_00284.hoa,TIMEOUT,,15.533,,,,,,,,genaut/corpus/2state1ap1acc/2state1ap1acc_00284.hoa
2state1ap1acc_00287.hoa,LTL,daisy,0.073,!a,2,0,2,1.0,dffef08b04a5,TRUE,genaut/corpus/2state1ap1acc/2state1ap1acc_00287.hoa
2state1ap1acc_00288.hoa,LTL,partscc,0.076,!a & G((!a | X!a) & (a | Xa)),9,1,15,1.7,307ad4ea6833,TRUE,genaut/corpus/2state1ap1acc/2state1ap1acc_00288.hoa
2state1ap1acc_00289.hoa,LTL,partscc,0.074,!a & G(!a | X!a),6,1,10,1.7,c502b80fd986,TRUE,genaut/corpus/2state1ap1acc/2state1ap1acc_00289.hoa
2state1ap1acc_00290.hoa,LTL,buchi+daisy+daisy2+deep_roundtrip+partscc+strength2,1.165,!a & G(a | Xa),6,1,8,1.3,3930fb35808c,TRUE,genaut/corpus/2state1ap1acc/2state1ap1acc_00290.hoa
2state1ap1acc_00292.hoa,LTL,partscc,0.075,!a & G((!a | X!a) & Fa),8,2,13,1.6,e9436d0dcdd9,TRUE,genaut/corpus/2state1ap1acc/2state1ap1acc_00292.hoa
2state1ap1acc_00294.hoa,LTL,buchi+daisy+deep_roundtrip+inv+strength2,1.146,!a & GFa,5,2,6,1.2,c7df6e3408d3,TRUE,genaut/corpus/2state1ap1acc/2state1ap1acc_00294.hoa
2state1ap1acc_00296.hoa,LTL,buchi+daisy+deep_roundtrip+partscc,1.136,!a & X(a & G(F!a & (a | Xa))),10,2,15,1.5,1c44470515bc,TRUE,genaut/corpus/2state1ap1acc/2state1ap1acc_00296.hoa
2state1ap1acc_00297.hoa,LTL,buchi+daisy+deep_roundtrip+inv+scc2+strength2,1.155,!a & GF!a,5,2,7,1.4,2d8e22c9170b,TRUE,genaut/corpus/2state1ap1acc/2state1ap1acc_00297.hoa
2state1ap1acc_00298.hoa,LTL,buchi+daisy+daisy2+deep_roundtrip+partscc+strength2,1.156,!a & G(a | Xa),6,1,8,1.3,3930fb35808c,TRUE,genaut/corpus/2state1ap1acc/2state1ap1acc_00298.hoa
2state1ap1acc_00300.hoa,TIMEOUT,,16.009,,,,,,,,genaut/corpus/2state1ap1acc/2state1ap1acc_00300.hoa
2state1ap1acc_00304.hoa,NOT_LTL,,1.120,,,,,,,,genaut/corpus/2state1ap1acc/2state1ap1acc_00304.hoa
2state1ap1acc_00305.hoa,LTL,partscc,0.075,!a & G(!a | X!a),6,1,10,1.7,c502b80fd986,TRUE,genaut/corpus/2state1ap1acc/2state1ap1acc_00305.hoa
2state1ap1acc_00306.hoa,NOT_LTL,,1.118,,,,,,,,genaut/corpus/2state1ap1acc/2state1ap1acc_00306.hoa
2state1ap1acc_00308.hoa,LTL,buchi+daisy+daisy2+deep_roundtrip+partscc+strength2,1.164,!a & G(!a | X!a),6,1,10,1.7,c502b80fd986,TRUE,genaut/corpus/2state1ap1acc/2state1ap1acc_00308.hoa
2state1ap1acc_00310.hoa,LTL,acc,1.131,!a,2,0,2,1.0,dffef08b04a5,TRUE,genaut/corpus/2state1ap1acc/2state1ap1acc_00310.hoa
2state1ap1acc_00312.hoa,NOT_LTL,,1.149,,,,,,,,genaut/corpus/2state1ap1acc/2state1ap1acc_00312.hoa
2state1ap1acc_00314.hoa,NOT_LTL,,1.171,,,,,,,,genaut/corpus/2state1ap1acc/2state1ap1acc_00314.hoa
2state1ap1acc_00316.hoa,LTL,buchi+deep_roundtrip,1.139,!a & X(XF!a & G(a | XXF!a)),10,2,17,1.7,40d1a5d940c8,TRUE,genaut/corpus/2state1ap1acc/2state1ap1acc_00316.hoa
2state1ap1acc_00324.hoa,LTL,daisy2,0.072,G!a,3,1,3,1.0,6d2bdb385b7a,TRUE,genaut/corpus/2state1ap1acc/2state1ap1acc_00324.hoa
2state1ap1acc_00326.hoa,LTL,acc,1.117,!a,2,0,2,1.0,dffef08b04a5,TRUE,genaut/corpus/2state1ap1acc/2state1ap1acc_00326.hoa
2state1ap1acc_00328.hoa,NOT_LTL,,1.119,,,,,,,,genaut/corpus/2state1ap1acc/2state1ap1acc_00328.hoa
2state1ap1acc_00332.hoa,NOT_LTL,,1.107,,,,,,,,genaut/corpus/2state1ap1acc/2state1ap1acc_00332.hoa
2state1ap1acc_00356.hoa,LTL,buchi+daisy+daisy2+deep_roundtrip+partscc+strength2,1.169,!a & G(!a | X!a),6,1,10,1.7,c502b80fd986,TRUE,genaut/corpus/2state1ap1acc/2state1ap1acc_00356.hoa
2state1ap1acc_00358.hoa,LTL,acc,1.114,!a,2,0,2,1.0,dffef08b04a5,TRUE,genaut/corpus/2state1ap1acc/2state1ap1acc_00358.hoa
2state1ap1acc_00360.hoa,NOT_LTL,,1.152,,,,,,,,genaut/corpus/2state1ap1acc/2state1ap1acc_00360.hoa
2state1ap1acc_00364.hoa,LTL,buchi+deep_roundtrip,1.181,!a & X(XF!a & G(a | XXF!a)),10,2,17,1.7,40d1a5d940c8,TRUE,genaut/corpus/2state1ap1acc/2state1ap1acc_00364.hoa
2state1ap1acc_00388.hoa,LTL,partscc,0.074,!a & G((!a | X!a) & Fa),8,2,13,1.6,e9436d0dcdd9,TRUE,genaut/corpus/2state1ap1acc/2state1ap1acc_00388.hoa
