input,result,technique,build_s,formula,dag,temporals,tree,sharing,md5,validation,source
1state3ap1acc_00000.hoa,LTL,daisy+inv,0.077,0,1,0,1,1.0,256b0f7a8d39,TRUE,genaut/corpus/1state3ap1acc/1state3ap1acc_00000.hoa
1state3ap1acc_00001.hoa,LTL,daisy+inv,0.078,G(!a & !b & !c),8,1,8,1.0,726a8305657e,TRUE,genaut/corpus/1state3ap1acc/1state3ap1acc_00001.hoa
1state3ap1acc_00003.hoa,LTL,daisy+inv,0.079,G(!b & !c),6,1,6,1.0,18b37c9cd521,TRUE,genaut/corpus/1state3ap1acc/1state3ap1acc_00003.hoa
1state3ap1acc_00006.hoa,LTL,daisy+inv,0.081,G((!a & b & !c) | (a & !b & !c)),10,1,14,1.4,790597fc140e,TRUE,genaut/corpus/1state3ap1acc/1state3ap1acc_00006.hoa
1state3ap1acc_00007.hoa,LTL,daisy+inv,0.081,G((!a & !c) | (!b & !c)),10,1,12,1.2,61965eb5f6d7,TRUE,genaut/corpus/1state3ap1acc/1state3ap1acc_00007.hoa
1state3ap1acc_00015.hoa,LTL,daisy+inv,0.074,G!c,3,1,3,1.0,2f80e18a75e3,TRUE,genaut/corpus/1state3ap1acc/1state3ap1acc_00015.hoa
1state3ap1acc_00018.hoa,LTL,daisy+inv,0.085,G((!a & !b & c) | (a & !b & !c)),10,1,14,1.4,afb43b905362,TRUE,genaut/corpus/1state3ap1acc/1state3ap1acc_00018.hoa
1state3ap1acc_00019.hoa,LTL,daisy+inv,0.081,G((!a & !b) | (!b & !c)),10,1,12,1.2,df4c94880294,TRUE,genaut/corpus/1state3ap1acc/1state3ap1acc_00019.hoa
1state3ap1acc_00020.hoa,LTL,daisy+inv,0.083,G((!a & !b & c) | (!a & b & !c)),10,1,14,1.4,aee6a5eeb879,TRUE,genaut/corpus/1state3ap1acc/1state3ap1acc_00020.hoa
1state3ap1acc_00021.hoa,LTL,daisy+inv,0.076,G((!a & !b) | (!a & !c)),10,1,12,1.2,ec7257b71bfb,TRUE,genaut/corpus/1state3ap1acc/1state3ap1acc_00021.hoa
1state3ap1acc_00022.hoa,LTL,daisy+inv,0.078,G((!a & !b & c) | (!a & b & !c) | (a & !b & !c)),11,1,20,1.8,0c2b2c36f2e9,TRUE,genaut/corpus/1state3ap1acc/1state3ap1acc_00022.hoa
1state3ap1acc_00023.hoa,LTL,daisy+inv,0.080,G((!a & !b) | (!a & !c) | (!b & !c)),11,1,17,1.5,ffa4b5364cb2,TRUE,genaut/corpus/1state3ap1acc/1state3ap1acc_00023.hoa
1state3ap1acc_00024.hoa,LTL,daisy+inv,0.083,G((!a & !b & c) | (a & b & !c)),10,1,13,1.3,5a96ff57c9d0,TRUE,genaut/corpus/1state3ap1acc/1state3ap1acc_00024.hoa
1state3ap1acc_00025.hoa,LTL,daisy+inv,0.080,G((!a & !b) | (a & b & !c)),10,1,12,1.2,64214ab5dd79,TRUE,genaut/corpus/1state3ap1acc/1state3ap1acc_00025.hoa
1state3ap1acc_00026.hoa,LTL,daisy+inv,0.081,G((!a & !b & c) | (a & !c)),10,1,12,1.2,97d8aed9e14a,TRUE,genaut/corpus/1state3ap1acc/1state3ap1acc_00026.hoa
1state3ap1acc_00027.hoa,LTL,daisy+inv,0.073,G((!a & !b) | (a & !c)),10,1,11,1.1,cade9f8d948a,TRUE,genaut/corpus/1state3ap1acc/1state3ap1acc_00027.hoa
1state3ap1acc_00028.hoa,LTL,daisy+inv,0.078,G((!a & !b & c) | (b & !c)),10,1,12,1.2,23ac22f99a5c,TRUE,genaut/corpus/1state3ap1acc/1state3ap1acc_00028.hoa
1state3ap1acc_00029.hoa,LTL,daisy+inv,0.075,G((!a & !b) | (b & !c)),10,1,11,1.1,6900294f652c,TRUE,genaut/corpus/1state3ap1acc/1state3ap1acc_00029.hoa
1state3ap1acc_00030.hoa,LTL,daisy+inv,0.079,G((!a & !b & c) | (a & !c) | (b & !c)),11,1,16,1.5,daa5a19514cf,TRUE,genaut/corpus/1state3ap1acc/1state3ap1acc_00030.hoa
1state3ap1acc_00031.hoa,LTL,daisy+inv,0.081,G(!c | (!a & !b)),9,1,9,1.0,e52b153f1c64,TRUE,genaut/corpus/1state3ap1acc/1state3ap1acc_00031.hoa
1state3ap1acc_00037.hoa,LTL,daisy+inv,0.076,G((!a & !c) | (a & !b & c)),10,1,12,1.2,01838e5c5edd,TRUE,genaut/corpus/1state3ap1acc/1state3ap1acc_00037.hoa
1state3ap1acc_00038.hoa,LTL,daisy+inv,0.081,G((!a & b & !c) | (a & !b)),10,1,12,1.2,1dc9a3e5a7d4,TRUE,genaut/corpus/1state3ap1acc/1state3ap1acc_00038.hoa
