input,result,technique,build_s,formula,dag,temporals,tree,sharing,md5,validation,source
1state1ap1acc_00.hoa,LTL,daisy+inv,0.078,0,1,0,1,1.0,256b0f7a8d39,TRUE,genaut/corpus/1state1ap1acc/1state1ap1acc_00.hoa
1state1ap1acc_01.hoa,LTL,daisy+inv,0.082,G!a,3,1,3,1.0,6d2bdb385b7a,TRUE,genaut/corpus/1state1ap1acc/1state1ap1acc_01.hoa
1state1ap1acc_03.hoa,LTL,daisy,0.080,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/1state1ap1acc/1state1ap1acc_03.hoa
1state1ap1acc_06.hoa,LTL,daisy,0.070,GFa,3,2,3,1.0,0cdf120f1aa3,TRUE,genaut/corpus/1state1ap1acc/1state1ap1acc_06.hoa
1state1ap1acc_07.hoa,LTL,daisy,0.075,1,1,0,1,1.0,e20f564d992f,TRUE,genaut/corpus/1state1ap1acc/1state1ap1acc_07.hoa
