id,layer,k,nC,R,sigma,aperiodic,status,states,F,toggles,conjugate,genuine,time_s
3state2ap2acc_parity_05615960012931639371184168157172584657821148,17,1,63,6,4,1,BUDGET,1000000,,,,,10.54
3state2ap2acc_parity_05615960012931639371184168157172584657821148_c,5,1,63,6,4,1,BUDGET,1000000,,,,,14.82
3state2ap2acc_parity_05615960012931639371184168157172584657821148_c,10,1,63,6,4,1,BUDGET,1000000,,,,,12.83
3state2ap2acc_parity_05615960012931639371184168157172584657821148_c,11,1,63,6,4,1,BUDGET,1000000,,,,,11.93
3state2ap2acc_parity_05615960012931639371184168157172584657821148_c,14,1,63,6,4,1,BUDGET,1000000,,,,,10.92
2state2ap2acc_parity_02648063864873096543_c,13,1,36,3,4,0,BUDGET,1000000,,,,,11.22
3state2ap2acc_parity_01985090630845204495123435068128232802931454,7,1,14,1,3,1,CONFLICT,664,3,1,0,1,0.00
2state2ap1acc_parity_3772037665,7,1,13,1,4,1,CLEAN,906162,,,,,9.80
3state2ap2acc_parity_05615960012931639371184168157172584657821148_c,16,1,63,6,4,1,BUDGET,1000000,,,,,11.49
3state2ap2acc_parity_05615960012931639371184168157172584657821148_c,17,1,63,6,4,1,BUDGET,1000000,,,,,9.73
2state2ap2acc_parity_02648063864873096543_c,14,1,36,3,4,0,BUDGET,1000000,,,,,9.29
2state2ap2acc_parity_02784935455026984028,4,1,17,2,4,1,CONFLICT,454056,4,1,0,1,7.35
3state2ap2acc_parity_05646573337036366002245817291572579953264895,11,1,83,5,4,1,BUDGET,1000000,,,,,7.59
3state2ap2acc_parity_05646573337036366002245817291572579953264895,19,1,83,5,4,1,CONFLICT,1104,6,1,0,1,0.01
3state2ap2acc_parity_05646573337036366002245817291572579953264895,20,1,83,5,4,1,BUDGET,1000000,,,,,7.16
3state2ap2acc_parity_05646573337036366002245817291572579953264895,22,1,83,5,4,1,CONFLICT,2613,6,1,0,1,0.01
3state2ap2acc_parity_05646573337036366002245817291572579953264895,23,1,83,5,4,1,BUDGET,1000000,,,,,9.04
3state2ap2acc_parity_01985090630845204495123435068128232802931454_c,7,1,14,1,3,1,CONFLICT,664,3,1,0,1,0.00
3state2ap2acc_parity_05646573337036366002245817291572579953264895_c,11,1,83,5,4,1,BUDGET,1000000,,,,,10.63
3state2ap2acc_parity_05646573337036366002245817291572579953264895_c,19,1,83,5,4,1,CONFLICT,1104,6,1,0,1,0.01
3state2ap2acc_parity_05646573337036366002245817291572579953264895_c,20,1,83,5,4,1,BUDGET,1000000,,,,,10.97
3state2ap2acc_parity_05646573337036366002245817291572579953264895_c,22,1,83,5,4,1,CONFLICT,2613,6,1,0,1,0.02
3state2ap2acc_parity_05646573337036366002245817291572579953264895_c,23,1,83,5,4,1,BUDGET,1000000,,,,,7.96
3state2ap2acc_parity_05771703111055596764125633657253980993938469,14,1,81,5,4,0,BUDGET,1000000,,,,,11.79
3state2ap2acc_parity_05771703111055596764125633657253980993938469,16,1,81,5,4,0,BUDGET,1000000,,,,,8.81
3state2ap2acc_parity_05771703111055596764125633657253980993938469,17,1,81,2,4,0,CLEAN,180,,,,,0.00
3state2ap2acc_parity_05771703111055596764125633657253980993938469,19,1,81,5,4,0,BUDGET,1000000,,,,,13.55
3state2ap2acc_parity_05771703111055596764125633657253980993938469,20,1,81,2,4,0,CLEAN,180,,,,,0.00
3state2ap2acc_parity_02791127200709611081342718726845015122588562,8,1,49,5,4,0,BUDGET,1000000,,,,,10.75
3state2ap2acc_parity_05771703111055596764125633657253980993938469,22,1,81,2,4,0,CLEAN,180,,,,,0.00
2state2ap2acc_parity_02784935455026984028,7,1,17,2,4,1,CONFLICT,454282,4,1,0,1,5.09
3state2ap2acc_parity_05771703111055596764125633657253980993938469_c,14,1,81,5,4,0,BUDGET,1000000,,,,,9.56
3state2ap2acc_parity_05771703111055596764125633657253980993938469_c,16,1,81,5,4,0,BUDGET,1000000,,,,,8.54
3state2ap2acc_parity_05771703111055596764125633657253980993938469_c,17,1,81,2,4,0,CLEAN,180,,,,,0.00
3state2ap2acc_parity_05771703111055596764125633657253980993938469_c,19,1,81,5,4,0,BUDGET,1000000,,,,,11.77
3state2ap2acc_parity_05771703111055596764125633657253980993938469_c,20,1,81,2,4,0,CLEAN,180,,,,,0.00
3state2ap2acc_parity_05771703111055596764125633657253980993938469_c,22,1,81,2,4,0,CLEAN,180,,,,,0.00
3state2ap2acc_parity_05793068689544573584672873764112183559167166,5,1,24,3,4,1,BUDGET,1000000,,,,,10.28
2state2ap2acc_parity_02784935455026984028_c,4,1,17,2,4,1,CONFLICT,454056,4,1,0,1,7.18
3state2ap2acc_parity_02791127200709611081342718726845015122588562,10,1,49,5,4,0,BUDGET,1000000,,,,,14.88
3state2ap2acc_parity_05793068689544573584672873764112183559167166,6,1,24,3,4,1,BUDGET,1000000,,,,,9.39
3state2ap2acc_parity_05793068689544573584672873764112183559167166,8,1,24,3,4,1,BUDGET,1000000,,,,,9.34
3state2ap2acc_parity_05793068689544573584672873764112183559167166_c,5,1,24,3,4,1,BUDGET,1000000,,,,,10.19
3state2ap2acc_parity_05793068689544573584672873764112183559167166_c,6,1,24,3,4,1,BUDGET,1000000,,,,,14.24
3state2ap2acc_parity_05793068689544573584672873764112183559167166_c,8,1,24,3,4,1,BUDGET,1000000,,,,,9.99
3state2ap2acc_parity_06159861430659382172806574419318109950313840,6,1,56,5,4,1,BUDGET,1000000,,,,,10.83
3state2ap2acc_parity_06159861430659382172806574419318109950313840,7,1,56,3,4,1,CLEAN,423,,,,,0.00
3state2ap2acc_parity_06159861430659382172806574419318109950313840,8,1,56,5,4,1,BUDGET,1000000,,,,,16.37
3state2ap2acc_parity_06159861430659382172806574419318109950313840,9,1,56,5,4,1,BUDGET,1000000,,,,,15.88
3state2ap2acc_parity_06159861430659382172806574419318109950313840,10,1,56,3,4,1,CLEAN,423,,,,,0.00
3state2ap2acc_parity_02791127200709611081342718726845015122588562,12,1,49,5,4,0,BUDGET,1000000,,,,,9.09
3state2ap2acc_parity_06159861430659382172806574419318109950313840,11,1,56,3,4,1,CLEAN,423,,,,,0.00
3state2ap2acc_parity_06159861430659382172806574419318109950313840,12,1,56,5,4,1,BUDGET,1000000,,,,,10.72
3state2ap2acc_parity_06159861430659382172806574419318109950313840,13,1,56,3,4,1,CLEAN,423,,,,,0.00
3state2ap2acc_parity_06159861430659382172806574419318109950313840,14,1,56,5,4,1,BUDGET,1000000,,,,,15.82
3state2ap2acc_parity_06159861430659382172806574419318109950313840_c,6,1,56,5,4,1,BUDGET,1000000,,,,,10.42
3state2ap2acc_parity_06159861430659382172806574419318109950313840_c,7,1,56,3,4,1,CLEAN,423,,,,,0.00
3state2ap2acc_parity_06159861430659382172806574419318109950313840_c,8,1,56,5,4,1,BUDGET,1000000,,,,,15.62
3state2ap2acc_parity_06159861430659382172806574419318109950313840_c,9,1,56,5,4,1,BUDGET,1000000,,,,,10.68
3state2ap2acc_parity_06159861430659382172806574419318109950313840_c,10,1,56,3,4,1,CLEAN,423,,,,,0.00
3state2ap2acc_parity_06159861430659382172806574419318109950313840_c,11,1,56,3,4,1,CLEAN,423,,,,,0.00
3state2ap2acc_parity_02791127200709611081342718726845015122588562,14,1,49,5,4,0,BUDGET,1000000,,,,,10.82
2state2ap2acc_parity_01477560257961134322,7,1,19,3,4,1,BUDGET,1000000,,,,,11.57
3state2ap2acc_parity_06159861430659382172806574419318109950313840_c,12,1,56,5,4,1,BUDGET,1000000,,,,,15.75
3state2ap2acc_parity_06159861430659382172806574419318109950313840_c,13,1,56,3,4,1,CLEAN,423,,,,,0.00
3state2ap2acc_parity_06159861430659382172806574419318109950313840_c,14,1,56,5,4,1,BUDGET,1000000,,,,,11.00
3state2ap2acc_parity_06225824417246472154322402345598539043475660,2,1,16,3,4,1,BUDGET,1000000,,,,,12.59
3state2ap2acc_parity_06225824417246472154322402345598539043475660,4,1,16,1,4,1,CLEAN,35,,,,,0.00
3state2ap2acc_parity_06225824417246472154322402345598539043475660,5,1,16,3,4,1,BUDGET,1000000,,,,,11.18
3state2ap2acc_parity_06225824417246472154322402345598539043475660,6,1,16,3,4,1,BUDGET,1000000,,,,,15.14
3state2ap2acc_parity_06225824417246472154322402345598539043475660_c,2,1,16,3,4,1,BUDGET,1000000,,,,,11.13
2state2ap2acc_parity_02784935455026984028_c,7,1,17,2,4,1,CONFLICT,454282,4,1,0,1,4.98
3state2ap2acc_parity_06225824417246472154322402345598539043475660_c,4,1,16,1,4,1,CLEAN,35,,,,,0.00
3state2ap2acc_parity_02791127200709611081342718726845015122588562_c,8,1,49,5,4,0,BUDGET,1000000,,,,,13.80
3state2ap2acc_parity_06225824417246472154322402345598539043475660_c,5,1,16,3,4,1,BUDGET,1000000,,,,,12.25
3state2ap2acc_parity_06225824417246472154322402345598539043475660_c,6,1,16,3,4,1,BUDGET,1000000,,,,,11.39
2state2ap2acc_parity_03089857006815921569,4,1,17,3,4,1,BUDGET,1000000,,,,,14.67
2state2ap1acc_parity_3772037665_c,5,1,13,1,4,1,CLEAN,906162,,,,,9.28
3state2ap2acc_parity_06970687283311618738328471121371768999737317,10,1,59,4,4,1,BUDGET,1000000,,,,,10.42
3state2ap2acc_parity_06970687283311618738328471121371768999737317,12,1,59,4,4,1,BUDGET,1000000,,,,,14.77
2state2ap2acc_parity_03089857006815921569,5,1,17,3,4,1,BUDGET,1000000,,,,,15.38
3state2ap2acc_parity_06970687283311618738328471121371768999737317,14,1,59,4,4,1,BUDGET,1000000,,,,,11.88
3state2ap2acc_parity_06970687283311618738328471121371768999737317,15,1,59,2,4,1,CONFLICT,20,4,1,0,1,0.00
3state2ap2acc_parity_06970687283311618738328471121371768999737317,16,1,59,4,4,1,BUDGET,1000000,,,,,12.48
3state2ap2acc_parity_02791127200709611081342718726845015122588562_c,10,1,49,5,4,0,BUDGET,1000000,,,,,14.80
3state2ap2acc_parity_06970687283311618738328471121371768999737317_c,10,1,59,4,4,1,BUDGET,1000000,,,,,10.36
3state2ap2acc_parity_06970687283311618738328471121371768999737317_c,12,1,59,4,4,1,BUDGET,1000000,,,,,10.20
3state2ap2acc_parity_06970687283311618738328471121371768999737317_c,14,1,59,4,4,1,BUDGET,1000000,,,,,15.16
3state2ap2acc_parity_06970687283311618738328471121371768999737317_c,15,1,59,2,4,1,CONFLICT,20,4,1,0,1,0.00
3state2ap2acc_parity_06970687283311618738328471121371768999737317_c,16,1,59,4,4,1,BUDGET,1000000,,,,,10.57
3state2ap2acc_parity_07369901072403646538784427438789147433138092,8,1,32,3,4,1,BUDGET,1000000,,,,,10.47
3state2ap2acc_parity_07369901072403646538784427438789147433138092,9,1,32,3,4,1,BUDGET,1000000,,,,,14.88
3state2ap2acc_parity_07369901072403646538784427438789147433138092,10,1,32,3,4,1,BUDGET,1000000,,,,,13.33
3state2ap2acc_parity_07369901072403646538784427438789147433138092_c,8,1,32,3,4,1,BUDGET,1000000,,,,,12.96
3state2ap2acc_parity_07369901072403646538784427438789147433138092_c,9,1,32,3,4,1,BUDGET,1000000,,,,,12.66
2state2ap2acc_parity_01477560257961134322_c,7,1,19,3,4,1,BUDGET,1000000,,,,,16.34
3state2ap2acc_parity_07369901072403646538784427438789147433138092_c,10,1,32,3,4,1,BUDGET,1000000,,,,,10.86
3state2ap2acc_parity_07488285081931376926346461062896021585982101,7,1,14,1,3,1,CONFLICT,113,3,1,0,1,0.00
3state2ap2acc_parity_07488285081931376926346461062896021585982101_c,7,1,14,1,3,1,CONFLICT,113,3,1,0,1,0.00
3state2ap2acc_parity_07501615681311615326456196240639721047872892,8,1,32,3,4,1,BUDGET,1000000,,,,,12.10
3state2ap2acc_parity_07501615681311615326456196240639721047872892,9,1,32,3,4,1,BUDGET,1000000,,,,,10.75
3state2ap2acc_parity_07501615681311615326456196240639721047872892,10,1,32,3,4,1,BUDGET,1000000,,,,,15.19
3state2ap2acc_parity_07501615681311615326456196240639721047872892_c,8,1,32,3,4,1,BUDGET,1000000,,,,,10.41
