id,layer,k,nC,R,sigma,aperiodic,status,states,F,toggles,conjugate,genuine,time_s
3state2ap2acc_parity_09018360833568031250100806032778607703494827_c,14,0,58,5,4,1,BUDGET,1000000,,,,,14.00
3state2ap2acc_parity_09018360833568031250100806032778607703494827_c,15,0,58,4,4,1,CLEAN,248,,,,,0.00
3state2ap2acc_parity_09018360833568031250100806032778607703494827_c,16,0,58,5,4,1,BUDGET,1000000,,,,,15.51
3state2ap2acc_parity_09049543896507004851437886576016916477206973,5,0,34,4,4,1,CONFLICT,40,2,1,0,1,0.00
3state2ap2acc_parity_09049543896507004851437886576016916477206973,6,0,34,3,4,1,CLEAN,93,,,,,0.00
3state2ap2acc_parity_09049543896507004851437886576016916477206973,7,0,34,3,4,1,CLEAN,93,,,,,0.00
2state2ap2acc_parity_03498901325726090611_c,14,0,31,3,4,0,CONFLICT,60,3,1,0,1,0.00
3state2ap2acc_parity_09049543896507004851437886576016916477206973,10,0,34,4,4,1,CONFLICT,122,4,1,0,1,0.00
3state2ap2acc_parity_09049543896507004851437886576016916477206973,11,0,34,4,4,1,CONFLICT,40,2,1,0,1,0.00
3state2ap2acc_parity_09049543896507004851437886576016916477206973,12,0,34,4,4,1,CONFLICT,40,2,1,0,1,0.00
3state2ap2acc_parity_09049543896507004851437886576016916477206973_c,5,0,34,4,4,1,CONFLICT,40,2,1,0,1,0.00
3state2ap2acc_parity_09049543896507004851437886576016916477206973_c,6,0,34,3,4,1,CLEAN,93,,,,,0.00
3state2ap2acc_parity_09049543896507004851437886576016916477206973_c,7,0,34,3,4,1,CLEAN,93,,,,,0.00
3state2ap2acc_parity_09049543896507004851437886576016916477206973_c,10,0,34,4,4,1,CONFLICT,122,4,1,0,1,0.00
3state2ap2acc_parity_09049543896507004851437886576016916477206973_c,11,0,34,4,4,1,CONFLICT,40,2,1,0,1,0.00
3state2ap2acc_parity_09049543896507004851437886576016916477206973_c,12,0,34,4,4,1,CONFLICT,40,2,1,0,1,0.00
3state2ap2acc_parity_09760660111816112449285967211041404560999318,9,0,50,4,4,0,CONFLICT,40,2,1,0,1,0.00
2state2ap2acc_parity_03598501441036968601,7,0,32,3,4,1,CONFLICT,109,3,1,0,1,0.00
3state2ap2acc_parity_09760660111816112449285967211041404560999318,10,0,50,4,4,0,CONFLICT,25,2,1,0,1,0.00
3state2ap2acc_parity_09760660111816112449285967211041404560999318,11,0,50,4,4,0,CONFLICT,78350,2,1,0,1,0.57
3state2ap2acc_parity_09760660111816112449285967211041404560999318,12,0,50,2,4,0,CONFLICT,16,2,1,0,1,0.00
3state2ap2acc_parity_09760660111816112449285967211041404560999318,13,0,50,4,4,0,CONFLICT,47012,4,1,0,1,0.48
3state2ap2acc_parity_09760660111816112449285967211041404560999318_c,9,0,50,4,4,0,CONFLICT,40,2,1,0,1,0.00
3state2ap2acc_parity_09760660111816112449285967211041404560999318_c,10,0,50,4,4,0,CONFLICT,25,2,1,0,1,0.00
3state2ap2acc_parity_09760660111816112449285967211041404560999318_c,11,0,50,4,4,0,CONFLICT,78350,2,1,0,1,0.59
3state2ap2acc_parity_09760660111816112449285967211041404560999318_c,12,0,50,2,4,0,CONFLICT,16,2,1,0,1,0.00
3state2ap2acc_parity_09760660111816112449285967211041404560999318_c,13,0,50,4,4,0,CONFLICT,47012,4,1,0,1,0.37
3state2ap2acc_parity_10242932816699746367374054096177816109435269,10,0,36,4,4,1,CONFLICT,40,2,1,0,1,0.00
2state2ap2acc_parity_03598501441036968601,8,0,32,3,4,1,CONFLICT,108,3,1,0,1,0.00
3state2ap2acc_parity_10242932816699746367374054096177816109435269,11,0,36,4,4,1,CONFLICT,32860,2,1,0,1,0.24
3state2ap2acc_parity_10242932816699746367374054096177816109435269,12,0,36,2,4,1,CLEAN,34,,,,,0.00
3state2ap2acc_parity_10242932816699746367374054096177816109435269,15,0,36,4,4,1,CONFLICT,22982,2,1,0,1,0.17
3state2ap2acc_parity_10242932816699746367374054096177816109435269,16,0,36,4,4,1,CONFLICT,32840,2,1,0,1,0.40
3state2ap2acc_parity_10242932816699746367374054096177816109435269_c,10,0,36,4,4,1,CONFLICT,40,2,1,0,1,0.00
3state2ap2acc_parity_10242932816699746367374054096177816109435269_c,11,0,36,4,4,1,CONFLICT,32860,2,1,0,1,0.41
3state2ap2acc_parity_10242932816699746367374054096177816109435269_c,12,0,36,2,4,1,CLEAN,34,,,,,0.00
3state2ap2acc_parity_10242932816699746367374054096177816109435269_c,15,0,36,4,4,1,CONFLICT,22982,2,1,0,1,0.17
3state2ap2acc_parity_10242932816699746367374054096177816109435269_c,16,0,36,4,4,1,CONFLICT,32840,2,1,0,1,0.40
3state2ap2acc_parity_10310622320608854909415558959226979618530038,8,0,29,3,4,1,CONFLICT,96,4,1,0,1,0.00
2state2ap2acc_parity_03598501441036968601,9,0,32,4,4,1,CLEAN,2920,,,,,0.01
3state2ap2acc_parity_10310622320608854909415558959226979618530038,9,0,29,3,4,1,CONFLICT,168,4,1,0,1,0.00
3state2ap2acc_parity_10310622320608854909415558959226979618530038,10,0,29,3,4,1,CONFLICT,109,4,1,0,1,0.00
3state2ap2acc_parity_10310622320608854909415558959226979618530038_c,8,0,29,3,4,1,CONFLICT,96,4,1,0,1,0.00
3state2ap2acc_parity_10310622320608854909415558959226979618530038_c,9,0,29,3,4,1,CONFLICT,168,4,1,0,1,0.00
3state2ap2acc_parity_10310622320608854909415558959226979618530038_c,10,0,29,3,4,1,CONFLICT,109,4,1,0,1,0.00
3state2ap2acc_parity_10347144930624275892248421612650292723877017_c,5,0,127,6,4,0,CLEAN,8094,,,,,0.04
3state2ap2acc_parity_10347144930624275892248421612650292723877017_c,8,0,127,6,4,0,CLEAN,8094,,,,,0.03
3state2ap2acc_parity_10347144930624275892248421612650292723877017_c,13,0,127,6,4,0,CLEAN,8094,,,,,0.03
3state2ap2acc_parity_10347144930624275892248421612650292723877017_c,15,0,127,6,4,0,CLEAN,8094,,,,,0.03
3state2ap2acc_parity_10347144930624275892248421612650292723877017_c,17,0,127,6,4,0,CLEAN,8094,,,,,0.05
2state2ap2acc_parity_03598501441036968601,10,0,32,3,4,1,CONFLICT,90,3,1,0,1,0.00
3state2ap2acc_parity_10347144930624275892248421612650292723877017_c,19,0,127,6,4,0,CLEAN,8094,,,,,0.03
3state2ap2acc_parity_11190351354279059864721980398746176284665904_c,4,0,79,5,4,0,CLEAN,1865,,,,,0.01
3state2ap2acc_parity_11190351354279059864721980398746176284665904_c,6,0,79,5,4,0,CLEAN,1865,,,,,0.01
3state2ap2acc_parity_11190351354279059864721980398746176284665904_c,7,0,79,5,4,0,CLEAN,1865,,,,,0.01
3state2ap2acc_parity_11190351354279059864721980398746176284665904_c,8,0,79,2,4,0,CLEAN,30,,,,,0.00
3state2ap2acc_parity_11190351354279059864721980398746176284665904_c,9,0,79,5,4,0,CLEAN,1865,,,,,0.01
3state2ap2acc_parity_11190351354279059864721980398746176284665904_c,10,0,79,5,4,0,CLEAN,1865,,,,,0.01
3state2ap2acc_parity_11190351354279059864721980398746176284665904_c,11,0,79,2,4,0,CLEAN,30,,,,,0.00
3state2ap2acc_parity_11190351354279059864721980398746176284665904_c,12,0,79,5,4,0,CLEAN,1865,,,,,0.01
3state2ap2acc_parity_11190351354279059864721980398746176284665904_c,15,0,79,2,4,0,CLEAN,30,,,,,0.00
2state2ap2acc_parity_03598501441036968601_c,7,0,32,3,4,1,CONFLICT,109,3,1,0,1,0.00
3state2ap2acc_parity_11196651764472471764951575104421032493189434,7,0,52,5,4,1,CONFLICT,123244,2,1,0,1,1.08
