id,layer,nC,R,sigma,aperiodic,c3_status,result,pass_k,k0,k1,k2,k3,collectedF,max_states,absorption,group,other,other_split,bug,time_s
2state2ap2acc_parity_13920645629222492736,4,8,2,4,1,UNDECIDED,C@0,0,P,-,-,-,42,57,0,0,0,0,0,0.00
2state2ap2acc_parity_13920645629222492736_c,3,8,2,4,1,UNDECIDED,C@0,0,P,-,-,-,42,57,0,0,0,0,0,0.00
2state2ap2acc_parity_13920645629222492736_c,4,8,2,4,1,UNDECIDED,C@0,0,P,-,-,-,42,57,0,0,0,0,0,0.00
2state2ap2acc_parity_13954967989203052064,3,14,3,4,1,UNDECIDED,C@0,0,P,-,-,-,409,885,0,0,0,0,0,0.20
2state2ap2acc_parity_13954967989203052064,4,14,1,4,1,UNDECIDED,C@0,0,P,-,-,-,3,3,0,0,0,0,0,0.00
2state2ap2acc_parity_13954967989203052064,5,14,3,4,1,UNDECIDED,C@0,0,P,-,-,-,409,885,0,0,0,0,0,0.20
2state2ap2acc_parity_13954967989203052064,6,14,3,4,1,UNDECIDED,C@0,0,P,-,-,-,409,885,0,0,0,0,0,0.20
2state2ap2acc_parity_13954967989203052064_c,3,14,3,4,1,UNDECIDED,C@0,0,P,-,-,-,409,885,0,0,0,0,0,0.21
2state2ap2acc_parity_13954967989203052064_c,4,14,1,4,1,UNDECIDED,C@0,0,P,-,-,-,3,3,0,0,0,0,0,0.00
2state2ap2acc_parity_13954967989203052064_c,5,14,3,4,1,UNDECIDED,C@0,0,P,-,-,-,409,885,0,0,0,0,0,0.20
2state2ap2acc_parity_13954967989203052064_c,6,14,3,4,1,UNDECIDED,C@0,0,P,-,-,-,409,885,0,0,0,0,0,0.19
2state2ap2acc_parity_13965962140964882590,6,13,2,4,1,UNDECIDED,C@0,0,P,-,-,-,54,77,0,0,0,0,0,0.01
2state2ap2acc_parity_13965962140964882590,7,13,1,4,1,UNDECIDED,C@0,0,P,-,-,-,3,3,0,0,0,0,0,0.00
2state2ap2acc_parity_13965962140964882590,8,13,2,4,1,UNDECIDED,C@0,0,P,-,-,-,54,77,0,0,0,0,0,0.01
