id,k,R,frozen,has_anchors,terminal,pfxind,side,n_multi,n_acc
1state2ap2acc_parity_01800,0,1,1,1,1,1,none(<2cls),0,0
1state2ap2acc_parity_04612,0,1,1,1,1,0,none(<2cls),0,0
1state2ap2acc_parity_04612_c,0,1,1,1,1,0,none(<2cls),0,0
1state2ap2acc_parity_04616,0,1,1,1,1,0,none(<2cls),0,0
1state2ap2acc_parity_04616_c,0,1,1,1,1,0,none(<2cls),0,0
1state2ap2acc_parity_04620,0,1,1,1,1,1,none(<2cls),0,0
1state2ap2acc_parity_04620_c,0,1,1,1,1,1,none(<2cls),0,0
1state2ap2acc_parity_05640,0,1,1,1,1,1,none(<2cls),0,0
1state2ap2acc_parity_05640_c,0,1,1,1,1,1,none(<2cls),0,0
1state2ap2acc_parity_06146,0,1,1,1,1,0,none(<2cls),0,0
1state2ap2acc_parity_06146_c,0,1,1,1,1,0,none(<2cls),0,0
1state2ap2acc_parity_06150,0,1,1,1,1,1,none(<2cls),0,0
1state2ap2acc_parity_06150_c,0,1,1,1,1,1,none(<2cls),0,0
1state2ap2acc_parity_06660,0,1,1,1,1,1,none(<2cls),0,0
1state2ap2acc_parity_06660_c,0,1,1,1,1,1,none(<2cls),0,0
1state2ap2acc_parity_13320,0,1,1,1,1,1,none(<2cls),0,0
1state2ap2acc_parity_13320_c,0,1,1,1,1,1,none(<2cls),0,0
1state2ap2acc_parity_24840,0,1,1,1,1,1,none(<2cls),0,0
1state2ap2acc_parity_24840_c,0,1,1,1,1,1,none(<2cls),0,0
1state2ap3acc_parity_0178405888,0,1,1,1,1,0,none(<2cls),0,0
1state2ap3acc_parity_0178405888_c,0,1,1,1,1,0,none(<2cls),0,0
1state2ap3acc_parity_0427841672,0,1,1,1,1,0,none(<2cls),0,0
1state2ap3acc_parity_0427841672_c,0,1,1,1,1,0,none(<2cls),0,0
1state2ap3acc_parity_2750423057,0,1,1,1,1,1,none(<2cls),0,0
1state2ap3acc_parity_2792358400,0,1,1,1,1,1,none(<2cls),0,0
1state2ap3acc_parity_3796408320,0,1,1,1,1,1,none(<2cls),0,0
1state3ap0acc_001,0,1,1,1,1,0,none(<2cls),0,0
1state3ap0acc_001_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap0acc_003,0,1,1,1,1,0,none(<2cls),0,0
1state3ap0acc_003_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap0acc_006,0,1,1,1,1,0,none(<2cls),0,0
1state3ap0acc_006_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap0acc_007,0,1,1,1,1,0,none(<2cls),0,0
1state3ap0acc_007_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap0acc_015,0,1,1,1,1,0,none(<2cls),0,0
1state3ap0acc_015_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap0acc_022,0,1,1,1,1,0,none(<2cls),0,0
1state3ap0acc_022_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap0acc_023,0,1,1,1,1,0,none(<2cls),0,0
1state3ap0acc_023_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap0acc_024,0,1,1,1,1,0,none(<2cls),0,0
1state3ap0acc_024_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap0acc_025,0,1,1,1,1,0,none(<2cls),0,0
1state3ap0acc_025_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap0acc_027,0,1,1,1,1,0,none(<2cls),0,0
1state3ap0acc_027_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap0acc_030,0,1,1,1,1,0,none(<2cls),0,0
1state3ap0acc_030_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap0acc_031,0,1,1,1,1,0,none(<2cls),0,0
1state3ap0acc_031_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap0acc_060,0,1,1,1,1,0,none(<2cls),0,0
1state3ap0acc_060_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap0acc_061,0,1,1,1,1,0,none(<2cls),0,0
1state3ap0acc_061_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap0acc_063,0,1,1,1,1,0,none(<2cls),0,0
1state3ap0acc_063_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap0acc_105,0,1,1,1,1,0,none(<2cls),0,0
1state3ap0acc_105_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap0acc_107,0,1,1,1,1,0,none(<2cls),0,0
1state3ap0acc_107_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap0acc_111,0,1,1,1,1,0,none(<2cls),0,0
1state3ap0acc_111_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap0acc_126,0,1,1,1,1,0,none(<2cls),0,0
1state3ap0acc_126_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap0acc_127,0,1,1,1,1,0,none(<2cls),0,0
1state3ap0acc_127_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00258,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00258_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00262,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00262_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00264,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00264_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00266,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00266_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00270,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00270_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00278,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00278_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00280,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00280_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00282,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00282_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00286,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00286_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00296,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00296_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00298,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00298_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00300,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00300_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00302,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00302_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00316,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00316_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00318,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00318_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00360,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00360_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00362,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00362_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00366,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00366_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00382,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00382_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00384,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00384_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00386,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00386_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00390,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00390_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00392,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00392_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00394,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00394_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00398,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00398_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00406,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00406_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00408,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00408_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00410,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00410_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00414,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00414_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00424,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00424_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00426,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00426_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00428,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00428_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00430,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00430_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00444,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00444_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00446,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00446_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00488,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00488_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00490,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00490_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00494,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00494_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00510,0,1,1,1,1,1,none(<2cls),0,0
1state3ap1acc_00510_c,0,1,1,1,1,1,none(<2cls),0,0
1state3ap1acc_00772,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00772_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00780,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00780_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00788,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00788_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00792,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00792_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00796,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00796_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00828,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00828_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00832,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00832_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00836,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00836_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00840,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00840_c,0,1,1,1,1,0,none(<2cls),0,0
1state3ap1acc_00844,0,1,1,1,1,0,none(<2cls),0,0
